evidence_type	surface_or_locus	parse_or_sequence	role	occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	note
GLOBAL_TERMINAL_S_PROFILE	length>1 and *s	TERMINAL_S_POSITIONAL_PROFILE	SPECIES_LIKE_DRUG_OR_FORM_CANDIDATE__NOT_FREE_VALUE	725	155	524	537	622 tokens have a follower; 103 are final or single; no global terminal-S value
SURFACE_FAMILY	scho	S_SEED_HEAD+CHO_DRY_PREPARATION	PREFIX_SISTER	1	1	1	1	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	schos	S_SEED_HEAD+CHO_DRY_PREPARATION+S_BOUND_SPECIES_DRUG_HEAD	TARGET_WHOLE	1	1	1	1	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	rchos	R_RADIX+CHO_DRY_PREPARATION+S_BOUND_SPECIES_DRUG_HEAD	ROOT_HEAD_SISTER	1	1	1	1	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	fchos	F_BOUND_DRUG_HEAD+CHO_DRY_PREPARATION+S_BOUND_SPECIES_DRUG_HEAD	F_HEAD_READER_WARNING_SISTER	1	1	0	0	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	chos	CHO_DRY_PREPARATION+S_BOUND_SPECIES_DRUG_HEAD	BODY_FAMILY	30	22	27	27	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	cheos	CHEO_DRY_PREPARED+S_BOUND_SPECIES_DRUG_HEAD	DRY_PREPARED_BODY_FAMILY	28	25	22	22	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	cheeos	CHEEO_DRY_GRADE+S_BOUND_SPECIES_DRUG_HEAD	DRY_GRADE_BODY_FAMILY	6	5	6	6	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	shos	SHO_MOIST_PREPARATION+S_BOUND_SPECIES_DRUG_HEAD	MOIST_BODY_FAMILY	9	9	7	7	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	sheos	SHEO_MOIST_PREPARED+S_BOUND_SPECIES_DRUG_HEAD	MOIST_PREPARED_BODY_FAMILY	9	9	7	7	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	sheeos	SHEEO_MOIST_GRADE+S_BOUND_SPECIES_DRUG_HEAD	MOIST_GRADE_BODY_FAMILY	1	1	1	1	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	schol	S_SEED_HEAD+CHOL_DRY_MATERIAL	SEED_DRY_MATERIAL_SISTER	3	3	3	3	initial S and terminal S remain distinct; no global terminal-S value
SURFACE_FAMILY	schor	S_SEED_HEAD+CHOR_DRY_PORTION	SEED_DRY_PORTION_SISTER	3	3	3	3	initial S and terminal S remain distinct; no global terminal-S value
THREE_TOKEN_BOUNDARY	f93r.6	s | cho | s	ALL_READERS_EXACT_LOCAL_BOUNDARY	1	1	1	1	same visible sequence as SCHOS, but written as three words
