body	head	head_role	surface	occurrences	lines	pages	reader_exact_occurrences	split_normalized_occurrences	four_head_support_count	four_head_support	complete_p_s_r_l_f_grid	family_strength	interpretation
aiir	p	P_PULVIS	paiir	2	2	2	2	2	3	p|s|r	0	STRONG_THREE_HEAD_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiir	s	S_SEMEN	saiir	1	1	1	0	0	3	p|s|r	0	STRONG_THREE_HEAD_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiir	r	R_RADIX	raiir	1	1	1	0	0	3	p|s|r	0	STRONG_THREE_HEAD_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiir	l	L_LIGNUM	laiir	0	0	0	0	0	3	p|s|r	0	STRONG_THREE_HEAD_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiir	f	F_BOUND_DRUG_HEAD	faiir	1	1	1	1	1	3	p|s|r	0	STRONG_THREE_HEAD_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiis	p	P_PULVIS	paiis	0	0	0	0	0	1	s	0	SHARED_BODY_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiis	s	S_SEMEN	saiis	1	1	1	0	0	1	s	0	SHARED_BODY_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiis	r	R_RADIX	raiis	0	0	0	0	0	1	s	0	SHARED_BODY_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiis	l	L_LIGNUM	laiis	0	0	0	0	0	1	s	0	SHARED_BODY_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
aiis	f	F_BOUND_DRUG_HEAD	faiis	1	1	1	0	0	1	s	0	SHARED_BODY_SUPPORT	FIFTH_MATERIA_HEAD_ARCHITECTURE__F_VALUE_BOUND
