body	surface	occurrence	page	locus	line_position	reader_exact	split_normalized	zl3b_line	it2a_line	rf1b_line
aiir	faiir	1	f58v	f58v.5	INITIAL	1	1	faiir ofas ar qotaiin sholy qotaiin yqokaly okal qokaly okaly	faiir ofaror qotaiin sholy qotaiin yqokaly okal qokaly okaly	faiir farar qotaiin oly qotaiin yqokaly okal qokaly okaly
aiis	faiis	1	f20v	f20v.1	INITIAL	0	0	faiis ar okoy shy pofochey opchy qopy choldy opydy cphy	faiis ar okoy shy pofochey opchy qopy choldy opydy cphy	faiisar oko shypofochey opchy qopy choldy opydy cphy
airal	fairal	1	f107r	f107r.48	INITIAL	0	0	fairal chkal lky otain ar kalkal qotain oty lky otaiin ytaiin om	faiiral chkal lky otain ar kalkal qotain oty lky otaiin ytaiin om	feiiral chkal lky otain ar kal kal qotain oty lky otaiin ytaiin om
ar	far	1	f111v	f111v.16	MEDIAL	1	1	qokain sheol qokain shckhey lchedy okar al qotal shedy otain far aiin am	qokain sheol qokain chckhey lchedy okar al qotal shedy otain far aiin am	qokain sheol qokain shckhey lchedy okar al qotal she y otain far aiin am
ar	far	2	f33r	f33r.4	MEDIAL	1	1	taiin chekey or al aiiin saiin okaiin dar cheedy chkeey far aiin s	taiin chekey or alaiiin saiin okaiin dar cheedy chkeey far aiin s	taiin chekey or al aiiin saiin okaiin dar cheedy chkeey far aiin s
ary	fary	1	f66r	f66r.8	ONLY	1	1	fary	fary	fary
chaiin	fchaiin	1	f32r	f32r.1	INITIAL	0	0	fchaiin shykeody daiiody dain sho tchy oty qopy	fchoiin shykeody daiiody dain sho tchy oty qopy	fchaiin shykeody daiiody dain sho tchy oty qopy
cham	fcham	1	f76v	f76v.25	FINAL	1	1	psheoldy opalshedy qokshedy qokedy dor shey opchedy dal so fcham	psheoldy opalshedy qokshedy qokedy dor shey opchedy dal ro fcham	pshealdy opalshedy qokshedy qokedy dor shey opchedy dal ro fcham
chdar	fchdar	1	f66r	f66r.65	MEDIAL	1	1	dor shedy okar shedy kcheody chxar daly fchdar cheor aly ry	dar shedy okar chedy kcheody chxar daly fchdar cheor aly sy	dor shedy okar shed kcheo y chxar daly fchdar cheoraly sy
chdy	fchdy	1	f105r	f105r.26	MEDIAL	1	1	pdal sheey yqopchy airal sheey fchdy qopchdy raiir oky chdedy qodeedy qokedy	pdal sheey yqopchy airal sheey fchdy qopchdy raiis oky chdedy qodeedy qokedy	pdal eey yqopchy airal sheey fchdy qopchdy r aiir ok chde y qodeedy qotedy
