surface	working_meaning_de	source	strength	scope_state	priority
aiiin	Menge-/Klassenwert IV	V13:VALUE_MINIM_SERIES	CONTEXTUAL_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	55
aiil	Rohstoffklasse III	GDT655:NEW_EXACT_WHOLE	EXACT_WHOLE_DAL_AL_CONSOLIDATION	KNOWN_EXACT_WHOLE	152
aiin	Menge III	V13:TARGET_SURFACE_DEFAULT	NEW_V11_TARGET_DEFAULT	KNOWN_EXACT_WHOLE	80
ail	Rohstoffklasse II	GDT655:NEW_EXACT_WHOLE	EXACT_WHOLE_DAL_AL_CONSOLIDATION	KNOWN_EXACT_WHOLE	152
ain	Menge-/Klassenwert II	V13:VALUE_MINIM_SERIES	CONTEXTUAL_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	55
al	Rohstoffklasse I	GDT655:NEW_EXACT_WHOLE	EXACT_WHOLE_DAL_AL_CONSOLIDATION	KNOWN_EXACT_WHOLE	152
aldy	Rohstoffklasse I, abgeschlossen	GDT655:NEW_EXACT_WHOLE	EXACT_WHOLE_DAL_AL_CONSOLIDATION	KNOWN_EXACT_WHOLE	152
aly	Rohstoffklasse I, Grundform	GDT655:NEW_EXACT_WHOLE	EXACT_WHOLE_DAL_AL_CONSOLIDATION	KNOWN_EXACT_WHOLE	152
an	Menge-/Klassenwert I	V13:VALUE_MINIM_SERIES	CONTEXTUAL_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	55
ar	Drogenfraktion I	GDT654:NEW_EXACT_WHOLE	EXACT_WHOLE_AR_OR_CONSOLIDATION	KNOWN_EXACT_WHOLE	150
chaiiin	trocken, Grad IV	V13:QUALITY_DEGREE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chaiin	trocken, Grad III	V13:QUALITY_DEGREE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chain	trocken, Grad II	V13:QUALITY_DEGREE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chal	Rohstoffklasse I, trocken am Gradanfang	GDT656:NEW_EXACT_WHOLE	EXACT_WHOLE_AL_QUALITY_POSITION_SHELL	KNOWN_EXACT_WHOLE	154
chan	trocken, Grad I	V13:QUALITY_DEGREE_SERIES	PRODUCTIVE_EXACT_SERIES	KNOWN_CONTEXT_LICENSED	70
chckhal	trockenes Arzneikompositum, Rohstoffform I	GDT653:STRONG_LEARNED_HEAD_COMPOUND	EXACT_WHOLE_FAMILY_EXTENSION	KNOWN_EXACT_WHOLE	148
chckhdy	Arzneikompositum: trocken, Gradanfang, abgeschlossen	GDT651:REVISED_FOUR_SHELL_CKH_GRID	EXACT_WHOLE_FAMILY_REVISION	KNOWN_EXACT_WHOLE	147
chckhedy	Arzneikompositum: trocken, Gradmitte, abgeschlossen	GDT651:REVISED_FOUR_SHELL_CKH_GRID	EXACT_WHOLE_FAMILY_REVISION	KNOWN_EXACT_WHOLE	147
chckheey	Arzneikompositum: trocken, Gradende	GDT651:REVISED_FOUR_SHELL_CKH_GRID	EXACT_WHOLE_FAMILY_REVISION	KNOWN_EXACT_WHOLE	147
chckhey	Arzneikompositum: trocken, Gradmitte	GDT651:REVISED_FOUR_SHELL_CKH_GRID	EXACT_WHOLE_FAMILY_REVISION	KNOWN_EXACT_WHOLE	147
chckhy	Arzneikompositum: trocken, Gradanfang	GDT651:REVISED_FOUR_SHELL_CKH_GRID	EXACT_WHOLE_FAMILY_REVISION	KNOWN_EXACT_WHOLE	147
chcthy	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	V13:DRY_CTH_MATERIAL	NEW_PRIMARY_WORKING_WORD__SEMANTIC_PROVISIONAL	KNOWN_CONTEXT_LICENSED	60
chdal	trockene abgemessene Rohstoffmenge I am Gradanfang	GDT655:NEW_EXACT_WHOLE	EXACT_WHOLE_DAL_AL_CONSOLIDATION	KNOWN_EXACT_WHOLE	152
chdaly	trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	GDT655:REVISE_DAL_MODEL	EXACT_WHOLE_DAL_AL_CONSOLIDATION	KNOWN_EXACT_WHOLE	152
chdy	trocken am Anfang des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	EXACT_QUALITY_SUBDEGREE_FAMILY	KNOWN_EXACT_WHOLE	130
cheaiin	trocken im dritten Grad	GDT645:ROUND_04	EXACT_ZL3B_WHOLE_DOWNSTREAM_COMPLETION	KNOWN_EXACT_WHOLE	125
cheal	Rohstoffklasse I, trocken in der Gradmitte	GDT656:NEW_EXACT_WHOLE	EXACT_WHOLE_AL_QUALITY_POSITION_SHELL	KNOWN_EXACT_WHOLE	154
