master_card	Vorlagenhand_R_A	q_Eintrittshand_R_B	s_Flusshand_R_C	Kurzhand_R_D	reverse_key
oldy	oldy	oldy	oldy	oldy	oldy
choky	choky	qoky	choky	oky	choky
cheeky	cheeky	cheeky	cheeky	cheeky	cheeky
aiin	aiin	aiin	saiin	aiin	aiin
okal	okal	qokal	okal	okal	okal
char	char	char	sar	dar	char
chdy	chdy	chdy	chdy	chdy	chdy
chor	chor	chor	shor	or	chor
chety	chety	chety	chety	chty	chety
cheey	cheey	cheey	shey	shey	cheey
okaiin	okaiin	qokaiin	okaiin	okaiin	okaiin
chey	chey	chey	shy	y	chey
cheol	cheol	qol	sol	ol	cheol
al	al	al	sal	al	al
cholor	cholor	cholor	cholor	olor	cholor
checthy	checthy	checthy	shcthy	cthy	checthy
otchey	otchey	otchey	otchey	otchey	otchey
