exercise_id	dictated_command_de	answer_master_cards	visible_answers	observed_or_new
X01	Aus der Quelle einen Teil abteilen, den Posten ansetzen und nach Sollmaß bemessen.	char chety choky aiin	char chety choky aiin || char chety qoky aiin || dar chty oky aiin || sar chety choky saiin	EXACT_OBSERVED_SKELETON
X02	Den Ansatz bereit halten und den Posten nach Sollmaß führen.	checthy chor chey aiin	checthy chor chey aiin || cthy or y aiin || shcthy shor shy saiin	NEW_WORKSHOP_COMBINATION
X03	Den Ansatz und diesen Posten nach Sollmaß übernehmen.	chor chey aiin	chor chey aiin || or y aiin || shor shy saiin	NEW_WORKSHOP_COMBINATION
X04	Das Sollmaß vorgeben, am Ziel ansetzen und den Ansatz übernehmen.	aiin okal chor chey	aiin okal chor chey || aiin okal or y || aiin qokal chor chey || saiin okal shor shy	EXACT_OBSERVED_SKELETON
X05	Danach den nächsten Posten ansetzen, nach Sollmaß und zum Ziel.	otchey choky aiin al	otchey choky aiin al || otchey choky saiin sal || otchey oky aiin al || otchey qoky aiin al	NEW_WORKSHOP_COMBINATION
X06	Zwei Posten unter dasselbe Sollmaß stellen.	chey aiin chey	chey aiin chey || shy saiin shy || y aiin y	EXACT_OBSERVED_SKELETON
X07	Den vorigen Ansatz im fortgesetzten Arbeitsgang mitführen.	cheol cholor cheol	cheol cholor cheol || ol olor ol || qol cholor qol || sol cholor sol	OBSERVED_CONTIGUOUS_FORMULA
X08	Sollmaß einstellen, aus der Quelle zum Ziel führen, bereit halten und schließen.	okaiin char al checthy oldy	okaiin char al checthy oldy || okaiin dar al cthy oldy || okaiin sar sal shcthy oldy || qokaiin char al checthy oldy	NEW_WORKSHOP_COMBINATION
X09	Umsetzen, danach den nächsten Posten ansetzen und weiterführen.	chdy otchey choky cheol	chdy otchey choky cheol || chdy otchey choky sol || chdy otchey oky ol || chdy otchey qoky qol	EXACT_OBSERVED_SKELETON
X10	Ziel und Sollmaß übernehmen, dann das Sollmaß einstellen.	al aiin okaiin	al aiin okaiin || al aiin qokaiin || sal saiin okaiin	EXACT_OBSERVED_SKELETON
X11	Den Posten ansetzen, bis zum Ergebnis führen und schließen.	choky cheey oldy	choky cheey oldy || choky shey oldy || oky shey oldy || qoky cheey oldy	NEW_WORKSHOP_COMBINATION
X12	Sollmaß einstellen, am Ziel aus der Quelle ansetzen und nach Sollmaß weiterführen.	okaiin okal char cheol aiin	okaiin okal char cheol aiin || okaiin okal dar ol aiin || okaiin okal sar sol saiin || qokaiin qokal char qol aiin	NEW_WORKSHOP_COMBINATION
