lesson_order	master_card	workshop_role	short_reading_de	registered_surfaces	memory_hook	copy_rule
1	oldy	SCHLUSS	weiter+Schluss	oldy	SCHLUSS -> weiter+Schluss	meaning selects card; hand selects one listed surface
2	choky	HANDLUNG+POSTEN	ansetzen+Posten	choky|oky|qoky	HANDLUNG+POSTEN -> ansetzen+Posten	meaning selects card; hand selects one listed surface
3	cheeky	HANDLUNG+ZUSTAND	wärmen+länger+Posten	cheeky	HANDLUNG+ZUSTAND -> wärmen+länger+Posten	meaning selects card; hand selects one listed surface
4	aiin	MASS	Sollmaß	aiin|chaiin|daiin|saiin|taiin	MASS -> Sollmaß	meaning selects card; hand selects one listed surface
5	okal	HANDLUNG+ZIEL	ansetzen+Ziel	okal|qokal	HANDLUNG+ZIEL -> ansetzen+Ziel	meaning selects card; hand selects one listed surface
6	char	QUELLE	Quelle	char|dar|sar	QUELLE -> Quelle	meaning selects card; hand selects one listed surface
7	chdy	HANDLUNG+POSTEN	umsetzen+Posten	chdy|chedy	HANDLUNG+POSTEN -> umsetzen+Posten	meaning selects card; hand selects one listed surface
8	chor	ANSATZ	Ansatz	chor|or|shor|sor	ANSATZ -> Ansatz	meaning selects card; hand selects one listed surface
9	chety	HANDLUNG+TEIL	teilen+Teil	chety|chty	HANDLUNG+TEIL -> teilen+Teil	meaning selects card; hand selects one listed surface
10	cheey	ERGEBNIS	Ergebnis	cheey|shey	ERGEBNIS -> Ergebnis	meaning selects card; hand selects one listed surface
11	okaiin	HANDLUNG+MASS	ansetzen+Sollmaß	okaiin|qokaiin	HANDLUNG+MASS -> ansetzen+Sollmaß	meaning selects card; hand selects one listed surface
12	chey	POSTEN	Posten	chey|chy|dy|shy|sy|y	POSTEN -> Posten	meaning selects card; hand selects one listed surface
13	cheol	FORTSETZUNG	weiter	cheol|chol|ol|qol|sol|tol	FORTSETZUNG -> weiter	meaning selects card; hand selects one listed surface
14	al	ZIEL	Ziel	al|chal|cheal|dal|sal|tal	ZIEL -> Ziel	meaning selects card; hand selects one listed surface
15	cholor	VORIGER_ANSATZ	weiter+Ansatz	cholor|olor	VORIGER_ANSATZ -> weiter+Ansatz	meaning selects card; hand selects one listed surface
16	checthy	ZUSTAND+POSTEN	bereit+Posten	checthy|cthy|shcthy	ZUSTAND+POSTEN -> bereit+Posten	meaning selects card; hand selects one listed surface
17	otchey	FOLGE+POSTEN	danach+Posten	otchey	FOLGE+POSTEN -> danach+Posten	meaning selects card; hand selects one listed surface
