surface	working_candidate_de	alternate_1_de	alternate_2_de	confidence	semantic_role	selection_basis
agairom	eine Handvoll, dritter Anteil	drei Handvoll	dritter Teil	C0_FORCED_CONTEXT	AMOUNT	finaler Mengenslot; ältere Handvoll-/Anteilskarte bleibt nur Kandidat
aiin	drei Einheiten	dritter Grad	eine Menge	C1_FRAME_CONSTRAINED	AMOUNT_OR_LEVEL	zweimal im Mengen-/Gradregister derselben ychor-Zeile; keine EVA-Lautlesung
ar	erster Teil	erste Dosis	Pflanzenteil	C1_FRAME_CONSTRAINED	PART_OR_AMOUNT	Teil-/Anteilsrolle und zweimaliges Auftreten; genaue Referenz offen
cheeky	trockne vollständig, dann erwärme	heiß und trocken	Ende, dann Anfang	C1_FRAME_CONSTRAINED	QUALITY_SEQUENCE	unabhängige DRY HOT BEGIN END-Achsen an der exakten Stelle
cheo	trockene Zubereitung	getrocknetes Kraut	Pulver	C1_FRAME_CONSTRAINED	PREPARATION_STATE	DRY PREPARATION an einer exakten Stelle; zweite Stelle reader-variabel
chocphol	getrocknete Wurzel	Rinde	Kraut	C0_FORCED_CONTEXT	CONTENT_NOUN	ungelesener innerer Slot zwischen Hitzegrad und getrocknetem Material
chodaiin	drei Dosen Trockenansatz	dritter Grad	getrocknete Zubereitung	C0_FORCED_CONTEXT	AMOUNT_OR_PREPARATION	reader-variable Mittelstelle zwischen Abmessen und Samen
chol	trockenes Kraut	Pulver	getrocknete Wurzel	C1_FRAME_CONSTRAINED	DRY_CONTENT	fünf ychor-Körpervorkommen und stabiler älterer Trockenheitskern; Träger bleibt Kandidat
chor	Blätter	Wurzel	Samen	C0_FORCED_CONTEXT	PLANT_PART	zweimal direkter ychor-Folger und starke Herbal-Konzentration; Auswahl Blatt bleibt austauschbar
chory	frische Blätter	Wurzel in Grundform	Pflanzenteil	C0_FORCED_CONTEXT	PLANT_PART_STATE	finaler Pflanzen-/Anfangsstufenslot; spezifischer Teil unbewiesen
chshoty	weiche ein	trockne	kühle ab	C0_FORCED_CONTEXT	PROCESS	direkter Folgeslot; ältere Mehrfachaktionskarte wird auf einen prüfbaren Vorgang reduziert
cthy	Wurzel	Blätter	Kraut	C0_FORCED_CONTEXT	CONTENT_NOUN	zweimal direkter ychor-Folger mit MATERIAL-Achse und fast ausschließlich Herbal-Verteilung
daiin	dritter Grad	drei Einheiten	dritte Dosis	C1_FRAME_CONSTRAINED	LEVEL_OR_AMOUNT	zweimaliger Grad-/Maßslot, einmal final; kein Lautwert aus EVA
dain	zweiter Grad	zweiter Teil	zwei Dosen	C1_FRAME_CONSTRAINED	LEVEL_OR_AMOUNT	finaler älterer Grad-II-Kandidat
dair	zweiter Teil	zweite Dosis	Grad II	C1_FRAME_CONSTRAINED	PART_OR_AMOUNT	innerer älterer Fraktion-II-Kandidat
ddor	miss eine Portion ab	eine Portion	zweiter Teil	C1_FRAME_CONSTRAINED	AMOUNT_PROCESS	finale ältere Abmesskarte, reader-variabel
dol	eine Dosis	ein Materialmaß	eine Handvoll	C1_FRAME_CONSTRAINED	AMOUNT	innerer älterer Materialmaß-Kandidat
kaiin	heiß im dritten Grad	dritter Grad	erhitze stark	C1_FRAME_CONSTRAINED	HOT_LEVEL	finaler älterer HOT/III-Ganzformkandidat; reader-variabel
lchedy	getrocknetes Holz	getrocknete Wurzel	Pulver	C0_FORCED_CONTEXT	DRY_CONTENT	älterer Ganzformkandidat im Trocken-/Hitzerahmen; Holzidentität bleibt schwach
odol	miss den Arzneistoff ab	eine Dosis Arzneistoff	mische den Arzneistoff	C1_FRAME_CONSTRAINED	CONTENT_AMOUNT_PROCESS	exakte MATERIAL AMOUNT PREPARATION PROCESS-Achsen direkt nach ychor
okchey	heiße trockene Zubereitung	trockne bei mittlerer Hitze	Pulver	C1_FRAME_CONSTRAINED	QUALITY_PREPARATION	exakte HOT DRY PREPARATION MIDDLE-Achsen
oky	heiß am Anfang	erwärme zuerst	heiße Zubereitung	C1_FRAME_CONSTRAINED	HOT_BEGIN	wiederkehrender älterer Hitze-/Anfangskandidat; eine von drei Stellen reader-exakt
ol	Arzneistoff	Zubereitung	Öl	C0_FORCED_CONTEXT	CONTENT_OR_CARRIER	doppelter innerer Inhaltsträger; Öl bleibt nur Rivale und wird nicht aus EVA-Buchstaben abgeleitet
