master_card_id	master_form	current_core_de	component_parse	prose_event_count	records	missing_pair_candidate	candidate_status	lexical_short_value_de	contextual_expansion_de	confidence	event_ids	statement_ids
MC012	dl	Zusatz	DL_BATH_ADDITIVE_WHOLE_CARD	2	B1	NONE	NO_PAIR_MATCH	Zusatz	Zusatz	NONE	E112|E129	B1-S002|B1-S006
MC037	tchody	kalt stellen; Schluss	TCHO + DY	1	H3	NONE	NO_PAIR_MATCH	kalt stellen; Schluss	kalt stellen; Schluss	NONE	E045	H3-S001
MC049	schoal	Sudansatz	SCHOAL	1	H3	AR|OR	SELECTED_LEXICAL_BLOCKER	SUDANSATZ	aus dem bezeichneten Kochgut einen Ansatz bilden	MEDIUM	E040	H3-S001
MC052	qekey	kurz bearbeiten	MEMORIZED_WHOLE_CARD	1	B6	NONE	NO_PAIR_MATCH	kurz bearbeiten	kurz bearbeiten	NONE	E374	B6-S001
MC059	dain	Einlage	DAIN_CLOTH_WHOLE	2	B4|B6	NONE	NO_PAIR_MATCH	Einlage	Einlage	NONE	E327|E379	B4-S005|B6-S001
MC061	sshkchdy	Haltetransfer; Schluss	SSHK_SWIVEL_WHOLE+CLOSE	1	B1	AR|AL	SELECTED_LEXICAL_BLOCKER	UEBERTRAGEN	von der aktiven Stelle zur nächsten übertragen	MEDIUM	E122	B1-S003
MC068	sotodan	als Folgeanwendung führen	SOTODAN	1	H5	AL|OL	SELECTED_LEXICAL_BLOCKER	FOLGEANWENDUNG	zur folgenden Anwendung weiterführen	HIGH	E097	H5-S005
MC071	dchey	Wurzel	DCHEY	1	H1	NONE	NO_PAIR_MATCH	Wurzel	Wurzel	NONE	E001	H1-S001
MC084	rshedy	Vollwaschung; Schluss	RSHE_WASH_WHOLE_CARD+DY_CLOSE	1	B2	NONE	NO_PAIR_MATCH	Vollwaschung; Schluss	Vollwaschung; Schluss	NONE	E225	B2-S019
MC098	tshol	Kochgut	TSHOL	1	H3	NONE	NO_PAIR_MATCH	Kochgut	Kochgut	NONE	E039	H3-S001
MC099	cheeckhody	auftragen; Schluss	CHEECKHO + DY	1	H5	NONE	NO_PAIR_MATCH	auftragen; Schluss	auftragen; Schluss	NONE	E086	H5-S002
MC108	etyd	kleiner Rest	ETYD	1	H1	NONE	NO_PAIR_MATCH	kleiner Rest	kleiner Rest	NONE	E010	H1-S001
MC109	ytey	Kurzteil	MEMORIZED_WHOLE_CARD	1	B1	NONE	NO_PAIR_MATCH	Kurzteil	Kurzteil	NONE	E150	B1-S015
MC114	sh	Stängel	SH	1	H5	NONE	NO_PAIR_MATCH	Stängel	Stängel	NONE	E087	H5-S003
MC118	ly	Auffanggefäß	MEMORIZED_VESSEL_CARD	1	B1	NONE	NO_PAIR_MATCH	Auffanggefäß	Auffanggefäß	NONE	E159	B1-S018
MC119	cheey	Klarlauf	SHEY_CLEAR_LIQUID_WHOLE	4	B2|B4|H3	NONE	NO_PAIR_MATCH	Klarlauf	Klarlauf	NONE	E044|E197|E203|E353	H3-S001|B2-S010|B2-S012|B4-S015
MC124	lkedy	Kurzabzug; Schluss	LKEDY_REWASH_WHOLE+CLOSE	1	B4	AR|OL	SELECTED_LEXICAL_BLOCKER	WEITERABZUG	aus dem laufenden Posten weiter abziehen	HIGH	E344	B4-S011
MC129	cfhy	auswringen	CFHY	1	H3	NONE	NO_PAIR_MATCH	auswringen	auswringen	NONE	E041	H3-S001
MC138	dshedy	Frischwasser zugeben; Schluss	DSHE_FRESH_WATER+DY_CLOSE	1	B2	NONE	NO_PAIR_MATCH	Frischwasser zugeben; Schluss	Frischwasser zugeben; Schluss	NONE	E189	B2-S007
MC152	ches	teilen	MEMORIZED_WHOLE_CARD	1	B2	NONE	NO_PAIR_MATCH	teilen	teilen	NONE	E216	B2-S016
MC156	cphy	nachseihen	CPHY	1	H3	NONE	NO_PAIR_MATCH	nachseihen	nachseihen	NONE	E043	H3-S001
MC160	talam	Verwahrort	TALAM	1	H4	NONE	NO_PAIR_MATCH	Verwahrort	Verwahrort	NONE	E063	H4-S002
MC164	qokylddy	befestigen; Schluss	OK+Y_ITEM+LDDY_FASTEN_CLOSE	1	B4	NONE	NO_PAIR_MATCH	befestigen; Schluss	befestigen; Schluss	NONE	E326	B4-S004
