master_card_id	master_form	registered_surfaces	current_default_de	syntactic_type	teaching_layer	drawer	event_count
MC001	chdal	chdal	übertragen · Zielstelle	LEARNED_TRANSFER_OR_ADDRESS	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1
MC002	okeey	okeey|qokeey	lange einwirken	DURATIVE_ACTION	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	7
MC003	sheedy	sheedy	absetzen · länger; schließen	LEARNED_PROCESS_OR_STATE	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1
MC004	ldy	ldy	abziehen; Schluss	TERMINAL_ACTION	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2
MC005	okchedy	okchedy|qokchedy	einführen; Schluss	TERMINAL_ACTION	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2
MC006	chokcheo	chokcheo	einsetzen · Auszug	LEARNED_OBJECT	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1
MC007	okey	okey|qokey	kurz einwirken	DURATIVE_ACTION	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2
MC008	lchy	lchy	abführen · Posten	LEARNED_TRANSFER_OR_ADDRESS	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1
MC009	chary	chary	Ausgang · Posten	LEARNED_TRANSFER_OR_ADDRESS	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1
MC010	chodaly	chodaly	Zutat · Zielstelle · Posten	LEARNED_OBJECT	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1
MC011	lchedar	lchedar	abführen · übertragen · Ausgang	LEARNED_TRANSFER_OR_ADDRESS	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1
MC012	dl	dl	Zusatz	OBJECT	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2
MC013	otchor	otchor|qotchor	Folgeansatz	ORDERED_OBJECT	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2
MC014	chair	chair	Flüssigkeitslauf	LEARNED_TRANSFER_OR_ADDRESS	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1
MC015	qokokchy	qokokchy	einsetzen · einsetzen · Posten	LEARNED_LOCAL_ACTION	SPECIALIST_DRAWER_WHOLE_CARD	D8_LOCAL_OPERATION	1
MC016	rol	rol	weiter	LEARNED_ORDER_OR_LINK	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	1
