statement_id	record_unit_id	page	visible_surface_sequence	type_signature	period_sized_card_chain_de	typed_clause_de
H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	LEARNED_OBJECT>LEARNED_OBJECT>SOURCE_ANAPHOR>QUANTITY_OBJECT>LEARNED_OBJECT>LEARNED_TRANSFER_OR_ADDRESS>LEARNED_QUANTITY_OR_STAGE>ACTION>QUANTITY>LEARNED_PROCESS_OR_STATE	Wurzel · Posten | bereitstellen · Ansatz | davon | Anteil | Gefäß | Flüssigkeitslauf | danach · Teil · weiter | einsetzen | Sollmaß | kurz · Teil	Wurzel · Posten; bereitstellen · Ansatz; davon; Anteil; Gefäß; Flüssigkeitslauf; danach · Teil · weiter; einsetzen; Sollmaß; kurz · Teil.
H1-S002	H1	f10r	qokchy qotchol chol cthy	ACTION>LEARNED_ORDER_OR_LINK>CONTINUATION_LINK>STATE	weiterbearbeiten | danach · weiter | weiter | bereit	weiterbearbeiten; danach · weiter; weiter; bereit.
H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	LEARNED_OBJECT>STATE>OBJECT>LEARNED_PROCESS_OR_STATE>LEARNED_PROCESS_OR_STATE>ITEM_ANAPHOR>ITEM_ANAPHOR>QUANTITY>ITEM_ANAPHOR	Posten · Auszug · Ansatz | bereit | Ansatz | bereitstellen · Sollmaß | bereitstellen · weiter · Posten | dies | dies | Sollmaß | dies	Posten · Auszug · Ansatz; bereit; Ansatz; bereitstellen · Sollmaß; bereitstellen · weiter · Posten; dies; dies; Sollmaß; dies.
H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	ORDERED_OBJECT>OBJECT>LEARNED_ORDER_OR_LINK>CONTINUATION_LINK>CARRIED_PREPARATION>CONTINUATION_LINK>QUANTITY>SOURCE_ANAPHOR	Folgeansatz | Ansatz | danach · weiter | weiter | damit weiter | weiter | Sollmaß | davon	Folgeansatz; Ansatz; danach · weiter; weiter; damit weiter; weiter; Sollmaß; davon.
H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	LEARNED_OBJECT>OBJECT>OBJECT>ITEM_ANAPHOR>LEARNED_QUANTITY_OR_STAGE>ITEM_ANAPHOR>LEARNED_OBJECT	Posten · bearbeiten · Ansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zutat · Sollmaß	Posten · bearbeiten · Ansatz; Ansatz; Ansatz; dies; Arbeitsstufe; dies; Zutat · Sollmaß.
H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	LEARNED_OBJECT>LEARNED_OBJECT>LEARNED_PROCESS_OR_PATH>LEARNED_PROCESS_OR_STATE>LEARNED_PROCESS_OR_PATH>PRODUCT_OBJECT>LEARNED_OBJECT	Zutat · abführen | Zutat · Zielstelle | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarauszug | Zutat; schließen	Zutat · abführen; Zutat · Zielstelle; auswringen · Posten; halten · Sollmaß; nachseihen · Posten; Klarauszug; Zutat; schließen.
H3-S002	H3	f11r	shoyty	LEARNED_OBJECT	Zutat · Posten · Teil	Zutat · Posten · Teil.
H3-S003	H3	f11r	dchol chy kchy dy daiin	SOURCE_ANAPHOR>ITEM_ANAPHOR>LEARNED_LOCAL_ACTION>ITEM_ANAPHOR>QUANTITY	vom vorigen | dies | bearbeiten · Posten | dies | Sollmaß	vom vorigen; dies; bearbeiten · Posten; dies; Sollmaß.
H3-S004	H3	f11r	qotchy okchol cthy dy	LEARNED_ORDER_OR_LINK>LEARNED_ORDER_OR_LINK>STATE>ITEM_ANAPHOR	danach · Posten | einsetzen · weiter | bereit | dies	danach · Posten; einsetzen · weiter; bereit; dies.
H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	QUANTITY_ACTION>QUANTITY>LEARNED_QUANTITY_OR_STAGE>LEARNED_QUANTITY_OR_STAGE>LEARNED_PROCESS_OR_STATE	bemessen | Sollmaß | Posten · Anteil | Posten · Anteil | kühlen	bemessen; Sollmaß; Posten · Anteil; Posten · Anteil; kühlen.
H4-S002	H4	f55v	daiin chedy talam	QUANTITY>ACTION>LEARNED_APPLICATION_ACTION	Sollmaß | überführen | Zielstelle · verwahren	Sollmaß; überführen; Zielstelle · verwahren.
H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	LEARNED_QUANTITY_OR_STAGE>LEARNED_OBJECT>DURATIVE_ACTION>TERMINAL_STATE	Posten · Sollmaß | Auszug · Ausgang | länger bearbeiten | fertig	Posten · Sollmaß; Auszug · Ausgang; länger bearbeiten; fertig.
H4-S004	H4	f55v	aiin okal oltchy or y orain	QUANTITY>TARGET_ACTION>LEARNED_PROCESS_OR_STATE>OBJECT>ITEM_ANAPHOR>LEARNED_OBJECT	Sollmaß | dorthin einsetzen | weiter · bereitstellen · Posten | Ansatz | dies | Ansatz · Anteil	Sollmaß; dorthin einsetzen; weiter · bereitstellen · Posten; Ansatz; dies; Ansatz · Anteil.
