forecast_id	component_recipe	component_values_de	predicted_short_meaning_de	canonical_surface_sketch	surface_status	expected_sentence_slot	closest_attested_analogies	confidence	writing_instruction
P01	OK+AN	EINSETZEN + ZWEITE_PORTION	zweite Portion einsetzen	okan	UNSEEN_ON_TEN_PAGES	OPEN_ACTION	qokain|okaiin|ykan	MEDIUM	combine the listed master components; renderer may add or change the outer frame
P02	OT+AN	DANACH + ZWEITE_PORTION	danach die zweite Portion	otan	UNSEEN_ON_TEN_PAGES	OPEN_ORDER	otaiin|ykan	LOW	combine the listed master components; renderer may add or change the outer frame
P03	OL+AN	WEITER + ZWEITE_PORTION	mit der zweiten Portion weiter	olan	UNSEEN_ON_TEN_PAGES	OPEN_CONTINUATION	olkain|ykan	LOW	combine the listed master components; renderer may add or change the outer frame
P04	AR+AIIN	VON + SOLLWERT	Sollwert aus der bezeichneten Quelle	araiin	UNSEEN_ON_TEN_PAGES	OPEN_SOURCE_VALUE	char|daiin	MEDIUM	combine the listed master components; renderer may add or change the outer frame
P05	AL+AIIN	ZU + SOLLWERT	Sollwert an der Zielstelle	alaiin	MATCHES_EXISTING_ASTRO_LABEL	OPEN_TARGET_VALUE	dal|daiin	HIGH	combine the listed master components; renderer may add or change the outer frame
P06	OL+AIIN	WEITER + SOLLWERT	im selben Gang bis zum Sollwert weiter	olaiin	UNSEEN_ON_TEN_PAGES	OPEN_CONTINUATION_VALUE	chol|daiin	HIGH	combine the listed master components; renderer may add or change the outer frame
P07	CHED+AIIN	ÜBERFÜHREN + SOLLWERT	bis zum Sollwert überführen	chedaiin	MATCHES_EXISTING_ASTRO_LABEL	OPEN_TRANSFER_VALUE	chedain|daiin	HIGH	combine the listed master components; renderer may add or change the outer frame
P08	SHED+AIIN	ABSETZEN + SOLLWERT	bis zur Sollstufe absetzen	shedaiin	UNSEEN_ON_TEN_PAGES	OPEN_SETTLE_VALUE	shfydaiin|chldaiin	HIGH	combine the listed master components; renderer may add or change the outer frame
P09	CHK+AIIN	WÄRMEN + SOLLWERT	bis zur Sollstufe wärmen	chkaiin	UNSEEN_ON_TEN_PAGES	OPEN_HEAT_VALUE	chkain|daiin	HIGH	combine the listed master components; renderer may add or change the outer frame
P10	CKH+AL+Y	DURCHLASS + ZU + DIES	diesen Posten durch den Zielgang führen	ckhaly	UNSEEN_ON_TEN_PAGES	OPEN_TARGET_PASSAGE	sheckhal|chckhy	HIGH	combine the listed master components; renderer may add or change the outer frame
P11	OK+OR+Y	EINSETZEN + ANSATZ + DIES	diesen Ansatz in den Arbeitsgang setzen	okory	UNSEEN_ON_TEN_PAGES	OPEN_BATCH_ACTION	choky|ycheor	MEDIUM	combine the listed master components; renderer may add or change the outer frame
P12	OT+OR+Y	DANACH + ANSATZ + DIES	danach mit dem nächsten Ansatz arbeiten	otory	UNSEEN_ON_TEN_PAGES	OPEN_NEXT_BATCH	otchor|ycheor	MEDIUM	combine the listed master components; renderer may add or change the outer frame
