axis	value	lines	tokens	new_v50	residual_unknown	inherited_narrow_carrier	inherited_other_assigned	complete_lines	assigned_fraction
register	B	8	85	8	17	14	46	0	0.800000
register	C	4	31	4	9	1	17	0	0.709677
register	H	11	89	11	31	9	38	0	0.651685
register	P	2	9	2	4	2	1	1	0.555556
register	S	19	187	19	57	38	73	1	0.695187
register	T	7	78	7	18	13	40	0	0.769231
language	A	11	78	11	28	10	29	1	0.641026
language	B	40	401	40	108	67	186	1	0.730673
hand	1	11	78	11	28	10	29	1	0.641026
hand	2	20	203	20	49	28	106	0	0.758621
hand	3	18	174	18	52	35	69	1	0.701149
hand	@	2	24	2	7	4	11	0	0.708333
