rank	page	touched_lines	tokens	residual_unknown	assigned_fraction	inherited_other_assigned	inherited_narrow_carrier	distinct_v50_surfaces	v50_surfaces	loci
1	f80v	2	22	3	0.863636	14	3	1	olkar	f80v.27|f80v.35
2	f107r	2	23	4	0.826087	11	6	2	dchey|olkar	f107r.2|f107r.40
3	f86v5	3	32	7	0.781250	14	8	2	olkar|qopchol	f86v5.2|f86v5.24|f86v5.4
4	f86v6	4	46	11	0.760870	26	5	1	olkar	f86v6.25|f86v6.31|f86v6.4|f86v6.5
5	f86v3	3	28	7	0.750000	17	1	3	dchey|olkar|qopchol	f86v3.13|f86v3.18|f86v3.19
6	f105r	2	26	7	0.730769	12	5	2	dshees|lchl	f105r.2|f105r.31
7	f115r	2	24	7	0.708333	11	4	2	dchey|qopchol	f115r.1|f115r.23
8	f114r	2	23	8	0.652174	7	6	2	chcphey|olam	f114r.24|f114r.26
9	f113v	3	19	7	0.631579	6	3	3	olam|olkar|oror	f113v.12|f113v.17|f113v.3
10	f105v	2	19	11	0.421053	4	2	1	olpchedy	f105v.1|f105v.14
