category	positions	denominator	share
NEW_V50	51	479	0.106472
RESIDUAL_UNKNOWN	136	479	0.283925
INHERITED_NARROW_CARRIER	77	479	0.160752
INHERITED_OTHER_ASSIGNED	215	479	0.448852
LITERAL_NARROW_CARRIER_POSITIONS	105	479	0.219207
LITERAL_NARROW_CARRIER_MATCHES	106	479	0.221294
WORKING_NARROW_CARRIER_POSITIONS	113	479	0.235908
WORKING_NARROW_CARRIER_MATCHES	114	479	0.237996
ASSIGNED_EXTENDED_CLASS_CARRIER_POSITIONS	311	343	0.906706
LITERAL_HARD_GENERIC_MATCHES	0	479	0.000000
WORKING_HARD_GENERIC_MATCHES	0	479	0.000000
