page	locus	section	language	hand	token_count	new_v50_positions	residual_unknown_positions	inherited_narrow_carrier_positions	inherited_other_assigned_positions	literal_narrow_carrier_positions	literal_narrow_carrier_matches	working_narrow_carrier_positions	working_narrow_carrier_matches	assigned_fraction	complete	action_positions	action_ordinals	action_surfaces	line_mode	source_action_mode	gdt675_render_correction	new_surface	new_reader_support	remaining_unknown_surfaces	zl3b_line	literal_token_glosses_de	working_line_de	review_note
f102v2	f102v2.3	P	A	1	1	1	0	0	0	0	0	0	0	1.000000	1	0	NONE	NONE	QUANTITY_LABEL	CATALOGUE	NONE	oror	BOTH_EXACT	NONE	oror	zwei Portionen	Zwei Portionen.	HOLD: oror ist hier ein vollständiges Mengenlabel.
f104v	f104v.2	S	B	3	10	1	5	2	2	2	3	2	3	0.500000	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	NONE	alched	ONE_EXACT	ychedaiin|qoteed|qokamdy|otarar|oram	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	[ychedaiin:?] | [qoteed:?] | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | [qokamdy:?] | [otarar:?] | Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen | zweite kalte Drogenfraktion im Ansatz | [oram:?]	⟦ychedaiin:?⟧ · ⟦qoteed:?⟧ · Arzneikompositum im Trockenansatz, Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ⟦qokamdy:?⟧ · ⟦otarar:?⟧ · Rohdroge I, bis Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · ⟦oram:?⟧.	HOLD/SPLIT: alched ist hier klar resultative Rohdroge, kein Trocknungsbefehl.
f105r	f105r.2	S	B	3	13	1	2	4	6	5	5	5	5	0.846154	0	2	11|13	odar|qody	MIXED_RECORD	MIXED_ACTION	NONE	dshees	BOTH_EXACT	yey|qodor	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Dosis oder Charge vollständig eingeweichter Arzneispecies · ⟦yey:?⟧ · trocken, Endstufe · Wurzel, Charge III · kalt-trockener Ansatz, Anfangsstufe, abgeschlossen · ⟦qodor:?⟧ · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken, Endstufe · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · Zubereitung fertigstellen.	HOLD: dshees ist nominale Dosis/Charge; die Handlungen stehen erst am Zeilenende.
f105r	f105r.31	S	B	3	13	1	5	1	6	1	1	1	1	0.615385	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	NONE	lchl	BOTH_EXACT	kodeey|shx|aiijy|cpheesy|fchoky	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	[kodeey:?] | getrocknetes Drogenholz | [shx:?] | Drogenfraktion I | [aiijy:?] | [cpheesy:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | erhitzte Holzdroge, Mittelstufe, fertig | heiße Holzfraktion I | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | Drogenportion | [fchoky:?]	⟦kodeey:?⟧ · getrocknetes Drogenholz · ⟦shx:?⟧ · Drogenfraktion I · ⟦aiijy:?⟧ · ⟦cpheesy:?⟧ · Rohstoffklasse I im heißen Anfangsansatz · erhitzte Holzdroge, Mittelstufe, fertig · heiße Holzfraktion I · trocken, Mittelstufe, abgeschlossen · heiß, Grad III · Drogenportion · ⟦fchoky:?⟧.	HOLD: lchl als getrocknetes Drogenholz passt in das Holz-/Fraktionsregister.
f105v	f105v.1	S	B	3	9	1	7	0	1	1	1	1	1	0.222222	0	1	4	ykaiin	MIXED_RECORD	MIXED_ACTION	NONE	olpchedy	BOTH_EXACT	polairy|oair|olpcheey|opchedaiin|dairody|ypcheddy|sairy	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	[polairy:?] | [oair:?] | [olpcheey:?] | erhitze hiervon auf Stufe III | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [opchedaiin:?] | [dairody:?] | [ypcheddy:?] | [sairy:?]	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · hiervon auf Stufe III erhitzen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	HOLD/SPLIT: olpchedy bezeichnet das Ergebnis der unmittelbar vorausgehenden Erhitzung.
f105v	f105v.14	S	B	3	10	1	4	2	3	3	3	3	3	0.600000	0	3	3|8|10	qokaiir|odar|chtchy	ACTION_SEQUENCE	MIXED_ACTION	NONE	olpchedy	BOTH_EXACT	pchedaiin|olord|tail|kard	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	[pchedaiin:?] | Arzneikompositum: trocken, Gradanfang, abgeschlossen | nimm die dritte erhitzte Drogenfraktion | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [olord:?] | Menge-/Klassenwert IV | [tail:?] | erste Ansatzfraktion abmessen | [kard:?] | Droge kalt trocknen und leicht nachtrocknen	⟦pchedaiin:?⟧ · trockenes Arzneikompositum, Anfangsstufe, abgeschlossen · dritte erhitzte Drogenfraktion nehmen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦olord:?⟧ · Menge/Klasse IV · ⟦tail:?⟧ · erste Ansatzfraktion abmessen · ⟦kard:?⟧ · Droge kalt trocknen und leicht nachtrocknen.	HOLD/SPLIT: olpchedy ist das entnommene Fertigpulver, nicht ein zweiter Befehl.
f106r	f106r.23	S	B	3	10	1	1	2	6	3	3	3	3	0.900000	0	1	2	qckhedy	MIXED_RECORD	MIXED_ACTION	NONE	shecphy	ONE_EXACT	aror	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	Eintrag: getrocknete Droge, fertig | bereite das Arzneikompositum bis zur Mittelstufe und schließe ab | abgemessene Fraktion II | Rohstoffklasse I | heiß in der Mitte des Grades, abgeschlossen | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | heiß und trocken am Anfang des Grades | kalter Ansatz in der Mitte des Grades, abgeschlossen | abgemessene Fraktion I | [aror:?]	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · ⟦aror:?⟧.	HOLD/SPLIT: shecphy ist ein eingeweichtes Fertigergebnis innerhalb einer gestuften Fraktionszeile.
f107r	f107r.2	S	B	3	13	1	3	2	7	2	2	2	2	0.769231	0	2	1|6	dchey|qor	MIXED_RECORD	INSTRUCTION_INITIAL	NONE	dchey	BOTH_EXACT	qoteos|oteed|qeeey	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	eine Dosis bis zur Mittelstufe trocknen und abschließen | [qoteos:?] | Menge III | feucht in der Mitte des Grades, abgeschlossen | [oteed:?] | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | [qeeey:?] | Holzportion	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦qoteos:?⟧ · Menge III · feucht, Mittelstufe, abgeschlossen · ⟦oteed:?⟧ · eine Drogenportion nehmen · Menge III · trocken angesetztes Arzneikompositum, Anfangsstufe · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken, Mittelstufe · ⟦qeeey:?⟧ · Holzportion.	HOLD: zeileninitiales dchey trägt hier eine echte Handlungsvalenz.
f107r	f107r.40	S	B	3	10	1	1	4	4	5	5	5	5	0.900000	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	KEEP_OLKAR_NOMINAL;OTAIR_IS_NEW_CONTRAST_NOT_VALUE	olkar	BOTH_EXACT	lolkaiin	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	[lolkaiin:?] | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang	⟦lolkaiin:?⟧ · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	HOLD: olkar ist eine erhitzte Fraktion; die mögliche Holzbindung bleibt offen.
f10r	f10r.2	H	A	1	10	1	4	2	3	2	2	2	2	0.600000	0	1	1	dchey	MIXED_RECORD	INSTRUCTION_INITIAL	NONE	dchey	BOTH_EXACT	cthoor|chair|otytchol|etyd	dchey cthoor char chty os chair otytchol oky daiin etyd	eine Dosis bis zur Mittelstufe trocknen und abschließen | [cthoor:?] | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | [chair:?] | [otytchol:?] | heißer Ansatz am Anfang des Grades | Grad-/Maßwert III | [etyd:?]	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦cthoor:?⟧ · Trockenfraktion I · trocken-kalt, Anfangsstufe · Ansatzcharge · ⟦chair:?⟧ · ⟦otytchol:?⟧ · heißer Ansatz, Anfangsstufe · Grad/Maß III · ⟦etyd:?⟧.	HOLD: dchey kann zeileninitial als Anweisung stehen; der Rest spezifiziert Charge und Stufe.
