rank	page	locus	section	language	hand	token_count	new_v50_positions	residual_unknown_positions	inherited_narrow_carrier_positions	inherited_other_assigned_positions	literal_narrow_carrier_positions	literal_narrow_carrier_matches	working_narrow_carrier_positions	working_narrow_carrier_matches	assigned_fraction	complete	action_positions	action_ordinals	action_surfaces	line_mode	source_action_mode	gdt675_render_correction	new_surface	new_reader_support	remaining_unknown_surfaces	zl3b_line	literal_token_glosses_de	working_line_de	review_note
1	f112v	f112v.10	S	B	3	4	1	0	1	2	1	1	1	1	1.000000	1	0	NONE	NONE	QUANTITY_LABEL	CATALOGUE	BIND_OROR_AS_QUANTITY_OF_OKCHEDY	oror	ONE_EXACT	NONE	dain sheey okchedy oror	Grad-/Maßwert II | feucht am Ende des Grades | heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen | zwei Portionen	Grad/Maß II · feucht, Endstufe · heiß-trockener Ansatz, Mittelstufe, abgeschlossen · zwei Portionen.	HOLD: vollständiges Zustands- und Mengenlabel; oror passt ohne Zusatzannahme.
2	f102v2	f102v2.3	P	A	1	1	1	0	0	0	0	0	0	0	1.000000	1	0	NONE	NONE	QUANTITY_LABEL	CATALOGUE	NONE	oror	BOTH_EXACT	NONE	oror	zwei Portionen	Zwei Portionen.	HOLD: oror ist hier ein vollständiges Mengenlabel.
3	f80v	f80v.27	B	B	2	10	1	1	0	8	1	1	1	1	0.900000	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	NONE	olkar	ONE_EXACT	oltaiin	pshol kain olkar shey qokain dal oltaiin okain shal qoty	eingeweichter Pulverstoff | heiß, Grad II | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | feucht in der Mitte des Grades | heiß, Grad II | abgemessene Rohstoffmenge I | [oltaiin:?] | heiß im Zubereitungsrahmen, Grad II | Rohstoffklasse I, feucht am Gradanfang | kalt am Anfang des Grades	Eingeweichter Pulverstoff · heiß, Grad II · erste erhitzte Drogenfraktion im Ansatz · feucht, Mittelstufe · heiß, Grad II · abgemessene Rohstoffmenge I · ⟦oltaiin:?⟧ · heiß, Grad II, im Zubereitungsrahmen · Rohstoffklasse I, feucht, Anfangsstufe · kalt, Anfangsstufe.	HOLD: olkar passt als nominale erhitzte Fraktion in ein fast geschlossenes Stoffregister.
4	f86v6	f86v6.5	T	B	2	12	1	1	2	8	3	3	4	4	0.916667	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	BIND_DAIIN_VALUE_III_TO_OLKAR	olkar	BOTH_EXACT	taiky	tar lol chol olkar daiin chear or otshey qokar opchey taiky qotar	kalte Drogenfraktion I | Holzstoff | trocken; nominal trockenes Gut/Material | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | Grad-/Maßwert III | trockene Fraktion I | Drogenportion | kalt-feuchter Ansatz in der Mitte des Grades | heiße Drogenfraktion I | Trockenpulver-Ansatz, Form I | [taiky:?] | kalte Drogenfraktion I	Kalte Drogenfraktion I · Holzstoff · Trockengut · erste erhitzte Drogenfraktion im Ansatz · Grad/Maß III · trockene Fraktion I · Drogenportion · kalt-feuchter Ansatz, Mittelstufe · heiße Drogenfraktion I · Trockenpulver-Ansatz, Form I · ⟦taiky:?⟧ · kalte Drogenfraktion I.	HOLD: olkar steht in einer besonders starken kalten/heißer/trockenen Fraktionsparadigmatik.
5	f106r	f106r.23	S	B	3	10	1	1	2	6	3	3	3	3	0.900000	0	1	2	qckhedy	MIXED_RECORD	MIXED_ACTION	NONE	shecphy	ONE_EXACT	aror	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	Eintrag: getrocknete Droge, fertig | bereite das Arzneikompositum bis zur Mittelstufe und schließe ab | abgemessene Fraktion II | Rohstoffklasse I | heiß in der Mitte des Grades, abgeschlossen | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | heiß und trocken am Anfang des Grades | kalter Ansatz in der Mitte des Grades, abgeschlossen | abgemessene Fraktion I | [aror:?]	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · ⟦aror:?⟧.	HOLD/SPLIT: shecphy ist ein eingeweichtes Fertigergebnis innerhalb einer gestuften Fraktionszeile.
6	f86v5	f86v5.2	T	B	2	12	1	1	4	6	4	4	4	4	0.916667	0	2	7|10	qopchol|ytol	ACTION_SEQUENCE	MIXED_ACTION	BIND_TAL_RAW_I_AS_QUALIFIER_OF_QOPCHOL_OBJECT	qopchol	BOTH_EXACT	losair	losair yteody qokar shy qokar shor qopchol tal ol ytol otam otam	[losair:?] | Eintrag/Bezug: kalte Zubereitung, abgeschlossen | heiße Drogenfraktion I | feucht am Anfang des Grades | heiße Drogenfraktion I | Blüten-/Fruchtstand; reproduktiver Teil | nimm getrockneten Pulverstoff | Rohstoffklasse I, kalt am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kühle hiervon den Drogenstoff ab | ein Maß kalten Ansatzes | ein Maß kalten Ansatzes	⟦losair:?⟧ · kalte Zubereitung, abgeschlossen · heiße Drogenfraktion I · feucht, Anfangsstufe · heiße Drogenfraktion I · Blüten-/Fruchtstand · getrockneten Pulverstoff nehmen · Rohstoffklasse I, kalt, Anfangsstufe · Ansatz/Gut · hiervon den Drogenstoff abkühlen · ein Maß kalten Ansatzes · ein Maß kalten Ansatzes.	HOLD: qopchol und ytol ergeben eine konkrete Entnahme-Kühl-Folge.
7	f56r	f56r.6	H	A	1	6	1	1	0	4	0	0	0	0	0.833333	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	DO_NOT_BIND_DAIIN_TO_DCHEY;NEAREST_HEAD_KEEY	dchey	BOTH_EXACT	ykcho	ykcho dy dchey keey daiin y	[ykcho:?] | Qualitäts-/Wertfeld geschlossen | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß am Ende des Grades | Grad-/Maßwert III | Eintrag abgeschlossen	⟦ykcho:?⟧ · Qualitäts-/Wertfeld geschlossen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß, Endstufe · Grad/Maß III · Eintrag abgeschlossen.	HOLD/SPLIT: dchey ist Bestandteil eines abgeschlossenen Qualitätsregisters.
8	f77r	f77r.38	B	B	2	9	1	1	3	4	4	4	4	4	0.888889	0	3	3|6|9	qoeedy|qol|qol	ACTION_SEQUENCE	MIXED_ACTION	RENDER_CHCPHEY_AS_OBJECT_OF_QOL_AT_6	chcphey	BOTH_EXACT	ltaiin	pol shedy qoeedy qokaiin chcphey qol ltaiin shedy qol	Pulverstoff | feucht in der Mitte des Grades, abgeschlossen | nimm den vollständig fertiggestellten Ansatz | heiß, Grad III | bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum | Drogenstoff zugeben | [ltaiin:?] | feucht in der Mitte des Grades, abgeschlossen | Drogenstoff zugeben	Pulverstoff · feucht, Mittelstufe, abgeschlossen · vollständig fertiggestellten Ansatz nehmen · heiß, Grad III · bis Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · Drogenstoff zugeben · ⟦ltaiin:?⟧ · feucht, Mittelstufe, abgeschlossen · Drogenstoff zugeben.	HOLD/SPLIT: chcphey ist das getrocknete Zugabegut zwischen Nehmen und zweimaligem Zugeben.
9	f86v5	f86v5.24	T	B	2	9	1	1	3	4	4	4	4	4	0.888889	0	1	3	ykain	MIXED_RECORD	MIXED_ACTION	DO_NOT_ATTACH_FLANKING_OTAIIN_TO_OLKAR;CONTRAST_SERIES	olkar	BOTH_EXACT	kchody	oar aiin ykain okal kchody chckhy otaiin olkar otaiin	Drogenfraktion I im Ansatz | Menge III | erhitze hiervon auf Stufe II | Rohstoffklasse I im Ansatz, heiß am Gradanfang | [kchody:?] | Arzneikompositum: trocken, Gradanfang | kalt im Zubereitungsrahmen, Grad III | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | kalt im Zubereitungsrahmen, Grad III	Drogenfraktion I im Ansatz · Menge III · hiervon auf Stufe II erhitzen · Rohstoffklasse I im heißen Anfangsansatz · ⟦kchody:?⟧ · trockenes Arzneikompositum, Anfangsstufe · kalt, Grad III, im Zubereitungsrahmen · erste erhitzte Drogenfraktion im Ansatz · kalt, Grad III, im Zubereitungsrahmen.	HOLD: olkar ist das erhitzte Fraktionsresultat; die einzige klare Handlung ist ykain.
10	f107r	f107r.40	S	B	3	10	1	1	4	4	5	5	5	5	0.900000	0	0	NONE	NONE	NOMINAL_REGISTER	CATALOGUE	KEEP_OLKAR_NOMINAL;OTAIR_IS_NEW_CONTRAST_NOT_VALUE	olkar	BOTH_EXACT	lolkaiin	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	[lolkaiin:?] | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang	⟦lolkaiin:?⟧ · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	HOLD: olkar ist eine erhitzte Fraktion; die mögliche Holzbindung bleibt offen.
