page	locus	section	language	hand	ordinal	surface	before_v50_gloss_de	v50_gloss_de	information_category	licensed_action	literal_narrow_carrier	literal_narrow_match_count	assigned_extended_class_carrier	working_chunk_de	working_narrow_carrier	working_narrow_match_count	literal_hard_generic_hits	working_hard_generic_hits	new_card_surface	new_card_render_mode	new_card_reader_support
f102v2	f102v2.3	P	A	1	1	oror	[oror:?]	zwei Portionen	NEW_V50	0	0	0	1	Zwei Portionen	0	0	0	0	oror	QUANTITY_ATTACHMENT	BOTH_EXACT
f104v	f104v.2	S	B	3	1	ychedaiin	[ychedaiin:?]	[ychedaiin:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦ychedaiin:?⟧	0	0	0	0	NONE	NONE	NONE
f104v	f104v.2	S	B	3	2	qoteed	[qoteed:?]	[qoteed:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦qoteed:?⟧	0	0	0	0	NONE	NONE	NONE
f104v	f104v.2	S	B	3	3	chockhy	Arzneikompositum im Trockenansatz am Gradanfang	Arzneikompositum im Trockenansatz am Gradanfang	INHERITED_NARROW_CARRIER	0	1	2	1	Arzneikompositum im Trockenansatz, Gradanfang	1	2	0	0	NONE	NONE	NONE
f104v	f104v.2	S	B	3	4	otaiin	kalt im Zubereitungsrahmen, Grad III	kalt im Zubereitungsrahmen, Grad III	INHERITED_OTHER_ASSIGNED	0	0	0	1	kalt im Zubereitungsrahmen, Grad III	0	0	0	0	NONE	NONE	NONE
f104v	f104v.2	S	B	3	5	ydaiin	davon drei Maße	davon drei Maße	INHERITED_OTHER_ASSIGNED	0	0	0	1	davon drei Maße	0	0	0	0	NONE	NONE	NONE
f104v	f104v.2	S	B	3	6	qokamdy	[qokamdy:?]	[qokamdy:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦qokamdy:?⟧	0	0	0	0	NONE	NONE	NONE
f104v	f104v.2	S	B	3	7	otarar	[otarar:?]	[otarar:?]	RESIDUAL_UNKNOWN	0	0	0	0	⟦otarar:?⟧	0	0	0	0	NONE	NONE	NONE
f104v	f104v.2	S	B	3	8	alched	[alched:?]	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	NEW_V50	0	0	0	1	Rohdroge I, bis Mittelstufe getrocknet und abgeschlossen	0	0	0	0	alched	EXTERNAL_NOMINAL_RESULT	ONE_EXACT
f104v	f104v.2	S	B	3	9	otair	zweite kalte Drogenfraktion im Ansatz	zweite kalte Drogenfraktion im Ansatz	INHERITED_NARROW_CARRIER	0	1	1	1	zweite kalte Drogenfraktion im Ansatz	1	1	0	0	NONE	NONE	NONE
