locus	action_ordinals	line_mode	gdt675_render_correction
f102v2.3	NONE	CATALOGUE	NONE
f104v.2	NONE	CATALOGUE	NONE
f105r.2	11:odar|13:qody	MIXED_ACTION	NONE
f105r.31	NONE	CATALOGUE	NONE
f105v.1	4:ykaiin	MIXED_ACTION	NONE
f105v.14	3:qokaiir|8:odar|10:chtchy	MIXED_ACTION	NONE
f106r.23	2:qckhedy	MIXED_ACTION	NONE
f107r.2	1:dchey|6:qor	INSTRUCTION_INITIAL	NONE
f107r.40	NONE	CATALOGUE	KEEP_OLKAR_NOMINAL;OTAIR_IS_NEW_CONTRAST_NOT_VALUE
f10r.2	1:dchey	INSTRUCTION_INITIAL	NONE
f112r.36	NONE	CATALOGUE	BIND_OLAM_AS_UNIT_OF_OKEEY
f112v.10	NONE	CATALOGUE	BIND_OROR_AS_QUANTITY_OF_OKCHEDY
f113v.12	NONE	CATALOGUE	PROVISIONAL_BIND_OROR_TO_IMMEDIATE_OLCHEY;HEAD_GLOSS_OPEN
f113v.17	NONE	CATALOGUE	LOCAL_BIND_LCHEEY_TO_OLKAR;BIND_OKAIIN_GRADE_III;KEEP_OL_BOUNDARY_OPEN
f113v.3	NONE	CATALOGUE	LOCAL_BIND_OLAM_AS_UNIT_OF_OLOL;KEEP_OL_BOUNDARY_OPEN
f114r.24	NONE	CATALOGUE	NONE
f114r.26	NONE	CATALOGUE	PROVISIONAL_BIND_OLAM_TO_IMMEDIATE_AIROY;HEAD_GLOSS_OPEN
f114v.36	6:qopchol	MIXED_ACTION	NONE
f115r.1	2:qopchol	MIXED_ACTION	NONE
f115r.23	1:dchey|5:qokcho	INSTRUCTION_INITIAL	NONE
f116r.12	9:olchdy	MIXED_ACTION	DO_NOT_BIND_OLAM_BACK_ACROSS_DAIN;OLAM_TERMINAL_UNIT_HEAD_OPEN
f23r.6	5:yky	MIXED_ACTION	NONE
f24v.15	1:dchey	INSTRUCTION_INITIAL	NONE
f26r.2	NONE	CATALOGUE	OVERRIDE_INITIAL_DCHEY_TO_NOMINAL;BIND_AIIN_VALUE_III_TO_NOMINAL_DCHEY
f27r.9	1:dchey	INSTRUCTION_INITIAL	NONE
f30r.9	1:dchey|5:chcthey|7:cheky	INSTRUCTION_INITIAL	NONE
f49r.16	NONE	CATALOGUE	NONE
f56r.6	NONE	CATALOGUE	DO_NOT_BIND_DAIIN_TO_DCHEY;NEAREST_HEAD_KEEY
f75r.3	6:sheeky	MIXED_ACTION	BIND_OR_QUANTITY_TO_OLKAR;KEEP_OL_BOUNDARY_OPEN
f76v.10	3:qopchdy|4:dshedy	MIXED_ACTION	BIND_DAIIN_VALUE_III_TO_SHECPHY;DY_CLOSES_VALUE_FIELD
f77r.38	3:qoeedy|6:qol|9:qol	MIXED_ACTION	RENDER_CHCPHEY_AS_OBJECT_OF_QOL_AT_6
f77v.7	2:qol<qolsheedy>|5:ycheedy|11:qolky	MIXED_ACTION	NONE
f7r.2	1:dcheey	INSTRUCTION_INITIAL	NONE
f80r.17	3:sheky|6:sheky|11:sheky	MIXED_ACTION	BIND_OKAIN_GRADE_II_TO_OLKAR;KEEP_OL_BOUNDARY_OPEN
f80v.27	NONE	CATALOGUE	NONE
f80v.35	5:qol|6:qol	MIXED_ACTION	RENDER_OLKAR_AS_NOMINAL_REFERENCE_OR_OBJECT_BEFORE_QOL_5_6
f83v.12	NONE	CATALOGUE	NONE
f85r2.5	NONE	CATALOGUE	QUARANTINE_FIXED_HOT_OLKAR;READER_RIVALS_OLKOR_OR_AR
f86v3.13	3:tcheody|10:qokady	MIXED_ACTION	CHEDAIIN_IS_NEW_HEAD_NOT_VALUE_OF_OLKAR
f86v3.18	4:qopchol	MIXED_ACTION	NONE
f86v3.19	1:dchey|4:qokam	INSTRUCTION_INITIAL	NONE
f86v5.2	7:qopchol|10:ytol	MIXED_ACTION	BIND_TAL_RAW_I_AS_QUALIFIER_OF_QOPCHOL_OBJECT
f86v5.24	3:ykain	MIXED_ACTION	DO_NOT_ATTACH_FLANKING_OTAIIN_TO_OLKAR;CONTRAST_SERIES
f86v5.4	NONE	CATALOGUE	BIND_AM_UNIT_I_TO_OLKAR
f86v6.25	1:yteedy|5:ykaiin	INSTRUCTION_INITIAL	NONE
f86v6.31	NONE	CATALOGUE	NONE
f86v6.4	NONE	CATALOGUE	PROVISIONAL_BIND_DALAM_TO_OLKAR;DO_NOT_PROMOTE
f86v6.5	NONE	CATALOGUE	BIND_DAIIN_VALUE_III_TO_OLKAR
f88r.19	1:dchey	INSTRUCTION_INITIAL	NONE
f8r.15	1:dchey	INSTRUCTION_INITIAL	NONE
f95v1.7	NONE	CATALOGUE	QUARANTINE_FIXED_HOT_OLKAR;BOTH_ALT_READERS_HAVE_OLTAR
