attachment_id	locus	head_ordinals	head_surfaces	value_ordinals	value_surfaces	close_ordinal	close_surface	decision	contextual_reading_de	note
GDT676-V01	f112r.36	5	okeey	6	olam	NONE	NONE	BIND	heißer Ansatz am Ende des Grades: ein Maß Ansatz-/Drogenmaterial	OLAM is the adjacent unit of OKEEY.
GDT676-V02	f112v.10	3	okchedy	4	oror	NONE	NONE	BIND	heiß-trockener Mittelstufenansatz, abgeschlossen: zwei Portionen	OROR is the terminal quantity of OKCHEDY.
GDT676-V03	f113v.17	4	olkar	5	okaiin	NONE	NONE	BIND	erhitzte Fraktion I im Ansatz: Grad III	OKAIIN is the adjacent grade of OLKAR; local wood cue remains separate.
GDT676-V04	f113v.3	6	olol	7	olam	NONE	NONE	BIND	Holzdrogen-Grundansatz: ein Maß	OLAM binds locally to OLOL; O+L versus OL stays globally open.
GDT676-V05	f26r.2	1	dchey	2	aiin	NONE	NONE	BIND_NOMINAL	abgemessene Trockendroge der Mittelstufe, abgeschlossen: Menge III	AIIN forces the initial DCHEY occurrence to a nominal measured result rather than one dose plus value III.
GDT676-V06	f75r.3	8	olkar	9	or	NONE	NONE	BIND	erhitzte Fraktion I im Ansatz: eine Drogenportion	OR is the adjacent quantity of OLKAR.
GDT676-V07	f76v.10	8	shecphy	9	daiin	10	dy	BIND	mittelstufig eingeweichtes Arzneikompositum: Wert III; Feld geschlossen	DAIIN binds to SHECPHY and DY closes the value field.
GDT676-V08	f80r.17	9	olkar	10	okain	NONE	NONE	BIND	erhitzte Fraktion I im Ansatz: Grad II	OKAIN is the adjacent grade of OLKAR.
GDT676-V09	f86v5.4	10	olkar	11	am	NONE	NONE	BIND	erhitzte Fraktion I im Ansatz: eine Maßeinheit	AM is the adjacent unit of OLKAR.
GDT676-V10	f86v6.5	4	olkar	5	daiin	NONE	NONE	BIND	erhitzte Fraktion I im Ansatz: Grad III	DAIIN is the adjacent grade of OLKAR.
GDT676-V11	f113v.12	4	olchey	5	oror	NONE	NONE	PROVISIONAL	vorstehender offener OL-CHEY-Kopf: zwei Portionen	OROR is adjacent, but the head gloss remains open.
GDT676-V12	f114r.26	9	airoy	10	olam	NONE	NONE	PROVISIONAL	vorstehender offener AIROY-Kopf: ein Maß	OLAM is adjacent, but the head gloss remains open.
GDT676-V13	f86v6.4	12	olkar	13	dalam	NONE	NONE	PROVISIONAL	erhitzte Fraktion I im Ansatz: ein Maß Rohdroge I	DALAM is adjacent; keep the binding provisional.
GDT676-V14	f107r.40	7	olkar	8	otair	NONE	NONE	REJECT_JUMP	erhitzte Fraktion I und danach zweite kalte Fraktion	OTAIR is a contrast item, not a value of OLKAR.
GDT676-V15	f56r.6	3	dchey	5	daiin	NONE	NONE	REJECT_JUMP	abgemessene Trockendroge; heiß am Ende des Grades: Wert III	DAIIN attaches to the nearer KEEY, not back across it to DCHEY.
GDT676-V16	f86v3.13	6	olkar	7	chedaiin	NONE	NONE	REJECT_JUMP	erhitzte Fraktion I; danach abgemessene Trockendroge Dosis III	CHEDAIIN is a new head, not a value of OLKAR.
GDT676-V17	f86v5.24	8	olkar	7|9	otaiin|otaiin	NONE	NONE	REJECT_JUMP	kalter Grad III; erhitzte Fraktion I; kalter Grad III	The flanking OTAIIN fields form a contrast series, not OLKAR values.
