world	record	heat	transfer	marker	heat_patient_B	transfer_destination_B	heat_actor_B	heat_patient_missing	events
L1_H0	F83_P1	5	1	3	0	1	0	0	f83r.2:10:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.4:2:HEAT:patient=F83_P1:C:destination=F83_P1:B;f83r.4:9:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.6:6:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.6:7:TRANSFER:patient=F83_P1:A:destination=F83_P1:B;f83r.6:9:MARKER:patient=NA:destination=F83_P1:B;f83r.7:4:MARKER:patient=NA:destination=F83_P1:B;f83r.8:4:MARKER:patient=NA:destination=F83_P1:B;f83r.8:5:HEAT:patient=F83_P1:C:destination=F83_P1:B
L1_H0	F83_P2	1	1	0	0	1	0	0	f83r.14:2:TRANSFER:patient=F83_P2:A:destination=F83_P2:B;f83r.16:5:HEAT:patient=F83_P2:C:destination=F83_P2:B
L1_H0	F83_P3	3	1	1	0	0	0	0	f83r.20:8:MARKER:patient=NA:destination=MISSING;f83r.21:5:HEAT:patient=F83_P3:C:destination=MISSING;f83r.22:3:TRANSFER:patient=F83_P3:C:destination=MISSING;f83r.22:5:HEAT:patient=F83_P3:C:destination=MISSING;f83r.23:9:HEAT:patient=F83_P3:A:destination=MISSING
L1_H0	F83_P4	2	3	2	0	0	0	1	f83r.25:1:TRANSFER:patient=MISSING:destination=MISSING;f83r.25:5:HEAT:patient=MISSING:destination=MISSING;f83r.26:3:MARKER:patient=NA:destination=MISSING;f83r.27:2:HEAT:patient=F83_P4:A:destination=MISSING;f83r.27:3:TRANSFER:patient=F83_P4:A:destination=MISSING;f83r.30:3:TRANSFER:patient=F83_P4:A:destination=MISSING;f83r.30:4:MARKER:patient=NA:destination=MISSING
L1_H0	F83_P5	2	0	1	0	0	0	0	f83r.36:6:MARKER:patient=NA:destination=MISSING;f83r.42:5:HEAT:patient=F83_P5:C:destination=MISSING;f83r.43:3:HEAT:patient=F83_P5:C:destination=MISSING
L1_H0	F83_Q1	1	0	0	0	0	0	1	f83r.49:3:HEAT:patient=MISSING:destination=MISSING
L1_H0	F83_Q2	0	0	0	0	0	0	0	
L1_H1	F83_P1	5	1	3	0	1	1	0	f83r.2:10:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.4:2:HEAT:patient=F83_P1:C:destination=F83_P1:B;f83r.4:9:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.6:6:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.6:7:TRANSFER:patient=F83_P1:A:destination=F83_P1:B;f83r.6:9:MARKER:patient=NA:destination=F83_P1:B;f83r.7:4:MARKER:patient=NA:destination=F83_P1:B;f83r.8:4:MARKER:patient=NA:destination=F83_P1:B;f83r.8:5:HEAT:patient=F83_P1:C:destination=F83_P1:B
L1_H1	F83_P2	1	1	0	0	1	0	0	f83r.14:2:TRANSFER:patient=F83_P2:A:destination=F83_P2:B;f83r.16:5:HEAT:patient=F83_P2:C:destination=F83_P2:B
L1_H1	F83_P3	3	1	1	0	0	0	0	f83r.20:8:MARKER:patient=NA:destination=MISSING;f83r.21:5:HEAT:patient=F83_P3:C:destination=MISSING;f83r.22:3:TRANSFER:patient=F83_P3:C:destination=MISSING;f83r.22:5:HEAT:patient=F83_P3:C:destination=MISSING;f83r.23:9:HEAT:patient=F83_P3:A:destination=MISSING
L1_H1	F83_P4	2	3	2	0	0	0	1	f83r.25:1:TRANSFER:patient=MISSING:destination=MISSING;f83r.25:5:HEAT:patient=MISSING:destination=MISSING;f83r.26:3:MARKER:patient=NA:destination=MISSING;f83r.27:2:HEAT:patient=F83_P4:A:destination=MISSING;f83r.27:3:TRANSFER:patient=F83_P4:A:destination=MISSING;f83r.30:3:TRANSFER:patient=F83_P4:A:destination=MISSING;f83r.30:4:MARKER:patient=NA:destination=MISSING
L1_H1	F83_P5	2	0	1	0	0	0	0	f83r.36:6:MARKER:patient=NA:destination=MISSING;f83r.42:5:HEAT:patient=F83_P5:C:destination=MISSING;f83r.43:3:HEAT:patient=F83_P5:C:destination=MISSING
L1_H1	F83_Q1	1	0	0	0	0	0	1	f83r.49:3:HEAT:patient=MISSING:destination=MISSING
L1_H1	F83_Q2	0	0	0	0	0	0	0	
L1_V	F83_P1	5	1	3	0	1	0	0	f83r.2:10:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.4:2:HEAT:patient=F83_P1:C:destination=F83_P1:B;f83r.4:9:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.6:6:HEAT:patient=F83_P1:A:destination=F83_P1:B;f83r.6:7:TRANSFER:patient=F83_P1:A:destination=F83_P1:B;f83r.6:9:MARKER:patient=NA:destination=F83_P1:B;f83r.7:4:MARKER:patient=NA:destination=F83_P1:B;f83r.8:4:MARKER:patient=NA:destination=F83_P1:B;f83r.8:5:HEAT:patient=F83_P1:C:destination=F83_P1:B
L1_V	F83_P2	1	1	0	0	1	0	0	f83r.14:2:TRANSFER:patient=F83_P2:A:destination=F83_P2:B;f83r.16:5:HEAT:patient=F83_P2:C:destination=F83_P2:B
L1_V	F83_P3	3	1	1	0	0	0	0	f83r.20:8:MARKER:patient=NA:destination=MISSING;f83r.21:5:HEAT:patient=F83_P3:C:destination=MISSING;f83r.22:3:TRANSFER:patient=F83_P3:C:destination=MISSING;f83r.22:5:HEAT:patient=F83_P3:C:destination=MISSING;f83r.23:9:HEAT:patient=F83_P3:A:destination=MISSING
