symbol	atomic_value_de	slot_role	symbol_class	canonical_surface_cue	cue_class	weighted_mark_uses	surface_examples	scribe_rule	renderer_instruction
AIIN	MASS	ARGUMENT	CROSS_REGISTER_ABBREVIATION	aiin	ARGUMENT_TAIL	37	aiin | daiin | shfydaiin | qokaiin | ykaiin | solkaiin | otaiin | chldaiin | qotedaiin	SETZE AIIN IN DEN SLOT ARGUMENT; LIES MASS	Use aiin as the learned visible cue for AIIN=MASS in ARGUMENT_TAIL position.
AIN	PORTION	ARGUMENT	LEARNED_WORKSHOP_ROOT	ain	ARGUMENT_TAIL	17	ykain | orain | kain | olkain | qokain | chedain | dain	SETZE AIN IN DEN SLOT ARGUMENT; LIES PORTION	Use ain as the learned visible cue for AIN=PORTION in ARGUMENT_TAIL position.
AIR	LAUF	PATH	CROSS_REGISTER_ABBREVIATION	air	PATH_TAIL	12	airchy | doair | dair | qotair | air | chair | kair | okair | schedair | dairydy	SETZE AIR IN DEN SLOT PATH; LIES LAUF	Use air as the learned visible cue for AIR=LAUF in PATH_TAIL position.
AL	ZIELSTELLE	ADDRESS	CROSS_REGISTER_ABBREVIATION	al	ADDRESS_TAIL	49	dal | ykeeal | cheal | otaldal | oteeal | okeodal | schoal | qokal | chodaly | sheckhal | daiial	SETZE AL IN DEN SLOT ADDRESS; LIES ZIELSTELLE	Use al as the learned visible cue for AL=ZIELSTELLE in ADDRESS_TAIL position.
AN	NACHGABE	ARGUMENT	LEARNED_WORKSHOP_ROOT	an	ARGUMENT_TAIL	1	ykan	SETZE AN IN DEN SLOT ARGUMENT; LIES NACHGABE	Use an as the learned visible cue for AN=NACHGABE in ARGUMENT_TAIL position.
AR	QUELLE	ADDRESS	CROSS_REGISTER_ABBREVIATION	ar	ADDRESS_TAIL	23	aram | ykar | oaram | chear | otoar | ar | oteoarar | char | cheoar | otar	SETZE AR IN DEN SLOT ADDRESS; LIES QUELLE	Use ar as the learned visible cue for AR=QUELLE in ADDRESS_TAIL position.
CH	ENTNEHMEN	OPERATION	CROSS_REGISTER_ABBREVIATION	ch	OPERATION_BODY	22	dolchsody | odchecthy | chear | ch | cheteeser | dchey | chair | otytchol | qotchol | otchor	SETZE CH IN DEN SLOT OPERATION; LIES ENTNEHMEN	Use ch as the learned visible cue for CH=ENTNEHMEN in OPERATION_BODY position.
CHD	UMSETZEN	OPERATION	CROSS_REGISTER_ABBREVIATION	chd/ched	OPERATION_BODY	50	chdy | chda | chedy | schedy | sshkchdy | qolchedy | qokchdy | lchedal | okchedy | dchdy	SETZE CHD IN DEN SLOT OPERATION; LIES UMSETZEN	Use chd/ched as the learned visible cue for CHD=UMSETZEN in OPERATION_BODY position.
CHK	WAERMEN	OPERATION	LEARNED_WORKSHOP_ROOT	chk/chek	OPERATION_BODY	7	cheeky | cheky | chkeey | chkeedy	SETZE CHK IN DEN SLOT OPERATION; LIES WAERMEN	Use chk/chek as the learned visible cue for CHK=WAERMEN in OPERATION_BODY position.
CKH	DURCHLASS	PATH	CROSS_REGISTER_ABBREVIATION	ckh	PATH_BODY	15	ockhy | cheeckhody | sheckhal | chckhy | shckhedy | lcheckhy | lcheckhedy | sheckhy | qockhey | chckhal	SETZE CKH IN DEN SLOT PATH; LIES DURCHLASS	Use ckh as the learned visible cue for CKH=DURCHLASS in PATH_BODY position.
CTH	BEREIT	STATE	CROSS_REGISTER_ABBREVIATION	cth	STATE_BODY	15	odchecthy | cthoor | checthy | octheol | qcthey | shecthedchy | shecthy	SETZE CTH IN DEN SLOT STATE; LIES BEREIT	Use cth as the learned visible cue for CTH=BEREIT in STATE_BODY position.
DA	ZWEITE	GRADE	LEARNED_WORKSHOP_ROOT	da	GRADE_BODY	2	daiiin | daiial	SETZE DA IN DEN SLOT GRADE; LIES ZWEITE	Use da as the learned visible cue for DA=ZWEITE in GRADE_BODY position.
DY	SCHLIESSEN	ENDPOINT	CROSS_REGISTER_ABBREVIATION	dy	CLOSED_ENDPOINT	93	dolchsody | ody | otody | tchody | oldy | cheeckhody | qokedy | schedy | sshkchdy | shedy	SETZE DY IN DEN SLOT ENDPOINT; LIES SCHLIESSEN	Use dy as the learned visible cue for DY=SCHLIESSEN in CLOSED_ENDPOINT position.
E	KURZ	GRADE	CROSS_REGISTER_ABBREVIATION	e	GRADE_LENGTH	59	odchecthy | yetey | chear | ykey | qoteor | oteody | okeodal | oteoarar | cheteeser | dchey	SETZE E IN DEN SLOT GRADE; LIES KURZ	Use e as the learned visible cue for E=KURZ in GRADE_LENGTH position.
EE	LANG	GRADE	CROSS_REGISTER_ABBREVIATION	ee	GRADE_LENGTH	49	ykeeal | sheey | ykeeody | oteeal | cheteeser | oteey | cheey | cheeky | cheeckhody | qokeedal | iokeeor	SETZE EE IN DEN SLOT GRADE; LIES LANG	Use ee as the learned visible cue for EE=LANG in GRADE_LENGTH position.
EEE	VOLLSTAENDIG	GRADE	LEARNED_WORKSHOP_ROOT	eee	GRADE_LENGTH	2	qokeeedy | cheeety	SETZE EEE IN DEN SLOT GRADE; LIES VOLLSTAENDIG	Use eee as the learned visible cue for EEE=VOLLSTAENDIG in GRADE_LENGTH position.
HO	TEIL	MATERIAL	CROSS_REGISTER_ABBREVIATION	cho/sho	MATERIAL_BODY	6	cho | chochor | chodaly | choy	SETZE HO IN DEN SLOT MATERIAL; LIES TEIL	Use cho/sho as the learned visible cue for HO=TEIL in MATERIAL_BODY position.
IIN	STUFE	STATE	LEARNED_WORKSHOP_ROOT	iin	STATE_TAIL	4	oiiin | daiiin | daiial	SETZE IIN IN DEN SLOT STATE; LIES STUFE	Use iin as the learned visible cue for IIN=STUFE in STATE_TAIL position.
K	ZUGEBEN	OPERATION	CROSS_REGISTER_ABBREVIATION	k	OPERATION_BODY	23	ykshy | yka | ykar | ykady | ykeeal | ykey | ykeeody | kchy | ykain | ykan	SETZE K IN DEN SLOT OPERATION; LIES ZUGEBEN	Use k as the learned visible cue for K=ZUGEBEN in OPERATION_BODY position.
L	LEITEN	PATH	LEARNED_WORKSHOP_ROOT	l	PATH_ONSET	27	dl | lchedal | ly | lcheckhy | lched | lcheckhedy | ldy | lchy | lcheey | lchedy	SETZE L IN DEN SLOT PATH; LIES LEITEN	Use l as the learned visible cue for L=LEITEN in PATH_ONSET position.
LD	FESTBINDEN	OPERATION	LEARNED_WORKSHOP_ROOT	ldd	OPERATION_BODY	1	qokylddy	SETZE LD IN DEN SLOT OPERATION; LIES FESTBINDEN	Use ldd as the learned visible cue for LD=FESTBINDEN in OPERATION_BODY position.
LSH	SPUELEN	OPERATION	LEARNED_WORKSHOP_ROOT	lsh	OPERATION_BODY	3	lsho | lshedy	SETZE LSH IN DEN SLOT OPERATION; LIES SPUELEN	Use lsh as the learned visible cue for LSH=SPUELEN in OPERATION_BODY position.
O	ARBEITSGANG	PROCESS	CROSS_REGISTER_ABBREVIATION	o	PROCESS_BODY	30	dolchsody | odchecthy | oaram | ockhy | ykeeody | ody | doair | otoar | oteody | okeodal	SETZE O IN DEN SLOT PROCESS; LIES ARBEITSGANG	Use o as the learned visible cue for O=ARBEITSGANG in PROCESS_BODY position.
OK	ANSETZEN	OPERATION	CROSS_REGISTER_ABBREVIATION	qok/ok/chok	OPERATION_FRAME	81	choky | okeodal | okody | qoky | qokchy | okchol | qokaiin | qokal | qokedy | qokeedal | iokeeor	SETZE OK IN DEN SLOT OPERATION; LIES ANSETZEN	Use qok/ok/chok as the learned visible cue for OK=ANSETZEN in OPERATION_FRAME position.
OL	FORTSETZEN	ORDER	CROSS_REGISTER_ABBREVIATION	ol/chol/qol/ls/sol	ORDER_FRAME	52	dolchsody | chol | choly | ol | otoly | otytchol | qotchol | olor | tshol | okchol	SETZE OL IN DEN SLOT ORDER; LIES FORTSETZEN	Use ol/chol/qol/ls/sol as the learned visible cue for OL=FORTSETZEN in ORDER_FRAME position.
OR	ANSATZ	MATERIAL	CROSS_REGISTER_ABBREVIATION	or	MATERIAL_TAIL	13	qoteor | cthoor | or | otchor | olor | orain | chochor | chealror | ldalor | iokeeor	SETZE OR IN DEN SLOT MATERIAL; LIES ANSATZ	Use or as the learned visible cue for OR=ANSATZ in MATERIAL_TAIL position.
OT	DANACH	ORDER	CROSS_REGISTER_ABBREVIATION	qot/ot	ORDER_FRAME	35	otaldal | otoar | qoteor | qotair | oteeal | oteody | otoly | oteoarar | oteey | otody	SETZE OT IN DEN SLOT ORDER; LIES DANACH	Use qot/ot as the learned visible cue for OT=DANACH in ORDER_FRAME position.
P	EINBRINGEN	OPERATION	LEARNED_WORKSHOP_ROOT	p	OPERATION_ONSET	4	cphy | pchedy | pchedal	SETZE P IN DEN SLOT OPERATION; LIES EINBRINGEN	Use p as the learned visible cue for P=EINBRINGEN in OPERATION_ONSET position.
R	KUEHL	STATE	CROSS_REGISTER_ABBREVIATION	r	STATE_ONSET	8	cheor | cheteeser | rol | ral | rsheal | rshedy | chealror | raly	SETZE R IN DEN SLOT STATE; LIES KUEHL	Use r as the learned visible cue for R=KUEHL in STATE_ONSET position.
S	PROBE	OPERATION	LEARNED_WORKSHOP_ROOT	s	OPERATION_BODY	1	ches	SETZE S IN DEN SLOT OPERATION; LIES PROBE	Use s as the learned visible cue for S=PROBE in OPERATION_BODY position.
SH	HALTEN	STATE	CROSS_REGISTER_ABBREVIATION	sh	STATE_BODY	29	sheey | tshol | schoal | shfydaiin | cheey | shoyty | sheckhal | sshkchdy | dsheol | shckhedy	SETZE SH IN DEN SLOT STATE; LIES HALTEN	Use sh as the learned visible cue for SH=HALTEN in STATE_BODY position.
SHED	RUHEN	STATE	LEARNED_WORKSHOP_ROOT	shed	STATE_BODY	15	shedy | rshedy | shedal	SETZE SHED IN DEN SLOT STATE; LIES RUHEN	Use shed as the learned visible cue for SHED=RUHEN in STATE_BODY position.
SOLK	SAMMELN	OPERATION	LEARNED_WORKSHOP_ROOT	solk/qolk	OPERATION_FRAME	7	qolky | olkeedy | solkaiin | solkey | solkeey	SETZE SOLK IN DEN SLOT OPERATION; LIES SAMMELN	Use solk/qolk as the learned visible cue for SOLK=SAMMELN in OPERATION_FRAME position.
T	BEARBEITEN	OPERATION	CROSS_REGISTER_ABBREVIATION	t	OPERATION_BODY	18	yetey | ytyd | cheteeser | chety | otytchol | etyd | tshol | tchody | shoyty | oltchy	SETZE T IN DEN SLOT OPERATION; LIES BEARBEITEN	Use t as the learned visible cue for T=BEARBEITEN in OPERATION_BODY position.
TALAM	BEISEITESTELLEN	WHOLE_ROOT	LEARNED_WORKSHOP_ROOT	talam	WHOLE_FORM	1	talam	SETZE TALAM IN DEN SLOT WHOLE_ROOT; LIES BEISEITESTELLEN	Use talam as the learned visible cue for TALAM=BEISEITESTELLEN in WHOLE_FORM position.
Y	POSTEN	REFERENT	CROSS_REGISTER_ABBREVIATION	y/chy/chey/dy/shy/sy	OPEN_ENDPOINT	164	ykshy | odchecthy | yka | ykar | ykady | choly | ykeeal | ockhy | sheey | y	SETZE Y IN DEN SLOT REFERENT; LIES POSTEN	Use y/chy/chey/dy/shy/sy as the learned visible cue for Y=POSTEN in OPEN_ENDPOINT position.
A_ADDR	STELLE	ADDRESS	LOCAL_ADDRESS_SIGN	a	LOCAL_ADDRESS	4	yka | ykady | chda | a	SETZE A_ADDR IN DEN SLOT ADDRESS; LIES STELLE	Use a as the learned visible cue for A_ADDR=STELLE in LOCAL_ADDRESS position.
AM_ADDR	GEGENFELD	ADDRESS	LOCAL_ADDRESS_SIGN	am	LOCAL_ADDRESS	2	aram | oaram	SETZE AM_ADDR IN DEN SLOT ADDRESS; LIES GEGENFELD	Use am as the learned visible cue for AM_ADDR=GEGENFELD in LOCAL_ADDRESS position.
D_ADDR	TEILSTELLE	ADDRESS	LOCAL_ADDRESS_SIGN	d	LOCAL_ADDRESS	6	dolchsody | odchecthy | doair | dair | dchy	SETZE D_ADDR IN DEN SLOT ADDRESS; LIES TEILSTELLE	Use d as the learned visible cue for D_ADDR=TEILSTELLE in LOCAL_ADDRESS position.
D_LABEL	PHASE	LABEL	LOCAL_LABEL_SIGN	d	LOCAL_LABEL	1	ytyd	SETZE D_LABEL IN DEN SLOT LABEL; LIES PHASE	Use d as the learned visible cue for D_LABEL=PHASE in LOCAL_LABEL position.
S_ADDR	STERNBEZUG	ADDRESS	LOCAL_ADDRESS_SIGN	s	LOCAL_ADDRESS	2	dolchsody | cheteeser	SETZE S_ADDR IN DEN SLOT ADDRESS; LIES STERNBEZUG	Use s as the learned visible cue for S_ADDR=STERNBEZUG in LOCAL_ADDRESS position.
S_LABEL	PHASENZEICHEN	LABEL	LOCAL_LABEL_SIGN	s	LOCAL_LABEL	1	s	SETZE S_LABEL IN DEN SLOT LABEL; LIES PHASENZEICHEN	Use s as the learned visible cue for S_LABEL=PHASENZEICHEN in LOCAL_LABEL position.
CHEO	AUSZUG	MATERIAL	LOCAL_MATERIAL_SIGN	cheo	LOCAL_MATERIAL	3	cheo | cheody | cheor	SETZE CHEO IN DEN SLOT MATERIAL; LIES AUSZUG	Use cheo as the learned visible cue for CHEO=AUSZUG in LOCAL_MATERIAL position.
WHOLE[cheey|shey]	LANG HALTEN	WHOLE	FUSED_WHOLE_SIGN	cheey/shey	WHOLE_FORM	1	cheey	SETZE WHOLE[cheey|shey] IN DEN SLOT WHOLE; LIES LANG HALTEN	Use cheey/shey as the learned visible cue for WHOLE[cheey|shey]=LANG HALTEN in WHOLE_FORM position.
CFH	AUSPRESSEN	OPERATION	WORKSHOP_UTILITY_ROOT	cfh	OPERATION_BODY	2	cfhy	SETZE CFH IN DEN SLOT OPERATION; LIES AUSPRESSEN	Use cfh as the learned visible cue for CFH=AUSPRESSEN in OPERATION_BODY position.
OS	DAZU	ORDER	WORKSHOP_UTILITY_ROOT	os	ORDER_WHOLE_SIGN	2	os	SETZE OS IN DEN SLOT ORDER; LIES DAZU	Use os as the learned visible cue for OS=DAZU in ORDER_WHOLE_SIGN position.
RESUME_CARD	DAVON	REFERENT	WORKSHOP_UTILITY_ROOT	schol	REFERENT_WHOLE_SIGN	2	schol	SETZE RESUME_CARD IN DEN SLOT REFERENT; LIES DAVON	Use schol as the learned visible cue for RESUME_CARD=DAVON in REFERENT_WHOLE_SIGN position.
