condition_handle	page	locus	event_index	opaque_local_id	surface	component_parse	old_generic_reading_de	speakable_condition_word_de	workshop_scope	portable_workshop_reading_de	reading_source	local_expansion_de	mixed_codebook_reading_de	mixed_codebook_source	root_revision
C1@f67r2.1	f67r2	f67r2.1	1	A1:G001	ykshy	Y+K+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	PHASENPOSTEN EINTRAGEN	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · POSTEN	PORTABLE_COMPONENT_COMPOSITION	PHASENPOSTEN EINTRAGEN	POSTEN · ZUGEBEN · POSTEN	MIXED_ROOT_COMPOSITION	NONE
C1@f67r2.1	f67r2	f67r2.1	2	A1:G002	s	S_LABEL	LOKALE_BEDINGUNGSKARTE	PHASENZEICHEN	LOCAL_CONDITION_WORD	PHASENZEICHEN	PORTABLE_COMPONENT_COMPOSITION	PHASENZEICHEN	PHASENZEICHEN	MIXED_ROOT_COMPOSITION	NONE
C1@f67r2.1	f67r2	f67r2.1	3	A1:G003	aram	AR+AM_ADDR	VON · LOKALER_BEDINGUNGSKERN	VOM GEGENFELD	LOCAL_CONDITION_WORD	QUELLE · GEGENFELD	PORTABLE_COMPONENT_COMPOSITION	VOM GEGENFELD	QUELLE · GEGENFELD	MIXED_ROOT_COMPOSITION	NONE
C2@f67r2.15	f67r2	f67r2.15	1	A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	ASPEKTWEG SCHLIESSEN	LOCAL_CONDITION_WORD	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	PORTABLE_COMPONENT_COMPOSITION	ASPEKTWEG SCHLIESSEN	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	MIXED_ROOT_COMPOSITION	NONE
C3@f68r1.9	f68r1	f68r1.9	1	A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	STERNORT KURZ BEREITSETZEN	LOCAL_CONDITION_WORD	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	PORTABLE_COMPONENT_COMPOSITION	STERNORT KURZ BEREITSETZEN	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	MIXED_ROOT_COMPOSITION	NONE
C4@f69v.12	f69v	f69v.12	1	A3:G118	otody	OT+O+DY	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	MARKIERTEN 28ER-PLATZ SCHLIESSEN	LOCAL_CONDITION_WORD	DANACH · ARBEITSGANG · SCHLIESSEN	PORTABLE_COMPONENT_COMPOSITION	MARKIERTEN 28ER-PLATZ SCHLIESSEN	DANACH · ARBEITSGANG · SCHLIESSEN	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	1	A3:G041	yka	Y+K+A_ADDR	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	FEUCHTEPOSTEN EINTRAGEN	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · STELLE	PORTABLE_COMPONENT_COMPOSITION	FEUCHTEPOSTEN EINTRAGEN	POSTEN · ZUGEBEN · STELLE	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	2	A3:G042	chol	OL	WEITER	FEUCHTELAGE FORTSETZEN	LOCAL_CONDITION_WORD	FORTSETZEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTELAGE FORTSETZEN	FORTSETZEN	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	3	A3:G043	ykar	Y+K+AR	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	FEUCHTE VON DER QUELLE	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · QUELLE	PORTABLE_COMPONENT_COMPOSITION	FEUCHTE VON DER QUELLE	POSTEN · ZUGEBEN · QUELLE	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	4	A3:G044	dal	AL	AN	AN DER FEUCHTESTELLE	LOCAL_CONDITION_WORD	ZIELSTELLE	EXACT_SURFACE_BRIDGE	AN DER FEUCHTESTELLE	ZIELSTELLE	FUSED_CROSS_REGISTER_WHOLE_FORM	NONE
C5@f69v.2	f69v	f69v.2	5	A3:G045	ykady	Y+K+A_ADDR+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	FEUCHTEPOSTEN ABSCHLIESSEN	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · STELLE · POSTEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTEPOSTEN ABSCHLIESSEN	POSTEN · ZUGEBEN · STELLE · POSTEN	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	6	A3:G046	iokeeor	NONE	LOKALE_BEDINGUNGSKARTE	WETTERZEICHEN	LOCAL_CONDITION_WORD	WETTERZEICHEN	LOCAL_WHOLE_WORD	WETTERZEICHEN	WETTERZEICHEN	LOCAL_WHOLE_WORD	NONE
C5@f69v.2	f69v	f69v.2	7	A3:G047	cheey	WHOLE[cheey|shey]	LOKALE_BEDINGUNGSKARTE	FEUCHTE LANGE HALTEN	LOCAL_CONDITION_WORD	LANG HALTEN	EXACT_SURFACE_BRIDGE	FEUCHTE LANGE HALTEN	LANG HALTEN	FUSED_CROSS_REGISTER_WHOLE_FORM	NONE
C5@f69v.2	f69v	f69v.2	8	A3:G048	choly	OL+Y	WEITER · DIESER_EINTRAG	FEUCHTELAGE FORTSETZEN	LOCAL_CONDITION_WORD	FORTSETZEN · POSTEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTELAGE FORTSETZEN	FORTSETZEN · POSTEN	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	9	A3:G049	ykeeal	Y+K+EE+AL	DIESER_EINTRAG · LAENGER · AN · LOKALER_BEDINGUNGSKERN	LAENGER AN DER FEUCHTESTELLE	LOCAL_CONDITION_WORD	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	PORTABLE_COMPONENT_COMPOSITION	LAENGER AN DER FEUCHTESTELLE	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	10	A3:G050	cheo	CHEO	LOKALE_BEDINGUNGSKARTE	FEUCHTAUSZUG	LOCAL_CONDITION_WORD	AUSZUG	PORTABLE_COMPONENT_COMPOSITION	FEUCHTAUSZUG	AUSZUG	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	11	A3:G051	oaram	O+AR+AM_ADDR	VON · LOKALER_BEDINGUNGSKERN	VOM WETTERURSPRUNG	LOCAL_CONDITION_WORD	ARBEITSGANG · QUELLE · GEGENFELD	PORTABLE_COMPONENT_COMPOSITION	VOM WETTERURSPRUNG	ARBEITSGANG · QUELLE · GEGENFELD	MIXED_ROOT_COMPOSITION	NONE
C5@f69v.2	f69v	f69v.2	12	A3:G052	ockhy	O+CKH+Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	FEUCHTE DURCH DEN DURCHLASS	LOCAL_CONDITION_WORD	ARBEITSGANG · DURCHLASS · POSTEN	PORTABLE_COMPONENT_COMPOSITION	FEUCHTE DURCH DEN DURCHLASS	ARBEITSGANG · DURCHLASS · POSTEN	MIXED_ROOT_COMPOSITION	NONE
