identity	house_surface	component_recipe	short_value_de	marks	orders	order_count	sections	apprentice_action	semantic_revision	old_short_value_de	second_lesson	third_lesson	fourth_lesson	fifth_lesson	sixth_lesson	seventh_lesson	eighth_lesson	ninth_lesson	portable_surface_root_de	tenth_lesson	local_fluent_expansions_de
A1:G001	ykshy	Y+K+Y	POSTEN · ZUGEBEN · POSTEN	1	WH06	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C1@f67r2.1	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	POSTEN · ZUGEBEN · POSTEN
A1:G002	s	S_LABEL	PHASENZEICHEN	1	WH06	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	BEDINGUNGSTEIL 2 VON C1@f67r2.1 KOPIEREN	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	PHASENZEICHEN
A1:G003	aram	AR+AM_ADDR	QUELLE · GEGENFELD	1	WH06	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	VON · BEDINGUNGSTEIL 3 VON C1@f67r2.1	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	QUELLE · GEGENFELD
A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	1	WH03	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	VON DER TEILADRESSE WEITER ZUM STERNBEZUG; DEN LOKALEN ARBEITSGANG SCHLIESSEN	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN
A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	1	WH05	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	KURZ · DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C3@f68r1.9	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN
A3:G041	yka	Y+K+A_ADDR	POSTEN · ZUGEBEN · STELLE	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	DIESER_EINTRAG · BEDINGUNGSTEIL 1 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	POSTEN · ZUGEBEN · STELLE
A3:G042	chol	OL	FORTSETZEN	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	WEITER	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	FORTSETZEN
A3:G043	ykar	Y+K+AR	POSTEN · ZUGEBEN · QUELLE	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	DIESER_EINTRAG · VON · BEDINGUNGSTEIL 3 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	POSTEN · ZUGEBEN · QUELLE
A3:G044	dal	AL	ZIELSTELLE	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	AN	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	ZIELSTELLE	NO_CHANGE	ZIELSTELLE
A3:G045	ykady	Y+K+A_ADDR+Y	POSTEN · ZUGEBEN · STELLE · POSTEN	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	DIESER_EINTRAG · DIESER_EINTRAG · BEDINGUNGSTEIL 5 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	POSTEN · ZUGEBEN · STELLE · POSTEN
A3:G046	iokeeor	NONE	WETTERZEICHEN	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	BEDINGUNGSTEIL 6 VON C5@f69v.2 KOPIEREN	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	WETTERZEICHEN
A3:G047	cheey	WHOLE[cheey|shey]	LANG HALTEN	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	BEDINGUNGSTEIL 7 VON C5@f69v.2 KOPIEREN	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	LANG HALTEN	NO_CHANGE	LANG HALTEN
A3:G048	choly	OL+Y	FORTSETZEN · POSTEN	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	WEITER · DIESER_EINTRAG	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	FORTSETZEN · POSTEN
A3:G049	ykeeal	Y+K+EE+AL	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	DIESER_EINTRAG · LAENGER · AN · BEDINGUNGSTEIL 9 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	POSTEN · ZUGEBEN · LANG · ZIELSTELLE
A3:G050	cheo	CHEO	AUSZUG	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	BEDINGUNGSTEIL 10 VON C5@f69v.2 KOPIEREN	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	AUSZUG
A3:G051	oaram	O+AR+AM_ADDR	ARBEITSGANG · QUELLE · GEGENFELD	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	VON · BEDINGUNGSTEIL 11 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	ARBEITSGANG · QUELLE · GEGENFELD
A3:G052	ockhy	O+CKH+Y	ARBEITSGANG · DURCHLASS · POSTEN	1	WH01	1	WHEN	READ_LOCAL_CONDITION_WORD	YES	DIESER_EINTRAG · BEDINGUNGSTEIL 12 VON C5@f69v.2	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	NO_CHANGE	SPEAKABLE_CONDITION_LEXICON	CONDITION_COMPONENT_COMPOSITION	NONE	NO_CHANGE	ARBEITSGANG · DURCHLASS · POSTEN
