root	atomic_value_de	role	root_class	prose_marks	condition_marks	total_marks	surface_examples	teaching_rule
AIIN	MASS	ARGUMENT	CROSS_REGISTER_ABBREVIATION	36	1	37	daiin | qokaiin | daiin | daiin | aiin	SPRICH AIIN ALS MASS; KOMBINIEREN IN SICHTBARER REIHENFOLGE
AIN	PORTION	ARGUMENT	LEARNED_WORKSHOP_ROOT	17	0	17	kain | olkain | qokain | qokain | qokain	SPRICH AIN ALS PORTION; KOMBINIEREN IN SICHTBARER REIHENFOLGE
AIR	LAUF	PATH	CROSS_REGISTER_ABBREVIATION	6	6	12	chair | kair | airchy | chair | okair	SPRICH AIR ALS LAUF; KOMBINIEREN IN SICHTBARER REIHENFOLGE
AL	ZIELSTELLE	ADDRESS	CROSS_REGISTER_ABBREVIATION	39	9	48	qokal | dal | sheckhal | qokeedal | ral	SPRICH AL ALS ZIELSTELLE; KOMBINIEREN IN SICHTBARER REIHENFOLGE
AN	NACHGABE	ARGUMENT	LEARNED_WORKSHOP_ROOT	1	0	1	ykan	SPRICH AN ALS NACHGABE; KOMBINIEREN IN SICHTBARER REIHENFOLGE
AR	QUELLE	ADDRESS	CROSS_REGISTER_ABBREVIATION	13	10	23	char | char | otar | ykar | oaram	SPRICH AR ALS QUELLE; KOMBINIEREN IN SICHTBARER REIHENFOLGE
CH	ENTNEHMEN	OPERATION	CROSS_REGISTER_ABBREVIATION	17	5	22	dchey | chair | otytchol | qotchol | chear	SPRICH CH ALS ENTNEHMEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
CHD	UMSETZEN	OPERATION	CROSS_REGISTER_ABBREVIATION	48	2	50	schedy | sshkchdy | chedy | qolchedy | qokchdy	SPRICH CHD ALS UMSETZEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
CHK	WAERMEN	OPERATION	LEARNED_WORKSHOP_ROOT	7	0	7	cheky | cheky | chkeey | chkeedy | cheeky	SPRICH CHK ALS WAERMEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
CKH	DURCHLASS	PATH	CROSS_REGISTER_ABBREVIATION	14	1	15	sheckhal | chckhy | chckhy | chckhy | shckhedy	SPRICH CKH ALS DURCHLASS; KOMBINIEREN IN SICHTBARER REIHENFOLGE
CTH	BEREIT	STATE	CROSS_REGISTER_ABBREVIATION	14	1	15	cthoor | checthy | checthy | octheol | qcthey	SPRICH CTH ALS BEREIT; KOMBINIEREN IN SICHTBARER REIHENFOLGE
DA	ZWEITE	GRADE	LEARNED_WORKSHOP_ROOT	1	0	1	daiiin	SPRICH DA ALS ZWEITE; KOMBINIEREN IN SICHTBARER REIHENFOLGE
DY	SCHLIESSEN	ENDPOINT	CROSS_REGISTER_ABBREVIATION	90	3	93	qokedy | schedy | sshkchdy | shedy | qolchedy	SPRICH DY ALS SCHLIESSEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
E	KURZ	GRADE	CROSS_REGISTER_ABBREVIATION	48	11	59	dchey | etyd | qokedy | sheckhal | cheky	SPRICH E ALS KURZ; KOMBINIEREN IN SICHTBARER REIHENFOLGE
EE	LANG	GRADE	CROSS_REGISTER_ABBREVIATION	41	7	48	qokeedal | qokeey | olkeedy | ykeeal | sheey	SPRICH EE ALS LANG; KOMBINIEREN IN SICHTBARER REIHENFOLGE
EEE	VOLLSTAENDIG	GRADE	LEARNED_WORKSHOP_ROOT	2	0	2	qokeeedy | cheeety	SPRICH EEE ALS VOLLSTAENDIG; KOMBINIEREN IN SICHTBARER REIHENFOLGE
HO	TEIL	MATERIAL	CROSS_REGISTER_ABBREVIATION	5	1	6	cho | chochor | cho | chodaly | cho	SPRICH HO ALS TEIL; KOMBINIEREN IN SICHTBARER REIHENFOLGE
IIN	STUFE	STATE	LEARNED_WORKSHOP_ROOT	3	0	3	oiiin | oiiin | daiiin	SPRICH IIN ALS STUFE; KOMBINIEREN IN SICHTBARER REIHENFOLGE
K	ZUGEBEN	OPERATION	CROSS_REGISTER_ABBREVIATION	15	8	23	kair | kain | olkain | sshkchdy | yka	SPRICH K ALS ZUGEBEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
L	LEITEN	PATH	LEARNED_WORKSHOP_ROOT	27	0	27	dl | dl | lchedal | ly | lcheckhy	SPRICH L ALS LEITEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
LD	FESTBINDEN	OPERATION	LEARNED_WORKSHOP_ROOT	1	0	1	qokylddy	SPRICH LD ALS FESTBINDEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
LSH	SPUELEN	OPERATION	LEARNED_WORKSHOP_ROOT	3	0	3	lsho | lshedy | lshedy	SPRICH LSH ALS SPUELEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
O	ARBEITSGANG	PROCESS	CROSS_REGISTER_ABBREVIATION	17	13	30	cthoor | lsho | oiiin | oaram | ockhy	SPRICH O ALS ARBEITSGANG; KOMBINIEREN IN SICHTBARER REIHENFOLGE
OK	ANSETZEN	OPERATION	CROSS_REGISTER_ABBREVIATION	77	3	80	qoky | qokchy | qokedy | qokaiin | qokal	SPRICH OK ALS ANSETZEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
OL	FORTSETZEN	ORDER	CROSS_REGISTER_ABBREVIATION	46	6	52	otytchol | qotchol | ol | ol | olkain	SPRICH OL ALS FORTSETZEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
OR	ANSATZ	MATERIAL	CROSS_REGISTER_ABBREVIATION	11	1	12	cthoor | olor | cthoor | or | chealror	SPRICH OR ALS ANSATZ; KOMBINIEREN IN SICHTBARER REIHENFOLGE
OT	DANACH	ORDER	CROSS_REGISTER_ABBREVIATION	24	11	35	otytchol | qotchol | otar | qotchy | oteey	SPRICH OT ALS DANACH; KOMBINIEREN IN SICHTBARER REIHENFOLGE
P	EINBRINGEN	OPERATION	LEARNED_WORKSHOP_ROOT	4	0	4	cphy | pchedy | pchedal | cphy	SPRICH P ALS EINBRINGEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
R	KUEHL	STATE	CROSS_REGISTER_ABBREVIATION	6	2	8	rol | ral | rsheal | rshedy | chealror	SPRICH R ALS KUEHL; KOMBINIEREN IN SICHTBARER REIHENFOLGE
S	PROBE	OPERATION	LEARNED_WORKSHOP_ROOT	1	0	1	ches	SPRICH S ALS PROBE; KOMBINIEREN IN SICHTBARER REIHENFOLGE
SH	HALTEN	STATE	CROSS_REGISTER_ABBREVIATION	28	1	29	sheckhal | sshkchdy | dsheol | shckhedy | sheey	SPRICH SH ALS HALTEN; KOMBINIEREN IN SICHTBARER REIHENFOLGE
