position_id	expected_page	expected_locus	expected_token_ordinal	expected_surface	expected_reading_id	expected_old_context_de	v99_context_de	dispatch_classes	patient_or_source_binding	local_only_words_de	confidence_level	evidence_de	counterevidence_de	resolved_debt_atoms	historical_confirmation
P002	f104v	f104v.2	1	ychedaiin	ychedaiin#1	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	drei Portionen der bis zur Mittelstufe getrockneten Droge abmessen	PORTION_FAMILY|BOS_DEIXIS_DETACHED	NONE	NONE	W2_PROVISIONAL_WORKING	Aktionslizenz sowie Menge III, trockene Mittelstufe und Abmessen sind gebunden; die physische Vorgängerzeile ist zu lückenhaft für einen bestimmten Referenten.	Singleton; Droge, Einheit und BOS-Syntax bleiben unbestätigt.	M004_PORTION_FAMILY|M005_BOS_DEIXIS	H0_NONE
P025	f105r	f105r.31	1	kodeey	kodeey#1	vollständig erhitzte und abgeschlossene Zubereitungsdosis	vollständig erhitzte, fertige Portion der Zubereitung	PORTION_FAMILY|LOCAL_PRODUCT_HEAD	P030-P035 local preparation register	der Zubereitung	W1_WEAK_WORKING	Nominaler Resultatposten mit gebundener Hitze, Abschluss und Mengenrolle; die lokale Liste trägt Zubereitung als verständlichen Kopf.	Singleton; genaue Einheit und thermischer Rival bleiben offen.	M001_UNIT_IDENTITY|M004_PORTION_FAMILY	H0_NONE
P030	f105r	f105r.31	6	cpheesy	cpheesy#1	vollständig bereitetes und abgeschlossenes Arzneikompositum	vollständig bereitetes und abgeschlossenes Gemisch	PRODUCT_HEAD_NEUTRALIZATION	P025-P035 local composition register	Gemisch	W1_WEAK_WORKING	Der bereits neutrale Wörterbuchkern trägt bereitetes und abgeschlossenes Kompositum; Arznei war nur eine lokale medizinische Überladung.	Singleton; Bestandteile und internes S bleiben offen.	M002_PRODUCT_IDENTITY	H0_NONE
P047	f105v	f105v.14	1	pchedaiin	pchedaiin#1	drei Dosen bis Mittelstufe getrocknetes Pulver	drei Portionen des bis zur Mittelstufe getrockneten Pulvers	PORTION_FAMILY	EXACT_WHOLE	NONE	W2_PROVISIONAL_WORKING	Erster von zwei seitengetrennten exakten Pulverbelegen mit Menge III und trockener Mittelstufe.	Drei Teile und Prozesslesung bleiben Rivalen; Einheit historisch unbekannt.	M004_PORTION_FAMILY	H0_NONE
P053	f105v	f105v.14	7	tail	tail#1	kaltgestellte Rohdroge II	kaltgestellter Materialanteil II	MATERIAL_HEAD_NEUTRALIZATION	EXACT_WHOLE	NONE	W1_WEAK_WORKING	Der aktuelle Wörterbuchkern bindet Kaltzustand, Materialanteil und II; Rohdroge war eine lokale Überladung.	Singleton; IT2a-Heißrival und AIL-Segmentierung bleiben offen.	M003_MATERIAL_IDENTITY	H0_NONE
P142	f114r	f114r.26	1	ycheeodaiin	ycheeodaiin#1	hiervon drei Dosen des zweiten Trockenansatzes abmessen	drei Portionen des zweiten Trockenansatzes abmessen	PORTION_FAMILY|BOS_DEIXIS_DETACHED	NONE	NONE	W2_PROVISIONAL_WORKING	Initiale Aktion bindet Menge III, zweiten Trockenansatz und Abmessen; der physische Vorgänger liefert kalte Fraktion, Drogenportion und unbekannte Schlussform, keinen eindeutigen Referenten.	Singleton; zweiter Trockenansatz bleibt Ganzwort-Arbeitshypothese.	M004_PORTION_FAMILY|M005_BOS_DEIXIS	H0_NONE
P287	f7r	f7r.2	1	dcheey	dcheey#1	eine Dosis vollständig trocknen und abschließen	eine Portion vollständig trocknen und abschließen	PORTION_FAMILY	EXACT_WHOLE	NONE	W2_PROVISIONAL_WORKING	Initialbefehl bindet Menge I, Trocknen und Abschluss; folgende keo-r-Einheit ist separat eine heiße Portion.	Patient und historische Einheit sind unbekannt.	M004_PORTION_FAMILY	H0_NONE
P298	f80r	f80r.17	3	sheky	sheky#1	bis zur Mittelstufe einweichen, erhitzen und abschließen	diese feuchte Mischung bis zur Mittelstufe einweichen, erhitzen und abschließen	SHEKY_LOCAL_PATIENT	P297 sheckhy	diese feuchte Mischung	W2_PROVISIONAL_WORKING	Unmittelbar links steht P297 als feuchte Mischung auf Anfangsstufe; der rechte Zustand P299 spiegelt Einweichen, Hitze und Mittelstufe.	P296 Samenansatz könnte in denselben Patientenblock reichen; nur diese eine Zeile belegt die Wiederholung.	M006_SHEKY_SCOPE	H0_NONE
P301	f80r	f80r.17	6	sheky	sheky#1	bis zur Mittelstufe einweichen, erhitzen und abschließen	diesen heißen Drogenanteil I bis zur Mittelstufe einweichen, erhitzen und abschließen	SHEKY_LOCAL_PATIENT	P300 qokar	diesen heißen Drogenanteil I	W2_PROVISIONAL_WORKING	Unmittelbar links steht P300 als heißer Drogenanteil I; identisches sheky bleibt die Aktion, nicht die Zählung dreimal.	P299 feucht-heißes Material kann als weiterer Patient in den Block reichen; Droge ist nicht historisch identifiziert.	M006_SHEKY_SCOPE	H0_NONE
P306	f80r	f80r.17	11	sheky	sheky#1	bis zur Mittelstufe einweichen, erhitzen und abschließen	diesen heißen Holzanteil I im Ansatz auf Grad II bis zur Mittelstufe einweichen, erhitzen und abschließen	SHEKY_LOCAL_PATIENT	P303-P305 ol|olkar|okain	diesen heißen Holzanteil I im Ansatz auf Grad II	W2_PROVISIONAL_WORKING	Der unmittelbar vorangehende Nominalblock liefert Ansatz, heißen Holzanteil I und heißen Ansatz Grad II; sheky bleibt derselbe Handlungskern.	Die Bindung könnte nur den unmittelbar linken heißen Ansatz betreffen; Holz bleibt positionslokal.	M006_SHEKY_SCOPE	H0_NONE
P356	f86v3	f86v3.18	1	pchedaiin	pchedaiin#1	drei Dosen bis Mittelstufe getrocknetes Pulver	drei Portionen des bis zur Mittelstufe getrockneten Pulvers	PORTION_FAMILY	EXACT_WHOLE	NONE	W2_PROVISIONAL_WORKING	Zweiter unabhängiger exakter Pulverbeleg mit derselben Menge-III- und Trockenstufenkomposition.	Drei Teile und Prozesslesung bleiben Rivalen; Einheit historisch unbekannt.	M004_PORTION_FAMILY	H0_NONE
P394	f86v5	f86v5.4	1	ypchesy	ypchesy#1	hiervon Samenpulver bis zur Mittelstufe trocknen	das Samenpulver aus dem vorstehenden kalten Ansatz, Grad II, bis zur Mittelstufe trocknen	BOS_PHYSICAL_PREDECESSOR_CARRY	f86v5.3 final otain	aus dem vorstehenden kalten Ansatz, Grad II	W1_WEAK_WORKING	Die physisch unmittelbar vorherige Zeile endet mit otaiin und otain, aktuellen Ganzwortwerten für kalten Ansatz Grad III und II; ypchesy trägt lokal Samenpulver, Trocknen und Mittelstufe.	Samen gegen Wurzel bleibt Ganzwortrivale; die Herkunft aus dem Ansatz ist nur lokaler Zeilenanschluss.	M005_BOS_DEIXIS	H0_NONE
