record_unit_id	page	protocol_name	step	statement_id	visible_owner	owner_transition	protocol_phase	field_ids	event_ids	visible_sequence	component_chain	complete_translation_de	practical_reading
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	1	B1-S001	gemeinsames zweireihiges Figuren-/Beckenfeld	INITIAL_OWNER	KURZKONTAKT	F021	E101	qokedy	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	2	B1-S002	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	ANSATZ_BEMESSEN_UND_BESCHICKEN	F022|F023	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | BADZUSATZ | derselbe Ansatz | weiter | Kurze Zielpassage | Sollwert | Langer Zieleinsatz | Sollwert | durchleiten | überführen; Schluss	Den Beckenlauf bemessen, am Ziel einsetzen und davon Portion und weiteren Anteil weiterführen; Badzusatz aus demselben Ansatz zugeben, auf Sollwert durch den Lauf überführen; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	3	B1-S003	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	HOMOGENISIEREN	F024|F025	E121|E122	qol sshkchdy	weiter | SCHWENKEN; SCHLUSS	Weiterführen, schwenken; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	4	B1-S004	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	UEBERFUEHREN_UND_ABSETZEN	F026	E123|E124|E125	chedy ol shedy	überführen | weiter | kurz absetzen; Schluss	Überführen, weiterführen und kurz absetzen lassen; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	5	B1-S005	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	WEITERFUEHREN	F027	E126	qolchedy	weiterführen; Schluss	Weiterführen; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	6	B1-S006	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	ZUSATZ_DURCHLEITEN	F028	E127|E128|E129|E130	qokain shckhy dl ral	Anteil zugeben | durchleiten | BADZUSATZ | Zielmarke	Einen Anteil zugeben, durch den Lauf führen und den Badzusatz an die Zielmarke bringen.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	7	B1-S007	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	EINBRINGEN	F029	E131	qokchdy	einführen; Schluss	In die offene Zielstelle einführen; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	8	B1-S008	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	WAERMEN_UND_ABSETZEN	F030	E132|E133|E134|E135|E136	chey ol cheky ol shedy	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	9	B1-S009	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	KURZKONTAKT	F031	E137	qokedy	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
B1	f81v	GEMEINSAMES_BECKEN_ANSATZ_UND_ANWENDUNGSPROTOKOLL	10	B1-S010	gemeinsames zweireihiges Figuren-/Beckenfeld	SAME_OWNER	KURZKONTAKT_WIEDERHOLEN	F032	E138	qokedy	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	BAD_ODER_WASCHANSATZ_MIT_WIEDERHOLTEN_KONTAKTEN
