unit_order	unit_id	page	register	group_count	source_slot_program	selected_source_words_de	allowed_operation_words_de	controlled_unit_reading_de	one_sentence_compression_de	free_content_nouns_added
1	H1	f10r	HERBAL_ARTICLE	14	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	nehmen; ansetzen; trennen; sammeln; verwenden; verwahren	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	Eine Wurzelbereitung mit getrenntem Auszug und verwahrtem Rest.	NONE
2	H2	f10r	HERBAL_ARTICLE	24	PLANT>SHOOT>LEAF>CLOTH>EXTRACT>PORTION>OIL_BINDER>VESSEL>OUTER_APPLICATION	Bildpflanze; junger Spross; Blatt; Tuch; Auszug; örtliche Portion; Träger; Gefäß; Auftrag	nehmen; teilen; auswringen; sammeln; ansetzen; auftragen	Jungen Spross und Blatt der Bildpflanze nehmen, teilen und durch Tuch auswringen. Den Auszug in örtlicher Portion mit dem Träger im Gefäß ansetzen und als Auftrag verwenden.	Eine zweiteilige Pflanzenbereitung, deren Auszug aufgetragen wird.	NONE
3	H3	f11r	HERBAL_ARTICLE	17	PLANT>FLOWER>LEAF>EXTRACTION_MEDIUM>CLOTH>EXTRACT>DRINK_OR_PRODUCT>OIL_BINDER>OUTER_APPLICATION	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	nehmen; ansetzen; auswringen; absetzen; nachseihen; halten; auftragen	Blüte und Blatt der Bildpflanze im Auszugsmedium ansetzen, durch Tuch auswringen, absetzen und nachseihen. Den Auszug als Endprodukt halten; einen Teil mit Träger als Auftrag verwenden.	Ein geklärter Blüten- und Blattauszug mit zweiter Auftragsschiene.	NONE
4	H4	f55v	HERBAL_ARTICLE	18	PLANT>LEAF>EXTRACTION_MEDIUM>VESSEL>CLOTH>EXTRACT>HONEY_BINDER>OUTER_APPLICATION	Bildpflanze; Blatt; Auszugsmedium; Gefäß; Tuch; Auszug; Binder; Auftrag	nehmen; ansetzen; halten; auswringen; sammeln; binden; auftragen	Blatt der Bildpflanze mit Auszugsmedium im Gefäß ansetzen und halten. Durch Tuch auswringen, den Auszug sammeln, mit Binder verbinden und als Auftrag verwenden.	Ein gehaltener Blattansatz wird getrennt, gebunden und aufgetragen.	NONE
5	H5	f56r	HERBAL_ARTICLE	27	PLANT>HERB>WATER>EXTRACTION_MEDIUM>CLOTH>EXTRACT>HONEY_BINDER>DRINK_OR_PRODUCT>OUTER_APPLICATION	Bildpflanze; Kraut; Wasser; Auszugsmedium; Tuch; Auszug; Binder; Endprodukt; Auftrag	nehmen; ansetzen; trennen; sammeln; binden; verwenden; auftragen	Kraut der Bildpflanze mit Wasser und Auszugsmedium ansetzen. Durch Tuch trennen und den Auszug sammeln. Mit Binder als Endprodukt verwenden oder als Auftrag einsetzen.	Das Kraut liefert einen gebundenen Auszug für zwei Verwendungswege.	NONE
6	B1	f81v	BIO_STATION_RECORD	66	FIGURE_WORKPIECE>BASIN>STATION>WASH_LIQUID>ADDITIVE>TEMPERATURE>DURATION>BODY_WORK_AREA>OUTLET>FILTER	Badende; Becken; Beckenstation; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Ablauf; Filtern	ansetzen; wärmen; halten; waschen; filtern; absetzen; abführen	Badende an der Beckenstation im Becken ansetzen. Waschflüssigkeit und Zusatz auf Temperatur bringen, für die Dauer halten und an der örtlichen Stelle waschen. Danach filtern, absetzen und zum Ablauf abführen.	Eine lokale Bade- und Waschfolge mit geregeltem Ende.	NONE
7	B2	f82r	BIO_STATION_RECORD	62	FIGURE_WORKPIECE>BASIN>STATION>OPENING>INLET>OUTLET>RUN>WASH_LIQUID>ADDITIVE>TEMPERATURE>DURATION>BODY_WORK_AREA>IMMERSION>FILTER	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	öffnen; einlassen; führen; wärmen; halten; baden; filtern; abführen	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Mehrere sichtbare Teilbadstationen werden einzeln neu eingerichtet.	NONE
8	B3	f83r	BIO_STATION_RECORD	86	FIGURE_WORKPIECE>BASIN>STATION>OPENING>OUTLET>RUN>RECEIVER>WASH_LIQUID>TEMPERATURE>DURATION>BODY_WORK_AREA>FILTER	Badende; Becken; Beckenstation; Öffnung; Ablauf; Flüssigkeitslauf; Auffanggefäß; Waschflüssigkeit; Temperatur; Dauer; örtliche Stelle; Filtern	öffnen; führen; waschen; halten; filtern; sammeln; abführen	Badende und Beckenstation getrennt adressieren. Waschflüssigkeit durch die Öffnung in den Flüssigkeitslauf führen, an der örtlichen Stelle für die Dauer halten, filtern und im Auffanggefäß sammeln; danach am Ablauf abführen.	Die Rand- und Hauptstationen bilden lokale, nicht globale Flüssigkeitsgänge.	NONE
9	B4	f83r	BIO_STATION_RECORD	47	FIGURE_WORKPIECE>BASIN>STATION>OPENING>INLET>OUTLET>RUN>WASH_LIQUID>BIO_CLOTH>TEMPERATURE>DURATION>BODY_WORK_AREA>FILTER	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Tuch; Temperatur; Dauer; örtliche Stelle; Filtern	öffnen; einlassen; führen; waschen; halten; filtern; abführen	An der Beckenstation Waschflüssigkeit durch Öffnung und Einlass in den Flüssigkeitslauf führen. Das Tuch für die Dauer und Temperatur an der örtlichen Stelle der Badenden halten, filtern und am Ablauf abführen.	Tuchkontakt und lokaler Durchlauf verbinden Bad- und Apparategebrauch.	NONE
10	B5	f83r	BIO_STATION_RECORD	11	STATION>OPENING>OUTLET>RUN>WASH_LIQUID>TEMPERATURE>DURATION>BODY_WORK_AREA	Beckenstation; Öffnung; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Temperatur; Dauer; örtliche Stelle	öffnen; führen; wärmen; halten; abführen	Die Beckenstation an der Öffnung ansetzen. Waschflüssigkeit im Flüssigkeitslauf auf Temperatur bringen, für die Dauer an der örtlichen Stelle halten und am Ablauf abführen.	Eine kurze technische Randstation ohne eigenen Figurenbesitzer.	NONE
