family_order_old	family_id	visible_core_or_variants	short_value_de	card_types_built	prose_events_reached	distinct_partner_families	partners	example_cards	new_tier	curriculum_action	reason
1	OK	OK	EINSETZEN	23	79	13	AIIN|AIN|AIR|AL|AR|CHED_TRANSFER|CHEO|CKH|DY|E_GRADE|OL|SHED|Y	qokeedy|choky|okaiin|qokedy|okain|okeey|okal|qokchdy	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
2	OL	OL	WEITER_GLEICHER_LAUF	19	42	12	AIN|CHED_TRANSFER|CTH|DY|E_GRADE|L|OK|OR|OT|SHED|TCH_PREPARATION|Y	cheol|olchedy|olkain|oldy|cholor|qokol|okeeol|octheol	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
3	OT	OT	FOLGEPOSTEN	16	26	10	AIIN|AL|AR|CHED_TRANSFER|DY|E_GRADE|OL|OR|Y|YTY_PART	otaiin|otal|otchedy|qoteedy|otedy|oteey|otchor|otchey	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
4	AR	AR	VON_QUELLE	8	12	5	CHED_TRANSFER|L|OK|OT|Y	char|cheedar|lar|lchedar|chary|skar|qokar|otar	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
5	AL	AL	ZU_ZIEL	19	36	11	CHED_TRANSFER|CKH|DY|E_GRADE|L|OK|OR|OT|P|SHED|Y	al|okal|otal|shedal|chdal|chckhal|daldy|dalchdy	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
6	L	L	AB	15	23	9	AL|AR|CHED_TRANSFER|CKH|CKHE|DY|OL|O_WITHDRAW|Y	lchedy|ldy|ldalor|lchedal|lar|lchedar|lched|lcheckhedy	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
7	P	P	ZU	2	2	2	AL|CHED_TRANSFER	pchedal|pchedy	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
8	AIN	AIN	PORTION	6	15	3	CHED_TRANSFER|OK|OL	okain|chkain|olkain|chedain|ykain|orain	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
9	AN	AN	ZWEITE_PORTION	1	1	0	NONE	ykan	LEARNED_MICRO_SIGN_NOT_PRODUCTIVE_ROOT	DEMOTE_TO_PROSE_WHOLE_SIGN_LAYER	Only one composed card type uses this value; keep its concrete meaning but do not teach free recombination.
10	AIIN	AIIN	SOLLWERT	10	39	7	CHO_INPUT|CTH|E_GRADE|OK|OT|SHFY_DURATION|SOLK	aiin|okaiin|otaiin|chodaiin|cthaiin|shfydaiin|solkaiin|ykaiin	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
11	IIN	IIN	STUFE	3	4	1	K_BINDER	oiiin|kaiiin|daiiin	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
12	E_GRADE	E|EE|EEE	GRAD	30	73	13	AIIN|AL|CHK|CKH|CTH|DY|OK|OL|OT|SHED|SOLK|TY|Y	cheedy|qokeedy|qokedy|okeey|olkeedy|cheky|cheeky|qcthey	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
13	Y	Y	DIES_AKTUELLER_POSTEN	38	98	17	AIR|AL|AR|CHED_TRANSFER|CHK|CHO_INPUT|CKH|CTH|DY|E_GRADE|K_BINDER|L|OK|OL|OT|SOLK|TCH_PREPARATION	chey|chdy|choky|okeey|checthy|chckhy|cheky|chokchy	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
14	DY	DY	FESTSETZEN	24	62	13	AIR|AL|CHED_TRANSFER|CHK|E_GRADE|L|LSH|OK|OL|OT|O_WITHDRAW|SHED|Y	cheedy|qokeedy|qokedy|qokchdy|olchedy|lshedy|ldy|okchedy	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
15	OR	OR	BEDINGUNGSANSATZ	8	16	7	AL|CHEO|CHO_INPUT|CTH|OL|OT|OYK_VESSEL	chor|cholor|otchor|chealror|ycheor|chochor|cthoor|oykchor	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
16	CHO_INPUT	HO|CHO_INPUT	EINGABE	5	8	3	AIIN|OR|Y	cho|chodaiin|chochor|choy|chodaly	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
17	CHEO	CHEO	AUSZUG	3	3	2	OK|OR	cheoar|chokcheo|ycheor	SPECIALIST_PRODUCTIVE_FAMILY	KEEP_IN_SPECIALIST_ROOT_DECK	Narrow but recurrent or contrastive specialist family; teach only in its licensed constructions.
18	AIR	AIR	LAUF_BAHN	5	5	5	CH_POUR|DY|K_BINDER|OK|Y	schedair|chair|kair|okair|dairydy	CORE_PRODUCTIVE_FAMILY	KEEP_IN_CORE_ROOT_DECK	Builds at least five card types with at least three distinct partners.
