new_family_order	family_id	visible_core_or_variants	short_value_de	new_tier	card_types_built	prose_events_reached	distinct_partner_families	teaching_restriction
1	OK	OK	EINSETZEN	CORE_PRODUCTIVE_FAMILY	23	79	13	free within attested slot grammar
2	OL	OL	WEITER_GLEICHER_LAUF	CORE_PRODUCTIVE_FAMILY	19	42	12	free within attested slot grammar
3	OT	OT	FOLGEPOSTEN	CORE_PRODUCTIVE_FAMILY	16	26	10	free within attested slot grammar
4	AR	AR	VON_QUELLE	CORE_PRODUCTIVE_FAMILY	8	12	5	free within attested slot grammar
5	AL	AL	ZU_ZIEL	CORE_PRODUCTIVE_FAMILY	19	36	11	free within attested slot grammar
6	L	L	AB	CORE_PRODUCTIVE_FAMILY	15	23	9	free within attested slot grammar
7	P	P	ZU	SPECIALIST_PRODUCTIVE_FAMILY	2	2	2	use only in listed specialist constructions
8	AIN	AIN	PORTION	CORE_PRODUCTIVE_FAMILY	6	15	3	free within attested slot grammar
9	AIIN	AIIN	SOLLWERT	CORE_PRODUCTIVE_FAMILY	10	39	7	free within attested slot grammar
10	IIN	IIN	STUFE	SPECIALIST_PRODUCTIVE_FAMILY	3	4	1	use only in listed specialist constructions
11	E_GRADE	E|EE|EEE	GRAD	CORE_PRODUCTIVE_FAMILY	30	73	13	free within attested slot grammar
12	Y	Y	DIES_AKTUELLER_POSTEN	CORE_PRODUCTIVE_FAMILY	38	98	17	free within attested slot grammar
13	DY	DY	FESTSETZEN	CORE_PRODUCTIVE_FAMILY	24	62	13	free within attested slot grammar
14	OR	OR	BEDINGUNGSANSATZ	CORE_PRODUCTIVE_FAMILY	8	16	7	free within attested slot grammar
15	CHO_INPUT	HO|CHO_INPUT	EINGABE	CORE_PRODUCTIVE_FAMILY	5	8	3	free within attested slot grammar
16	CHEO	CHEO	AUSZUG	SPECIALIST_PRODUCTIVE_FAMILY	3	3	2	use only in listed specialist constructions
17	AIR	AIR	LAUF_BAHN	CORE_PRODUCTIVE_FAMILY	5	5	5	free within attested slot grammar
18	CHED_TRANSFER	CHED|CHD	UEBERFUEHREN	CORE_PRODUCTIVE_FAMILY	21	47	12	free within attested slot grammar
19	CTH	CTH	BEREIT	CORE_PRODUCTIVE_FAMILY	7	14	6	free within attested slot grammar
20	SHED	SHED	ABSETZEN	CORE_PRODUCTIVE_FAMILY	5	17	5	free within attested slot grammar
21	CHK	CHK	ZUSTAND_JUSTIEREN	SPECIALIST_PRODUCTIVE_FAMILY	4	7	3	use only in listed specialist constructions
22	CKH	CKH	DURCHLASS	CORE_PRODUCTIVE_FAMILY	6	9	5	free within attested slot grammar
23	CKHE	CKHE	SEIHEN	SPECIALIST_PRODUCTIVE_FAMILY	2	4	1	use only in listed specialist constructions
24	SOLK	SOLK	SAMMELN	SPECIALIST_PRODUCTIVE_FAMILY	4	6	3	use only in listed specialist constructions
25	LSH	LSH	WASCHEN	SPECIALIST_PRODUCTIVE_FAMILY	2	3	1	use only in listed specialist constructions
26	TY	TY	TEIL	SPECIALIST_PRODUCTIVE_FAMILY	2	3	1	use only in listed specialist constructions
27	O_WITHDRAW	O_WITHDRAW	ZURUECKNEHMEN	SPECIALIST_PRODUCTIVE_FAMILY	3	3	3	use only in listed specialist constructions
28	K_BINDER	K_BINDER	ARGUMENTBINDER	CORE_PRODUCTIVE_FAMILY	8	8	3	free within attested slot grammar
29	YTY_PART	YTY_PART	FOLGETEIL	SPECIALIST_PRODUCTIVE_FAMILY	2	2	1	use only in listed specialist constructions
