bridge_ordinal	target_surface	target_recipe	target_observed_modes	recipe_atom_count	tile_count	complete_old_tiles	minimum_old_tile_event_count	seam_count	all_seams_old	minimum_old_seam_event_count	portable_skeleton	old_portable_skeleton_event_count	old_portable_skeleton_modes	portable_skeleton_mode_relation	ordered_same_statement_path_count	adjacent_tile_path_count	support_class	gdt516_tier_changed	guard
1	choraly	CH+OR+AL+Y	SELF_CONTAINED	4	2	CH+OR | AL+Y	9	1	YES	3	CH+OR+AL+Y	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
2	cthdy	CH+T+D_ADDR+Y	SELF_CONTAINED	4	2	CH+T | D_ADDR+Y	1	1	YES	4	CH+T+Y	38	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
3	dairody	D_ADDR+AIR+O+DY	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	4	2	D_ADDR+AIR | O+DY	5	1	YES	1	AIR	17	SELF_CONTAINED|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	TARGET_MODE_INCLUDED__OLD_ADDS_MODES	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
4	dairykodas	D_ADDR+AIR+Y+K+O+DA+S	SELF_CONTAINED	7	3	D_ADDR+AIR | Y+K | O+DA+S	1	2	YES	2	AIR+Y+K+S	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	YES	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
5	dalalshedy	AL+AL+SH+E+DY	REQUIRES_ACTIVE_ARGUMENT	5	2	AL+AL | SH+E+DY	2	1	YES	4	AL+AL+SH	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
6	dyky	D_ADDR+Y+K+Y	SELF_CONTAINED	4	2	D_ADDR+Y | K+Y	2	1	YES	69	Y+K+Y	14	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
7	kodary	K+O+D_ADDR+AR+Y	SELF_CONTAINED	5	2	K+O+D_ADDR | AR+Y	1	1	YES	76	K+AR+Y	0	NONE	NO_EXACT_PORTABLE_SKELETON	0	0	COMPLETE_TILES_AND_OLD_SEAMS_ONLY	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
8	lsheody	L+SH+E+O+D_ADDR+Y	SELF_CONTAINED	6	2	L+SH+E | O+D_ADDR+Y	1	1	YES	206	L+SH+Y	10	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
9	okalchedy	OK+AL+CHD+Y	SELF_CONTAINED	4	2	OK+AL | CHD+Y	47	1	YES	8	OK+AL+CHD+Y	0	NONE	NO_EXACT_PORTABLE_SKELETON	11	2	ADJACENT_OLD_TILE_SEQUENCE	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
10	oteochey	OT+E+O+CH+E+Y	SELF_CONTAINED	6	2	OT+E+O | CH+E+Y	4	1	YES	49	OT+CH+Y	4	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	0	0	EXACT_PORTABLE_SKELETON_CONTEXT	NO	FULL_TILE_WORKING_BRIDGE__NO_WHOLE_RECIPE_OCCURRENCE_CLAIM
