metric	value	interpretation_de
target_surface_count	145	finale Prosa-Zielrezepte
final_exact_recipe_count	11	vollständige alte Rezepte
final_full_tile_recipe_count	29	vollständig aus alten Mehrkomponentenkarten kachelbar
final_fragment_plus_atoms_count	81	alte Ganzkartenfragmente plus Einzelkomponenten
final_atoms_factors_only_count	24	nur Atome und Faktoren
tier_migration_count	4	Änderungen gegenüber GDT516 durch finale Rezepte
complete_old_tile_instance_count	59	Kachelpositionen in29 Zielrezepten
unique_complete_old_tile_recipe_count	42	verschiedene alte Ganzkartenkacheln
intertile_seam_count	30	Kachelgrenzen
old_supported_seam_count	30	bereits innerhalb alter Karten sichtbare Grenzen
portable_skeleton_target_count	17	Ziele mit altem exaktem19-Wurzel-Skelett
portable_skeleton_mode_compatible_count	17	Skelette mit Zielmodus
portable_skeleton_exact_mode_set_count	15	exakt gleiche Modusmenge
portable_skeleton_old_adds_modes_count	2	alte Umgebung zeigt zusätzliche Modi
ordered_same_statement_target_count	3	Ziele mit geordnetem alten Kachelpfad
ordered_same_statement_path_count	13	beste Pfade je alter Aussage
adjacent_tile_target_count	1	Ziele mit direkt benachbarten alten Kacheln
adjacent_tile_path_count	2	direkte alte Kachelfolgen
support_adjacent_count	1	stärkste Brückenklasse
support_ordered_count	2	geordnete Satzpfade ohne direkte Nachbarschaft
support_skeleton_count	16	exaktes portables Skelett
support_seams_only_count	10	vollständige Kacheln plus alte Nähte
