seam_ordinal	target_surface	target_recipe	seam_index_in_target	left_tile	right_tile	boundary_pair	old_boundary_event_count	old_boundary_recipe_count	old_boundary_surfaces	old_boundary_pages	old_boundary_registers	boundary_supported	guard
1	choraly	CH+OR+AL+Y	1	CH+OR	AL+Y	OR>AL	3	2	loral|oral|oraly	f67r2|f72r|f76r	BIOLOGICAL|CELESTIAL	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
2	cthdy	CH+T+D_ADDR+Y	1	CH+T	D_ADDR+Y	T>D_ADDR	4	4	chcthdy|olcthdy|qcthdys|salshcthdy	f81r|f81v|f83r	BIOLOGICAL	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
3	dairody	D_ADDR+AIR+O+DY	1	D_ADDR+AIR	O+DY	AIR>O	1	1	dairodain	f88v	PHARMA	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
4	dairykodas	D_ADDR+AIR+Y+K+O+DA+S	1	D_ADDR+AIR	Y+K	AIR>Y	2	2	dairydy|toairy	f83r|f88v	BIOLOGICAL|PHARMA	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
5	dairykodas	D_ADDR+AIR+Y+K+O+DA+S	2	Y+K	O+DA+S	K>O	21	20	chckho|checkho|cheeckhody|chekody|chekoy|ckho|ckhody|koay|kochky|kod|kodaiin|kodshey|koeam|koey|kom|kos|koshey|kosholdy|qkoy|shekoiin|ykoaiin	f10r|f17r|f1r|f24v|f56r|f67r2|f72r|f82r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
6	dalalshedy	AL+AL+SH+E+DY	1	AL+AL	SH+E+DY	AL>SH	4	3	alshy|dalshedy|pdalshor	f75r|f76r	BIOLOGICAL	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
7	dyky	D_ADDR+Y+K+Y	1	D_ADDR+Y	K+Y	Y>K	69	45	chcthykedy|chdykain|chedykar|chkchykoly|chykchy|chykey|dykain|kchedykary|opykey|oykchor|pcheykeeor|qeykeey|qykaiin|sheyk|shyk|ykaiin|ykain|ykair|ykaky|ykal|ykaly|ykan|ykar|ykchdy|ykchey|ykcho|ykchol|ykchor|ykchy|ykeday|ykedy|ykeedy|ykeeey|ykeeoly|ykeeor|ykeesan|ykeey|ykeo|ykeodain|ykeody|ykeolol|ykeor|ykeshey|ykoaiin|ykol|ykoly|ykor|yky|ykychy	f10r|f11r|f13r|f17r|f18r|f1r|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
8	kodary	K+O+D_ADDR+AR+Y	1	K+O+D_ADDR	AR+Y	D_ADDR>AR	76	24	ctholdar|dar|daraiin|daraly|dardardy|darod|darom|daror|keodar|lshedary|odar|otedar|oteodar|oydar|podar|poldarais|poleedaran|pshedar|qodar|qokedar|qotaldar|shedar|shodary|tchodar|ydar|ydaraishy	f10r|f13r|f17r|f18r|f1r|f24v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
9	lsheody	L+SH+E+O+D_ADDR+Y	1	L+SH+E	O+D_ADDR+Y	E>O	206	84	cheo|cheoar|cheockhy|cheocphy|cheodain|cheodal|cheody|cheojam|cheok|cheokal|cheokam|cheokorchey|cheoky|cheol|cheoldy|cheols|cheom|cheor|cheorol|cheos|cheotey|cheoy|chokcheo|chteos|cpheody|ctheod|ctheody|dcheo|dcheokedy|dcheor|dorsheoy|eo|keodal|ksheo|lkeo|lkeopol|ocheol|okearcheol|okeo|okeodaly|okeody|okeom|okeos|okeosar|okeoy|olcheody|olcheol|olcheor|olsheody|osheo|otcheodal|oteeykeey|oteo|oteodar|oteody|oteokeey|oteos|oteoshar|pcheoly|qokcheody|qokcheor|qokeo|qokeochy|qokeodal|qokeody|qokeoefy|qokeom|qokeoy|qoteo|qoteody|salcheol|scheor|sheo|sheodal|sheody|sheom|sheos|sheshdy|sqokeodaiin|tcheol|teo|teodal|teody|ycheo|ycheody|ycheol|ycheor|ykeo|ykeodain|ykeody|yokeody|ysheod|yteody|yteoor|yteos|ytoeopchey	f10r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
10	okalchedy	OK+AL+CHD+Y	1	OK+AL	CHD+Y	AL>CHD	8	4	alchdy|alched|dalchdy|dalchedy|dalchom|polalchdy|salchedy	f72r|f76r|f77r|f81r|f83r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
11	oteochey	OT+E+O+CH+E+Y	1	OT+E+O	CH+E+Y	O>CH	49	34	chcfhdy|cheockhy|cheocphy|chocfhey|chocfhy|chocthar|choctheeey|chocthey|chocthy|kochky|ocheol|ochey|ockhey|ockhy|ocphoraiin|octheol|octheolarl|octhody|octhole|octhor|octhyl|pchocthy|qocheey|qockhedy|qockhey|qockhol|qockhy|qocthey|qoctholy|qocthy|qokeochy|qopcholy|shocphedy|shocthy|socthody|tochol|tochso|ychocphy	f10r|f11r|f18r|f1r|f24v|f56r|f67r2|f68r1|f71v|f72r|f76r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
12	qokeedar	OK+EE+D_ADDR+AR	1	OK+EE	D_ADDR+AR	EE>D_ADDR	42	18	ashyteed|cheedy|dcheedy|kcheedchdy|lcheedy|lkeed|lkeedy|lsheedy|lteedy|okeed|olsheed|poleedaran|qoeedy|qokeed|qolkeedy|qosheedy|rsheedy|sheed|solkeedy|ykeedy	f55v|f72r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
13	shedshey	SH+E+D_ADDR+SH+E+Y	1	SH+E+D_ADDR	SH+E+Y	D_ADDR>SH	9	8	choldshy|dsheckhy|dshees|dshey|dsholyd|dshor|kodshey|qotedshedy	f17r|f1r|f75r|f76r|f81r|f81v|f88v|f95v	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
14	sheeody	SH+EE+O+D_ADDR+Y	1	SH+EE	O+D_ADDR+Y	EE>O	21	17	cheeodam|cheeody|keeo|keeod|keeodaiin|keeokechy|oeeos|okeeo|okeeody|oteeo|oteeodaiin|oteeody|oteeos|qokeeo|qokeeod|qokeeody|qoteeody|sheeo|sheeos|teeody	f24v|f67r2|f71v|f72r|f76r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
15	shekair	SH+E+K+AIR	1	SH+E	K+AIR	E>K	24	20	eky|oekain|oekshy|ofalsheky|qekaiin|qekeey|qekey|qoekeol|qoekeor|qoekol|shedkedy|shek|shekaiin|shekal|shekoiin|shekor|shekshey|sheky|shekydy|yekees	f1r|f67r2|f71v|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
16	shekaly	SH+E+K+AL+Y	1	SH+E+K	AL+Y	K>AL	19	13	chckhal|chekal|cheokal|chkal|ckhal|kal|kalol|okaikaly|olkal|sheckhal|shekal|skal|solchkal|ykal|ykaly	f1r|f55v|f71v|f72r|f75r|f76r|f81r|f81v|f83r|f88v|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
17	shekeey	SH+E+K+EE+Y	1	SH+E	K+EE+Y	E>K	24	20	eky|oekain|oekshy|ofalsheky|qekaiin|qekeey|qekey|qoekeol|qoekeor|qoekol|shedkedy|shek|shekaiin|shekal|shekoiin|shekor|shekshey|sheky|shekydy|yekees	f1r|f67r2|f71v|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
18	shekey	SH+E+K+E+Y	1	SH+E	K+E+Y	E>K	24	20	eky|oekain|oekshy|ofalsheky|qekaiin|qekeey|qekey|qoekeol|qoekeor|qoekol|shedkedy|shek|shekaiin|shekal|shekoiin|shekor|shekshey|sheky|shekydy|yekees	f1r|f67r2|f71v|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
19	shekol	SH+E+K+OL	1	SH+E	K+OL	E>K	24	20	eky|oekain|oekshy|ofalsheky|qekaiin|qekeey|qekey|qoekeol|qoekeor|qoekol|shedkedy|shek|shekaiin|shekal|shekoiin|shekor|shekshey|sheky|shekydy|yekees	f1r|f67r2|f71v|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES	EXACT_ADJACENT_ATOM_SEAM_INSIDE_OLD_COMPLETE_CARD
