skeleton_profile_ordinal	target_surface	target_recipe	portable_skeleton	target_observed_modes	old_skeleton_event_count	old_skeleton_recipe_count	old_skeleton_surfaces	old_skeleton_pages	old_skeleton_registers	old_skeleton_modes	mode_relation	guard
1	cthdy	CH+T+D_ADDR+Y	CH+T+Y	SELF_CONTAINED	38	14	checthy|cheeteey|cheety|cheotey|chetedy|chetey|chteey|chty|ctheody|cthey|cthy|cthyd|octhody|qctheed|qcthey|qocthey|qocthy|qodcthy	f10r|f11r|f17r|f18r|f1r|f56r|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
2	dairody	D_ADDR+AIR+O+DY	AIR	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	17	5	air|dair|dairam|qoeair|qofair	f10r|f11r|f17r|f18r|f67r2|f72r|f81v|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	SELF_CONTAINED|REQUIRES_ACTIVE_ACTION|REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	TARGET_MODE_INCLUDED__OLD_ADDS_MODES	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
3	dyky	D_ADDR+Y+K+Y	Y+K+Y	SELF_CONTAINED	14	6	qeykeey|ykchy|ykeday|ykeedy|ykeeey|ykeey|yky	f13r|f17r|f67r2|f68r1|f72r|f75r|f81r|f81v|f82r|f88r|f88v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
4	lsheody	L+SH+E+O+D_ADDR+Y	L+SH+Y	SELF_CONTAINED	10	4	lsheedy|lsheey|lshey|olsheody	f75r|f76r|f77r|f83r|f88r	BIOLOGICAL|PHARMA	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
5	oteochey	OT+E+O+CH+E+Y	OT+CH+Y	SELF_CONTAINED	4	1	otchy	f17r|f56r|f71v|f76r	BIOLOGICAL|CELESTIAL|HERBAL	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
6	qokeedar	OK+EE+D_ADDR+AR	OK+AR	REQUIRES_ACTIVE_ARGUMENT	42	4	chokar|okar|qokar|qokardy|qokear|qokedar	f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_INCLUDED__OLD_ADDS_MODES	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
7	shedshey	SH+E+D_ADDR+SH+E+Y	SH+SH+Y	SELF_CONTAINED	1	1	shoshy	f1r	SOURCE_SECTION_T	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
8	sheeody	SH+EE+O+D_ADDR+Y	SH+Y	SELF_CONTAINED	105	10	cheey|dshey|ofshdy|oshedy|qosheedy|shchey|shdy|sheey|sheody|sheshdy|shey|sheysy|shoy|tshey	f11r|f13r|f1r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
9	shekeey	SH+E+K+EE+Y	SH+K+Y	SELF_CONTAINED	11	5	shedkedy|sheeky|sheky|shekydy|shkchy|shky	f13r|f1r|f71v|f75r|f76r|f81v|f82r|f83r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
10	shekey	SH+E+K+E+Y	SH+K+Y	SELF_CONTAINED	11	5	shedkedy|sheeky|sheky|shekydy|shkchy|shky	f13r|f1r|f71v|f75r|f76r|f81v|f82r|f83r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	SELF_CONTAINED	TARGET_MODE_INCLUDED__EXACT_SET	EXACT_PORTABLE_SKELETON__STRUCTURAL_SLOTS_OMITTED_ONLY
