target_ordinal	surface	gdt516_recipe	final_recipe	recipe_changed_after_gdt516	gdt516_support_tier	final_support_tier	support_tier_changed	final_recipe_atom_count	final_old_tile_coverage_atoms	final_longest_old_fragment_atoms	final_best_old_tiles	observed_requirement_modes	guard
1	aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	AIIN+CH+T+Y	YES	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	CH+T+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
2	akar	A_ADDR+K+AR	A_ADDR+K+AR	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	K+AR	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
3	alkey	AL+K+E+Y	AL+K+E+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	K+E+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
4	axor	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	3	0	0	NONE	REQUIRES_ACTIVE_ACTION	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
5	chady	CH+A_ADDR+DY	CH+A_ADDR+DY	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	CH+A_ADDR	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
6	chap	CH+A_ADDR+P	CH+A_ADDR+P	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	3	2	2	CH+A_ADDR	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
7	chckhedy	CH+CH+K+E+DY	CH+CH+K+E+DY	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	3	3	K+E+DY	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
8	chcpheor	CH+CH+P+E+OR	CH+CH+P+E+OR	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	5	0	0	NONE	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
9	chctho	CH+CH+T+O	CH+CH+T+O	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	CH+T+O	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
10	cheda	CHD+A_ADDR	CHD+A_ADDR	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	2	0	0	NONE	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
11	chedaiir	CHD+IIN+R	CHD+IIN+R	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	3	0	0	NONE	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
12	cheeo	CH+EE+O	CH+EE+O	NO	ATOMS_AND_FACTORS_ONLY	ATOMS_AND_FACTORS_ONLY	NO	3	0	0	NONE	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
13	chefchy	CH+E+LOCAL_CHAR_F+CH+Y	CH+E+LOCAL_CHAR_F+CH+Y	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	2	2	CH+E	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
14	chekchy	CH+K+CH+Y	CH+K+Y	YES	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	FULL_OLD_RECIPE_CARRIER	YES	3	3	3	CH+K+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
15	chekeey	CH+K+EE+Y	CH+K+EE+Y	NO	FULL_OLD_RECIPE_CARRIER	FULL_OLD_RECIPE_CARRIER	NO	4	4	4	CH+K+EE+Y	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
16	chekeody	CH+K+E+O+DY	CH+K+E+O+DY	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	5	4	2	CH+K | O+DY	REQUIRES_ACTIVE_ARGUMENT	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
17	cheod	CH+E+O+D_ADDR	CH+E+O+D_ADDR	NO	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	NO	4	3	3	CH+E+O	SELF_CONTAINED	FINAL_RECIPE_SUPPORT_RECOUNT__NO_RECIPE_CHANGE
