tile_instance_ordinal	target_surface	target_recipe	tile_index_in_target	tile_count_in_target	tile_recipe	tile_atom_count	old_tile_event_count	old_tile_surface_count	old_tile_surfaces	old_tile_pages	old_tile_registers	tile_action_roots	tile_argument_roots	guard
1	choraly	CH+OR+AL+Y	1	2	CH+OR	2	23	1	chor	f10r|f13r|f17r|f18r|f1r|f24v|f56r|f88r|f88v|f89r	HERBAL|PHARMA|SOURCE_SECTION_T	CH	OR	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
2	choraly	CH+OR+AL+Y	2	2	AL+Y	2	9	5	aly|chealdy|chealy|daly|tealy	f71v|f72r|f75r|f76r|f77r|f81r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
3	cthdy	CH+T+D_ADDR+Y	1	2	CH+T	2	1	1	cth	f10r	HERBAL	CH|T	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
4	cthdy	CH+T+D_ADDR+Y	2	2	D_ADDR+Y	2	2	1	dchy	f10r|f13r	HERBAL	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
5	dairody	D_ADDR+AIR+O+DY	1	2	D_ADDR+AIR	2	9	1	dair	f10r|f11r|f17r|f18r|f88v|f89r	HERBAL|PHARMA	NONE	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
6	dairody	D_ADDR+AIR+O+DY	2	2	O+DY	2	5	1	ody	f10r|f55v|f81r|f95v	BIOLOGICAL|HERBAL	NONE	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
7	dairykodas	D_ADDR+AIR+Y+K+O+DA+S	1	3	D_ADDR+AIR	2	9	1	dair	f10r|f11r|f17r|f18r|f88v|f89r	HERBAL|PHARMA	NONE	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
8	dairykodas	D_ADDR+AIR+Y+K+O+DA+S	2	3	Y+K	2	1	1	shyk	f75r	BIOLOGICAL	K	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
9	dairykodas	D_ADDR+AIR+Y+K+O+DA+S	3	3	O+DA+S	3	1	1	odas	f67r2	CELESTIAL	S	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
10	dalalshedy	AL+AL+SH+E+DY	1	2	AL+AL	2	2	2	dalal|daldal	f81v|f89r	BIOLOGICAL|PHARMA	NONE	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
11	dalalshedy	AL+AL+SH+E+DY	2	2	SH+E+DY	3	110	2	dshedy|shedy	f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f95v	BIOLOGICAL|HERBAL|PHARMA	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
12	dyky	D_ADDR+Y+K+Y	1	2	D_ADDR+Y	2	2	1	dchy	f10r|f13r	HERBAL	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
13	dyky	D_ADDR+Y+K+Y	2	2	K+Y	2	7	2	kchy|ky	f11r|f13r|f1r|f76r|f81v|f89r	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	K	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
14	kodary	K+O+D_ADDR+AR+Y	1	2	K+O+D_ADDR	3	1	1	kod	f1r	SOURCE_SECTION_T	K	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
15	kodary	K+O+D_ADDR+AR+Y	2	2	AR+Y	2	1	1	chary	f83r	BIOLOGICAL	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
16	lsheody	L+SH+E+O+D_ADDR+Y	1	2	L+SH+E	3	2	1	lshed	f76r|f82r	BIOLOGICAL	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
17	lsheody	L+SH+E+O+D_ADDR+Y	2	2	O+D_ADDR+Y	3	1	1	qodchy	f13r	HERBAL	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
18	okalchedy	OK+AL+CHD+Y	1	2	OK+AL	2	47	5	chokal|chykald|okal|okedal|qokal	f18r|f55v|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	OK	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
19	okalchedy	OK+AL+CHD+Y	2	2	CHD+Y	2	107	3	chdy|chedchy|chedy	f1r|f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	CHD	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
20	oteochey	OT+E+O+CH+E+Y	1	2	OT+E+O	3	4	2	oteo|qoteo	f72r|f88v	CELESTIAL|PHARMA	NONE	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
21	oteochey	OT+E+O+CH+E+Y	2	2	CH+E+Y	3	5	1	dchey	f10r|f24v|f56r|f81r|f88r	BIOLOGICAL|HERBAL|PHARMA	CH	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
22	qokeedar	OK+EE+D_ADDR+AR	1	2	OK+EE	2	1	1	okee	f72r	CELESTIAL	OK	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
23	qokeedar	OK+EE+D_ADDR+AR	2	2	D_ADDR+AR	2	47	1	dar	f10r|f13r|f17r|f18r|f1r|f24v|f67r2|f71v|f72r|f75r|f76r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	NONE	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
24	shedshey	SH+E+D_ADDR+SH+E+Y	1	2	SH+E+D_ADDR	3	2	1	shed	f76r	BIOLOGICAL	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
25	shedshey	SH+E+D_ADDR+SH+E+Y	2	2	SH+E+Y	3	44	3	shey|sheysy|tshey	f11r|f13r|f1r|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	SH	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
26	sheeody	SH+EE+O+D_ADDR+Y	1	2	SH+EE	2	1	1	chee	f77r	BIOLOGICAL	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
27	sheeody	SH+EE+O+D_ADDR+Y	2	2	O+D_ADDR+Y	3	1	1	qodchy	f13r	HERBAL	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
28	shekair	SH+E+K+AIR	1	2	SH+E	2	2	1	she	f1r|f71v	CELESTIAL|SOURCE_SECTION_T	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
29	shekair	SH+E+K+AIR	2	2	K+AIR	2	2	1	kair	f1r|f81v	BIOLOGICAL|SOURCE_SECTION_T	K	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
30	shekaly	SH+E+K+AL+Y	1	2	SH+E+K	3	2	1	shek	f81v	BIOLOGICAL	K|SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
31	shekaly	SH+E+K+AL+Y	2	2	AL+Y	2	9	5	aly|chealdy|chealy|daly|tealy	f71v|f72r|f75r|f76r|f77r|f81r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	NONE	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
32	shekeey	SH+E+K+EE+Y	1	2	SH+E	2	2	1	she	f1r|f71v	CELESTIAL|SOURCE_SECTION_T	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
33	shekeey	SH+E+K+EE+Y	2	2	K+EE+Y	3	9	1	keey	f1r|f56r|f71v|f72r|f76r|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	K	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
34	shekey	SH+E+K+E+Y	1	2	SH+E	2	2	1	she	f1r|f71v	CELESTIAL|SOURCE_SECTION_T	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
35	shekey	SH+E+K+E+Y	2	2	K+E+Y	3	1	1	key	f88v	PHARMA	K	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
36	shekol	SH+E+K+OL	1	2	SH+E	2	2	1	she	f1r|f71v	CELESTIAL|SOURCE_SECTION_T	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
37	shekol	SH+E+K+OL	2	2	K+OL	2	7	2	kchol|kol	f11r|f13r|f1r|f56r|f72r|f75r	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	K	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
38	sheocthy	SH+E+O+CH+T+Y	1	2	SH+E	2	2	1	she	f1r|f71v	CELESTIAL|SOURCE_SECTION_T	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
39	sheocthy	SH+E+O+CH+T+Y	2	2	O+CH+T+Y	4	1	1	qocthy	f89r	PHARMA	CH|T	Y	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
40	sheodaiin	SH+E+O+D_ADDR+AIIN	1	2	SH+E	2	2	1	she	f1r|f71v	CELESTIAL|SOURCE_SECTION_T	SH	NONE	COMPLETE_OLD_CARD_TILE__TARGET_ORDER_PRESERVED
