path_ordinal	target_surface	target_recipe	tile_sequence	old_statement_id	physical_page	register	tile_card_ordinals	tile_event_ids	tile_surfaces	path_span_cards	adjacent_complete_tile_sequence	guard
1	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S130	f75r	BIOLOGICAL	9|11	G407-E1694|G407-E1696	qokal|chedy	2	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
2	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S263	f76r	BIOLOGICAL	2|7	G407-E2171|G407-E2176	qokal|chedy	5	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
3	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S275	f76r	BIOLOGICAL	1|5	G407-E2231|G407-E2235	qokal|chedy	4	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
4	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S290	f76r	BIOLOGICAL	1|10	G407-E2314|G407-E2323	qokal|chedy	9	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
5	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S305	f76r	BIOLOGICAL	1|5	G407-E2364|G407-E2368	okal|chedy	4	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
6	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S359	f77r	BIOLOGICAL	1|4	G407-E2538|G407-E2541	qokal|chedy	3	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
7	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S425	f81r	BIOLOGICAL	1|8	G407-E2840|G407-E2847	qokal|chedy	7	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
8	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S428	f81r	BIOLOGICAL	4|5	G407-E2873|G407-E2874	okal|chedy	1	YES	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
9	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S468	f81v	BIOLOGICAL	2|3	G407-E3057|G407-E3058	qokal|chedy	1	YES	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
10	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S479	f81v	BIOLOGICAL	2|7	G407-E3102|G407-E3107	qokal|chedy	5	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
11	okalchedy	OK+AL+CHD+Y	OK+AL | CHD+Y	G407-S500	f82r	BIOLOGICAL	1|3	G407-E3210|G407-E3212	qokal|chedy	2	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
12	shekeey	SH+E+K+EE+Y	SH+E | K+EE+Y	G407-S055	f71v	CELESTIAL	4|14	G407-E1062|G407-E1072	she|keey	10	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
13	ykshedy	Y+K+SH+E+DY	Y+K | SH+E+DY	G407-S082	f75r	BIOLOGICAL	4|7	G407-E1428|G407-E1431	shyk|shedy	3	NO	ORDERED_OLD_CARD_PATH__INTERVENING_CARDS_RETAINED
