reading	model	permission_paragraph	permission_witness	no_permission_paragraph	no_permission_witness	decision	all_shared_atom_conflicts	merged_prefix_conflicts
IT2a	M	f16r|f16r.4-f16r.4	0	f24r|f24r.20-f24r.20	0	ATOM_VALUE_CONFLICT	L:d!=sam;S:ea!=cho;OA:lod!=rly	
IT2a	M	f16r|f16r.4-f16r.4	0	f27r|f27r.13-f27r.13	0	ATOM_VALUE_CONFLICT	L:d!=okc;S:ea!=hod;OA:lod!=eey	
IT2a	M	f16r|f16r.4-f16r.4	0	f42r|f42r.6-f42r.6	32	ATOM_VALUE_CONFLICT	L:d!=dor;S:ea!=c;OA:lod!=har;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	0	f42r|f42r.6-f42r.6	33	ATOM_VALUE_CONFLICT	L:d!=dor;S:ea!=ch;OA:lod!=ar;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	0	f42r|f42r.6-f42r.6	34	ATOM_VALUE_CONFLICT	L:d!=dor;S:ea!=cha;OA:lod!=r;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	1	f24r|f24r.20-f24r.20	0	ATOM_VALUE_CONFLICT	L:d!=sam;S:eal!=cho;OA:od!=rly	
IT2a	M	f16r|f16r.4-f16r.4	1	f27r|f27r.13-f27r.13	0	ATOM_VALUE_CONFLICT	L:d!=okc;S:eal!=hod;OA:od!=eey	
IT2a	M	f16r|f16r.4-f16r.4	1	f42r|f42r.6-f42r.6	32	ATOM_VALUE_CONFLICT	L:d!=dor;S:eal!=c;OA:od!=har;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	1	f42r|f42r.6-f42r.6	33	ATOM_VALUE_CONFLICT	L:d!=dor;S:eal!=ch;OA:od!=ar;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	1	f42r|f42r.6-f42r.6	34	ATOM_VALUE_CONFLICT	L:d!=dor;S:eal!=cha;OA:od!=r;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	2	f24r|f24r.20-f24r.20	0	ATOM_VALUE_CONFLICT	L:d!=sam;S:hea!=cho;OA:lod!=rly	
IT2a	M	f16r|f16r.4-f16r.4	2	f27r|f27r.13-f27r.13	0	ATOM_VALUE_CONFLICT	L:d!=okc;S:hea!=hod;OA:lod!=eey	
IT2a	M	f16r|f16r.4-f16r.4	2	f42r|f42r.6-f42r.6	32	ATOM_VALUE_CONFLICT	L:d!=dor;S:hea!=c;OA:lod!=har;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	2	f42r|f42r.6-f42r.6	33	ATOM_VALUE_CONFLICT	L:d!=dor;S:hea!=ch;OA:lod!=ar;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	2	f42r|f42r.6-f42r.6	34	ATOM_VALUE_CONFLICT	L:d!=dor;S:hea!=cha;OA:lod!=r;OB:ai!=ain	
IT2a	M	f16r|f16r.4-f16r.4	3	f24r|f24r.20-f24r.20	0	ATOM_VALUE_CONFLICT	L:d!=sam;S:ea!=cho;OA:lod!=rly	
IT2a	M	f16r|f16r.4-f16r.4	3	f27r|f27r.13-f27r.13	0	ATOM_VALUE_CONFLICT	L:d!=okc;S:ea!=hod;OA:lod!=eey	
IT2a	M	f16r|f16r.4-f16r.4	3	f42r|f42r.6-f42r.6	32	ATOM_VALUE_CONFLICT	L:d!=dor;S:ea!=c;OA:lod!=har	
IT2a	M	f16r|f16r.4-f16r.4	3	f42r|f42r.6-f42r.6	33	ATOM_VALUE_CONFLICT	L:d!=dor;S:ea!=ch;OA:lod!=ar	
IT2a	M	f16r|f16r.4-f16r.4	3	f42r|f42r.6-f42r.6	34	ATOM_VALUE_CONFLICT	L:d!=dor;S:ea!=cha;OA:lod!=r	
IT2a	M	f16r|f16r.4-f16r.4	4	f24r|f24r.20-f24r.20	0	ATOM_VALUE_CONFLICT	L:d!=sam;S:hea!=cho;OA:lod!=rly	
IT2a	M	f16r|f16r.4-f16r.4	4	f27r|f27r.13-f27r.13	0	ATOM_VALUE_CONFLICT	L:d!=okc;S:hea!=hod;OA:lod!=eey	
IT2a	M	f16r|f16r.4-f16r.4	4	f42r|f42r.6-f42r.6	32	ATOM_VALUE_CONFLICT	L:d!=dor;S:hea!=c;OA:lod!=har	
