reading	paragraph	leaf	model	groups	characters	status	reasons	nodes	witnesses
ZL3b	f100r|f100r.12-f100r.15	100	M	35	231	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f100r|f100r.12-f100r.15	100	D	35	231	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f100r|f100r.22-f100r.27	100	M	56	307	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f100r|f100r.22-f100r.27	100	D	56	307	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f100v|f100v.14-f100v.22	100	M	79	421	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f100v|f100v.14-f100v.22	100	D	79	421	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102r1|f102r1.3-f102r1.6	102	M	28	179	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102r1|f102r1.3-f102r1.6	102	D	28	179	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102r1|f102r1.8-f102r1.11	102	M	32	189	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102r1|f102r1.8-f102r1.11	102	D	32	189	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102r1|f102r1.13-f102r1.17	102	M	43	214	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102r1|f102r1.13-f102r1.17	102	D	43	214	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102v1|f102v1.7-f102v1.14	102	M	73	374	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102v1|f102v1.7-f102v1.14	102	D	73	374	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102v1|f102v1.19-f102v1.24	102	M	45	267	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102v1|f102v1.19-f102v1.24	102	D	45	267	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102v2|f102v2.17-f102v2.23	102	M	75	319	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102v2|f102v2.17-f102v2.23	102	D	75	319	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102v2|f102v2.30-f102v2.39	102	M	93	462	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
ZL3b	f102v2|f102v2.30-f102v2.39	102	D	93	462	SOURCE_UNKNOWN	source_not_fully_literal_with_certain_inner_boundaries	0	0
