scope_event_id	source_event_id	bundle_id	physical_page	register	locus	surface	working_recipe	literal_working_reading_de	ol_occurrence_count	scope_orientation_sequence	name_position_sequence	directional_scope_phrase_sequence_de	context_selected_model	context_selected_event_reading_de	direction_refined_event_reading_de	root_meaning_change	learned_name_change
G477-E001	P1003-E0598	G474-B004	f71v	CELESTIAL	f71v.4	okolar	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	1	BRIDGE_LEFT_TO_RIGHT	NAME_FREE	Setzen in Ausgang weiterführen	INSTRUCTION	Weiter setze den Eintrag von der Ausgangsposition.	Weiter setze den Eintrag von der Ausgangsposition. OL-Scope: Setzen in Ausgang weiterführen.	NO	NO
G477-E002	P1003-E0646	G474-B016	f71v	CELESTIAL	f71v.17	sholshdy	SH+OL+SH	HALTEN · FORTSETZEN · HALTEN · [STERNSTELLENNAME:dy]	1	BRIDGE_LEFT_TO_RIGHT	PRE_NAME	Halten in Halten weiterführen	INSTRUCTION	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«.	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«. OL-Scope: Halten in Halten weiterführen.	NO	NO
G477-E003	P1008-E0142	G474-B026	f72r	CELESTIAL	f72r1.11	ochol	O+OL	AUSFÜHRUNG · FORTSETZEN	1	BACKWARD_HOLD	NAME_FREE	Ausführung weiterführen	INSTRUCTION	Weiter beziehe den Eintrag, als Ausführung.	Weiter beziehe den Eintrag, als Ausführung. OL-Scope: Ausführung weiterführen.	NO	NO
G477-E004	P1008-E0252	G474-B051	f72r	CELESTIAL	f72r2.21	otolam	OT+OL+AM_ADDR	DANACH · FORTSETZEN · HIER	1	BRIDGE_LEFT_TO_RIGHT	NAME_FREE	Folgeschritt in bezeichnete Stelle weiterführen	COORDINATE	Adressspur: danach → weiter → hier.	Adressspur: danach → weiter → hier. OL-Scope: Folgeschritt in bezeichnete Stelle weiterführen.	NO	NO
G477-E005	P1008-E0350	G474-B061	f72r	CELESTIAL	f72r3.2	olkalaiin	OL+AL+AIIN	FORTSETZEN · [STERNSTELLENNAME:k] · ZIELORT · WERT	1	FORWARD_OPEN	PRE_NAME	weiter mit Sternstelle »k«	INSTRUCTION	Weiter beziehe den Sternstelleneintrag »k« und den Positionswert zur Zielposition.	Weiter beziehe den Sternstelleneintrag »k« und den Positionswert zur Zielposition. OL-Scope: weiter mit Sternstelle »k«.	NO	NO
G477-E006	P1008-E0351	G474-B062	f72r	CELESTIAL	f72r3.3	olalsy	OL+AL+Y	FORTSETZEN · ZIELORT · POSTEN	1	FORWARD_OPEN	NAME_FREE	weiter mit Zielort	COORDINATE	Adressspur: weiter → Zielposition → Positionsposten.	Adressspur: weiter → Zielposition → Positionsposten. OL-Scope: weiter mit Zielort.	NO	NO
G477-E007	P1008-E0364	G474-B070	f72r	CELESTIAL	f72r3.11	ofsholdy	O+LOCAL_CHAR_F+SH+OL	AUSFÜHRUNG · HIER · HALTEN · FORTSETZEN · [STERNSTELLENNAME:dy]	1	BRIDGE_LEFT_TO_RIGHT	PRE_NAME	Halten in Sternstelle »dy« weiterführen	INSTRUCTION	Weiter halte den Sternstelleneintrag »dy«, als Ausführung an der bezeichneten Stelle.	Weiter halte den Sternstelleneintrag »dy«, als Ausführung an der bezeichneten Stelle. OL-Scope: Halten in Sternstelle »dy« weiterführen.	NO	NO
G477-E008	P1008-E0367	G474-B072	f72r	CELESTIAL	f72r3.13	ykolairol	OL+AIR+OL	[STERNSTELLENNAME:yk] · FORTSETZEN · BAHN · FORTSETZEN	2	BRIDGE_LEFT_TO_RIGHT|BACKWARD_HOLD	POST_NAME|POST_NAME	Sternstelle »yk« in Bahn weiterführen | Bahn weiterführen	INSTRUCTION	Weiter und weiter beziehe den Sternstelleneintrag »yk« entlang der Ringbahn.	Weiter und weiter beziehe den Sternstelleneintrag »yk« entlang der Ringbahn. OL-Scope: Sternstelle »yk« in Bahn weiterführen; Bahn weiterführen.	NO	NO
G477-E009	P1008-E0422	G474-B082	f72r	CELESTIAL	f72r3.24	olaiin	OL+AIIN	FORTSETZEN · WERT	1	FORWARD_OPEN	NAME_FREE	weiter mit Wert	CATALOGUE	Eintrag »olaiin« — Fortsetzungsvermerk, Wertangabe.	Eintrag »olaiin« — Fortsetzungsvermerk, Wertangabe. OL-Scope: weiter mit Wert.	NO	NO
G477-E010	P1008-E0423	G474-B082	f72r	CELESTIAL	f72r3.24	olay	OL	FORTSETZEN · [STERNSTELLENNAME:ay]	1	FORWARD_OPEN	PRE_NAME	weiter mit Sternstelle »ay«	CATALOGUE	Sternstelle »ay« — Fortsetzungsvermerk.	Sternstelle »ay« — Fortsetzungsvermerk. OL-Scope: weiter mit Sternstelle »ay«.	NO	NO
