carrier_id	frame_id	frozen_frame	frame_working_meaning_de	r_recipe	global_running_event_id	global_statement_id	card_ordinal_in_statement	physical_page	register	owner_class	owner_de	surface	template	imperative_clause_de	owner_local_atom_reading_de	portable_back_projection_de	roundtrip_exact	exact_gdt428_r_carrier	phrase_observed_not_invented
G491-C01	G491-F01	@ACTION	MARKIEREN	R	G407-E0110	G407-S005	39	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_C	r	ACTION_ONLY	Kennzeichne den laufenden Eintrag [wie zuvor].	KENNZEICHNEN	MARKIEREN	YES	YES	YES
G491-C02	G491-F01	@ACTION	MARKIEREN	R	G407-E0644	G407-S032	4	f24v	HERBAL	GANZPFLANZE	F24V_WHOLE_PLANT	r	ACTION_ONLY	Markiere die Arbeitseinheit [wie zuvor].	TEIL MARKIEREN	MARKIEREN	YES	YES	YES
G491-C03	G491-F01	@ACTION	MARKIEREN	R	G407-E0860	G407-S040	13	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	r	ACTION_ONLY	Markiere den Pflanzenposten [wie zuvor].	TEIL MARKIEREN	MARKIEREN	YES	YES	YES
G491-C04	G491-F01	@ACTION	MARKIEREN	R	G407-E0886	G407-S040	39	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	r	ACTION_ONLY	Markiere den Pflanzenposten [wie zuvor].	TEIL MARKIEREN	MARKIEREN	YES	YES	YES
G491-C05	G491-F01	@ACTION	MARKIEREN	R	G407-E0938	G407-S043	11	f67r2	CELESTIAL	HIMMELSRAD_UND_TABELLE	zwei getrennte Himmelsräder und Tabelle	r	ACTION_ONLY	Markiere die Positionseinheit [wie zuvor].	POSITION MARKIEREN	MARKIEREN	YES	YES	YES
G491-C06	G491-F01	@ACTION	MARKIEREN	R	G407-E1249	G407-S067	31	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe D	r	ACTION_ONLY	Markiere den Positionsposten [wie zuvor].	POSITION MARKIEREN	MARKIEREN	YES	YES	YES
G491-C07	G491-F01	@ACTION	MARKIEREN	R	G407-E1463	G407-S086	5	f75r	BIOLOGICAL	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	r	ACTION_ONLY	Markiere den Stationsposten [wie zuvor].	STATION MARKIEREN	MARKIEREN	YES	YES	YES
G491-C08	G491-F01	@ACTION	MARKIEREN	R	G407-E1527	G407-S101	7	f75r	BIOLOGICAL	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	r	ACTION_ONLY	Markiere den Stationsposten [wie zuvor].	STATION MARKIEREN	MARKIEREN	YES	YES	YES
G491-C09	G491-F01	@ACTION	MARKIEREN	R	G407-E1912	G407-S210	3	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A2	r	ACTION_ONLY	Markiere den Stationsposten [wie zuvor].	STATION MARKIEREN	MARKIEREN	YES	YES	YES
G491-C10	G491-F01	@ACTION	MARKIEREN	R	G407-E2127	G407-S254	2	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A8	r	ACTION_ONLY	Markiere.	STATION MARKIEREN	MARKIEREN	YES	YES	YES
G491-C11	G491-F01	@ACTION	MARKIEREN	R	G407-E2152	G407-S259	5	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A8	r	ACTION_ONLY	Markiere den Stationsposten [wie zuvor].	STATION MARKIEREN	MARKIEREN	YES	YES	YES
