contrast_id	frozen_frame	t_recipe	r_recipe	t_working_meaning_de	r_working_meaning_de	portable_remainder_meaning_de	t_atlas_default_phrase_de	r_atlas_default_phrase_de	t_selected_observed_phrase_de	r_selected_observed_phrase_de	t_selected_phrase_carrier_count	r_selected_phrase_carrier_count	t_selected_pages	r_selected_pages	action_neutral_t_clause_de	action_neutral_r_clause_de	german_sentence_remainder_match	contrast_status	pair_selection_rule	t_selected_is_atlas_default	r_selected_is_atlas_default	unchanged_formal_frame	both_phrases_observed_not_invented
G491-TR01	@ACTION	T	R	EINSTELLEN	MARKIEREN	LEERER FORMALER REST	Stelle den Pflanzenposten [wie zuvor] ein.	Markiere den Stationsposten [wie zuvor].	Stelle den Pflanzenposten [wie zuvor] ein.	Markiere den Pflanzenposten [wie zuvor].	1	2	f56r	f56r	@ACTION den Pflanzenposten [wie zuvor].	@ACTION den Pflanzenposten [wie zuvor].	YES	RESTGLEICH	MAX_SUPPORT_PRODUCT_THEN_TOTAL_THEN_SHORTEST_AMONG_EXACT_ACTION_NEUTRAL_MATCHES	YES	NO	YES	YES
G491-TR02	@ACTION+AIIN	T+AIIN	R+AIIN	EINSTELLEN · WERT	MARKIEREN · WERT	WERT	Stelle den Arbeitswert ein.	Markiere den Stationswert.	Stelle den Stationswert ein.	Markiere den Stationswert.	2	7	f81r|f82r	f76r|f77r|f82r	@ACTION den Stationswert.	@ACTION den Stationswert.	YES	RESTGLEICH	MAX_SUPPORT_PRODUCT_THEN_TOTAL_THEN_SHORTEST_AMONG_EXACT_ACTION_NEUTRAL_MATCHES	NO	YES	YES	YES
G491-TR03	@ACTION+AIN	T+AIN	R+AIN	EINSTELLEN · ANTEIL	MARKIEREN · ANTEIL	ANTEIL	Stelle den Drogenanteil ein.	Markiere den Stationsanteil.	Stelle den Stationsanteil ein.	Markiere den Stationsanteil.	1	3	f77r	f76r|f81r|f82r	@ACTION den Stationsanteil.	@ACTION den Stationsanteil.	YES	RESTGLEICH	MAX_SUPPORT_PRODUCT_THEN_TOTAL_THEN_SHORTEST_AMONG_EXACT_ACTION_NEUTRAL_MATCHES	NO	YES	YES	YES
G491-TR04	@ACTION+AL	T+AL	R+AL	EINSTELLEN · ZIELORT	MARKIEREN · ZIELORT	ZIELORT	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	2	1	f77r|f83r	f81v	@ACTION den Stationsposten [wie zuvor]; zur Zielstation.	@ACTION den Stationsposten [wie zuvor]; zur Zielstation.	YES	RESTGLEICH	MAX_SUPPORT_PRODUCT_THEN_TOTAL_THEN_SHORTEST_AMONG_EXACT_ACTION_NEUTRAL_MATCHES	YES	NO	YES	YES
G491-TR05	@ACTION+AL+Y	T+AL+Y	R+AL+Y	EINSTELLEN · ZIELORT · POSTEN	MARKIEREN · ZIELORT · POSTEN	ZIELORT · POSTEN	Stelle den Positionsposten ein; zur Zielposition.	Markiere den Stationsposten; zur Zielstation.	Stelle den Positionsposten ein; zur Zielposition.	Markiere den Stationsposten; zur Zielstation.	1	1	f72r	f83r	@ACTION den Positionsposten; zur Zielposition.	@ACTION den Stationsposten; zur Zielstation.	NO	OWNER-VARIANTE	INDEPENDENT_OBSERVED_DEFAULTS_WHEN_NO_EXACT_ACTION_NEUTRAL_MATCH_EXISTS	YES	YES	YES	YES
G491-TR06	@ACTION+CH+E+Y	T+CH+E+Y	R+CH+E+Y	EINSTELLEN · NEHMEN · GRAD I · POSTEN	MARKIEREN · NEHMEN · GRAD I · POSTEN	NEHMEN · GRAD I · POSTEN	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	1	1	f1r	f82r	@ACTION den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I.	@ACTION den Stationsposten und entnimm den Stationsposten; auf Grad I.	NO	OWNER-VARIANTE	INDEPENDENT_OBSERVED_DEFAULTS_WHEN_NO_EXACT_ACTION_NEUTRAL_MATCH_EXISTS	YES	YES	YES	YES
G491-TR07	@ACTION+CHD+Y	T+CHD+Y	R+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	MARKIEREN · BEARBEITEN · POSTEN	BEARBEITEN · POSTEN	Stelle den Stationsposten ein und bearbeite den Stationsposten.	Markiere den Stationsposten und bearbeite den Stationsposten.	Stelle den Stationsposten ein und bearbeite den Stationsposten.	Markiere den Stationsposten und bearbeite den Stationsposten.	4	2	f75r|f83r	f82r|f83r	@ACTION den Stationsposten und bearbeite den Stationsposten.	@ACTION den Stationsposten und bearbeite den Stationsposten.	YES	RESTGLEICH	MAX_SUPPORT_PRODUCT_THEN_TOTAL_THEN_SHORTEST_AMONG_EXACT_ACTION_NEUTRAL_MATCHES	YES	YES	YES	YES
G491-TR08	@ACTION+OL	T+OL	R+OL	EINSTELLEN · FORTSETZEN	MARKIEREN · FORTSETZEN	FORTSETZEN	Weiter stelle den Pflanzenposten [wie zuvor] ein.	Weiter markiere den Stationsposten [wie zuvor].	Weiter stelle den Stationsposten [wie zuvor] ein.	Weiter markiere den Stationsposten [wie zuvor].	1	3	f83r	f75r|f76r|f81v	Weiter @ACTION den Stationsposten [wie zuvor].	Weiter @ACTION den Stationsposten [wie zuvor].	YES	RESTGLEICH	MAX_SUPPORT_PRODUCT_THEN_TOTAL_THEN_SHORTEST_AMONG_EXACT_ACTION_NEUTRAL_MATCHES	NO	YES	YES	YES
G491-TR09	@ACTION+OR+Y	T+OR+Y	R+OR+Y	EINSTELLEN · EINHEIT · POSTEN	MARKIEREN · EINHEIT · POSTEN	EINHEIT · POSTEN	Stelle die Arbeitseinheit und den Pflanzenposten ein.	Markiere die Stationseinheit und den Stationsposten.	Stelle die Arbeitseinheit und den Pflanzenposten ein.	Markiere die Stationseinheit und den Stationsposten.	1	1	f13r	f76r	@ACTION die Arbeitseinheit und den Pflanzenposten.	@ACTION die Stationseinheit und den Stationsposten.	NO	OWNER-VARIANTE	INDEPENDENT_OBSERVED_DEFAULTS_WHEN_NO_EXACT_ACTION_NEUTRAL_MATCH_EXISTS	YES	YES	YES	YES
G491-TR10	@ACTION+Y	T+Y	R+Y	EINSTELLEN · POSTEN	MARKIEREN · POSTEN	POSTEN	Stelle den Pflanzenposten ein.	Markiere den Stationsposten.	Stelle den Stationsposten ein.	Markiere den Stationsposten.	1	2	f83r	f75r|f82r	@ACTION den Stationsposten.	@ACTION den Stationsposten.	YES	RESTGLEICH	MAX_SUPPORT_PRODUCT_THEN_TOTAL_THEN_SHORTEST_AMONG_EXACT_ACTION_NEUTRAL_MATCHES	NO	YES	YES	YES
