phrasebook_id	frozen_frame	r_recipe	frame_working_meaning_de	default_observed_phrase_de	default_phrase_carrier_count	alternative_observed_phrase_count	alternative_observed_phrases_de	source_pages	source_registers	phrase_observed_not_invented
G491-D01	@ACTION	R	MARKIEREN	Markiere den Stationsposten [wie zuvor].	11	8	Kennzeichne den laufenden Eintrag [wie zuvor]. || Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor]. || Markiere den Pflanzenposten [wie zuvor]. || Markiere den Positionsposten [wie zuvor]. || Markiere die Arbeitseinheit [wie zuvor]. || Markiere die Positionseinheit [wie zuvor]. || Markiere.	f1r|f24v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	YES
G491-D02	@ACTION+AIIN	R+AIIN	MARKIEREN · WERT	Markiere den Stationswert.	7	1	Markiere den Arbeitswert.	f76r|f77r|f82r|f95v	BIOLOGICAL|HERBAL	YES
G491-D03	@ACTION+AIN	R+AIN	MARKIEREN · ANTEIL	Markiere den Stationsanteil.	3	0	NONE	f76r|f81r|f82r	BIOLOGICAL	YES
G491-D04	@ACTION+AL	R+AL	MARKIEREN · ZIELORT	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	1	1	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	f81v|f88r	BIOLOGICAL|PHARMA	YES
G491-D05	@ACTION+AL+Y	R+AL+Y	MARKIEREN · ZIELORT · POSTEN	Markiere den Stationsposten; zur Zielstation.	1	0	NONE	f83r	BIOLOGICAL	YES
G491-D06	@ACTION+CH+E+Y	R+CH+E+Y	MARKIEREN · NEHMEN · GRAD I · POSTEN	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	1	0	NONE	f82r	BIOLOGICAL	YES
G491-D07	@ACTION+CHD+Y	R+CHD+Y	MARKIEREN · BEARBEITEN · POSTEN	Markiere den Stationsposten und bearbeite den Stationsposten.	2	0	NONE	f82r|f83r	BIOLOGICAL	YES
G491-D08	@ACTION+OL	R+OL	MARKIEREN · FORTSETZEN	Weiter markiere den Stationsposten [wie zuvor].	3	1	Weiter markiere den Stationsanteil [wie zuvor].	f75r|f76r|f81v	BIOLOGICAL	YES
G491-D09	@ACTION+OR+Y	R+OR+Y	MARKIEREN · EINHEIT · POSTEN	Markiere die Stationseinheit und den Stationsposten.	1	0	NONE	f76r	BIOLOGICAL	YES
G491-D10	@ACTION+Y	R+Y	MARKIEREN · POSTEN	Markiere den Stationsposten.	2	0	NONE	f75r|f82r	BIOLOGICAL	YES
G491-D11	CH+@ACTION	CH+R	NEHMEN · MARKIEREN	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	1	0	NONE	f77r	BIOLOGICAL	YES
