cell_id	frame_id	frozen_frame	r_recipe	frame_working_meaning_de	carrier_count	page_count	pages	register_count	registers	owner_class_count	owner_classes	observed_clause_form_count	observed_clause_forms_de	default_observed_phrase_de	default_phrase_carrier_count	default_selection_rule	default_phrase_observed_not_invented	all_carriers_roundtrip_exact
G491-PC01	G491-F01	@ACTION	R	MARKIEREN	21	13	f1r|f24v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	9	BAD_ODER_BECKENFELD|GANZPFLANZE|GEFÄSS_UND_ZUTATGRUPPE|HIMMELSRAD_UND_TABELLE|KOPFSTADIEN_UND_GANZPFLANZE|LOKALE_STATIONSGRUPPE|TEXTBLOCK|TEXTBLOCK_MIT_SEITENBESITZER|TIERKREISRING	9	Kennzeichne den laufenden Eintrag [wie zuvor]. || Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor]. || Markiere den Pflanzenposten [wie zuvor]. || Markiere den Positionsposten [wie zuvor]. || Markiere den Stationsposten [wie zuvor]. || Markiere die Arbeitseinheit [wie zuvor]. || Markiere die Positionseinheit [wie zuvor]. || Markiere.	Markiere den Stationsposten [wie zuvor].	11	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC02	G491-F02	@ACTION+AIIN	R+AIIN	MARKIEREN · WERT	8	4	f76r|f77r|f82r|f95v	2	BIOLOGICAL|HERBAL	4	BAD_ODER_BECKENFELD|GANZPFLANZE|LOKALE_STATIONSGRUPPE|TEXTBLOCK_MIT_SEITENBESITZER	2	Markiere den Arbeitswert. || Markiere den Stationswert.	Markiere den Stationswert.	7	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC03	G491-F03	@ACTION+AIN	R+AIN	MARKIEREN · ANTEIL	3	3	f76r|f81r|f82r	1	BIOLOGICAL	2	BAD_ODER_BECKENFELD|TEXTBLOCK_MIT_SEITENBESITZER	1	Markiere den Stationsanteil.	Markiere den Stationsanteil.	3	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC04	G491-F04	@ACTION+AL	R+AL	MARKIEREN · ZIELORT	2	2	f81v|f88r	2	BIOLOGICAL|PHARMA	2	BAD_ODER_BECKENFELD|DROGEN_UND_GEFÄSSPOSTEN	2	Markiere den Stationsposten [wie zuvor]; zur Zielstation. || Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC05	G491-F05	@ACTION+AL+Y	R+AL+Y	MARKIEREN · ZIELORT · POSTEN	1	1	f83r	1	BIOLOGICAL	1	LOKALE_STATIONSGRUPPE	1	Markiere den Stationsposten; zur Zielstation.	Markiere den Stationsposten; zur Zielstation.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC06	G491-F06	@ACTION+CH+E+Y	R+CH+E+Y	MARKIEREN · NEHMEN · GRAD I · POSTEN	1	1	f82r	1	BIOLOGICAL	1	BAD_ODER_BECKENFELD	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC07	G491-F07	@ACTION+CHD+Y	R+CHD+Y	MARKIEREN · BEARBEITEN · POSTEN	2	2	f82r|f83r	1	BIOLOGICAL	2	BAD_ODER_BECKENFELD|LOKALE_STATIONSGRUPPE	1	Markiere den Stationsposten und bearbeite den Stationsposten.	Markiere den Stationsposten und bearbeite den Stationsposten.	2	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC08	G491-F08	@ACTION+OL	R+OL	MARKIEREN · FORTSETZEN	4	3	f75r|f76r|f81v	1	BIOLOGICAL	2	BAD_ODER_BECKENFELD|TEXTBLOCK_MIT_SEITENBESITZER	2	Weiter markiere den Stationsanteil [wie zuvor]. || Weiter markiere den Stationsposten [wie zuvor].	Weiter markiere den Stationsposten [wie zuvor].	3	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC09	G491-F09	@ACTION+OR+Y	R+OR+Y	MARKIEREN · EINHEIT · POSTEN	1	1	f76r	1	BIOLOGICAL	1	TEXTBLOCK_MIT_SEITENBESITZER	1	Markiere die Stationseinheit und den Stationsposten.	Markiere die Stationseinheit und den Stationsposten.	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC10	G491-F10	@ACTION+Y	R+Y	MARKIEREN · POSTEN	2	2	f75r|f82r	1	BIOLOGICAL	1	BAD_ODER_BECKENFELD	1	Markiere den Stationsposten.	Markiere den Stationsposten.	2	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
G491-PC11	G491-F11	CH+@ACTION	CH+R	NEHMEN · MARKIEREN	1	1	f77r	1	BIOLOGICAL	1	LOKALE_STATIONSGRUPPE	1	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	1	MOST_CARRIERS_THEN_SHORTEST_THEN_LEXICAL	YES	YES
