form_id	frame_id	frozen_frame	frame_working_meaning_de	observed_clause_de	action_neutral_clause_de	carrier_count	event_ids	page_count	pages	register_count	registers	owner_class_count	owner_classes	surfaces	templates	all_roundtrip_exact	observed_not_invented
G491-P01	G491-F01	@ACTION	MARKIEREN	Kennzeichne den laufenden Eintrag [wie zuvor].	@ACTION den laufenden Eintrag [wie zuvor].	1	G407-E0110	1	f1r	1	SOURCE_SECTION_T	1	TEXTBLOCK	r	ACTION_ONLY	YES	YES
G491-P02	G491-F01	@ACTION	MARKIEREN	Markiere den Drogenposten [wie zuvor].	@ACTION den Drogenposten [wie zuvor].	2	G407-E4030|G407-E4172	2	f88v|f89r	1	PHARMA	1	GEFÄSS_UND_ZUTATGRUPPE	r	ACTION_ONLY	YES	YES
G491-P03	G491-F01	@ACTION	MARKIEREN	Markiere den Mengenwert [wie zuvor].	@ACTION den Mengenwert [wie zuvor].	1	G407-E4386	1	f89r	1	PHARMA	1	GEFÄSS_UND_ZUTATGRUPPE	r	ACTION_ONLY	YES	YES
G491-P04	G491-F01	@ACTION	MARKIEREN	Markiere den Pflanzenposten [wie zuvor].	@ACTION den Pflanzenposten [wie zuvor].	2	G407-E0860|G407-E0886	1	f56r	1	HERBAL	1	KOPFSTADIEN_UND_GANZPFLANZE	r	ACTION_ONLY	YES	YES
G491-P05	G491-F01	@ACTION	MARKIEREN	Markiere den Positionsposten [wie zuvor].	@ACTION den Positionsposten [wie zuvor].	1	G407-E1249	1	f72r	1	CELESTIAL	1	TIERKREISRING	r	ACTION_ONLY	YES	YES
G491-P06	G491-F01	@ACTION	MARKIEREN	Markiere den Stationsposten [wie zuvor].	@ACTION den Stationsposten [wie zuvor].	11	G407-E1463|G407-E1527|G407-E1912|G407-E2152|G407-E2513|G407-E2656|G407-E3063|G407-E3237|G407-E3273|G407-E3296|G407-E3532	6	f75r|f76r|f77r|f81v|f82r|f83r	1	BIOLOGICAL	3	BAD_ODER_BECKENFELD|LOKALE_STATIONSGRUPPE|TEXTBLOCK_MIT_SEITENBESITZER	r	ACTION_ONLY	YES	YES
G491-P07	G491-F01	@ACTION	MARKIEREN	Markiere die Arbeitseinheit [wie zuvor].	@ACTION die Arbeitseinheit [wie zuvor].	1	G407-E0644	1	f24v	1	HERBAL	1	GANZPFLANZE	r	ACTION_ONLY	YES	YES
G491-P08	G491-F01	@ACTION	MARKIEREN	Markiere die Positionseinheit [wie zuvor].	@ACTION die Positionseinheit [wie zuvor].	1	G407-E0938	1	f67r2	1	CELESTIAL	1	HIMMELSRAD_UND_TABELLE	r	ACTION_ONLY	YES	YES
G491-P09	G491-F01	@ACTION	MARKIEREN	Markiere.	@ACTION.	1	G407-E2127	1	f76r	1	BIOLOGICAL	1	TEXTBLOCK_MIT_SEITENBESITZER	r	ACTION_ONLY	YES	YES
G491-P10	G491-F02	@ACTION+AIIN	MARKIEREN · WERT	Markiere den Arbeitswert.	@ACTION den Arbeitswert.	1	G407-E4540	1	f95v	1	HERBAL	1	GANZPFLANZE	raiin	ACTION_ARGUMENT	YES	YES
G491-P11	G491-F02	@ACTION+AIIN	MARKIEREN · WERT	Markiere den Stationswert.	@ACTION den Stationswert.	7	G407-E2340|G407-E2603|G407-E2676|G407-E2694|G407-E3370|G407-E3374|G407-E3423	3	f76r|f77r|f82r	1	BIOLOGICAL	3	BAD_ODER_BECKENFELD|LOKALE_STATIONSGRUPPE|TEXTBLOCK_MIT_SEITENBESITZER	raiin	ACTION_ARGUMENT	YES	YES
G491-P12	G491-F03	@ACTION+AIN	MARKIEREN · ANTEIL	Markiere den Stationsanteil.	@ACTION den Stationsanteil.	3	G407-E2137|G407-E2837|G407-E3448	3	f76r|f81r|f82r	1	BIOLOGICAL	2	BAD_ODER_BECKENFELD|TEXTBLOCK_MIT_SEITENBESITZER	rain	ACTION_ARGUMENT	YES	YES
G491-P13	G491-F04	@ACTION+AL	MARKIEREN · ZIELORT	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	@ACTION den Stationsposten [wie zuvor]; zur Zielstation.	1	G407-E3084	1	f81v	1	BIOLOGICAL	1	BAD_ODER_BECKENFELD	ral	ACTION_RELATION	YES	YES
