reset_id	reset_kind	record	statement_id	from_owner	to_owner	visible_connection	global_flow_claim
BR01	BETWEEN_STATEMENTS	B2	B2-S007	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO_ASSUMED_CONNECTION	NONE
BR02	BETWEEN_STATEMENTS	B2	B2-S011	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	NO_ASSUMED_CONNECTION	NONE
BR03	INSIDE_STATEMENT	B2	B2-S012	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2_LOWER_GREEN_MULTI_FIGURE_POOL	EXPLICIT_RESET__NO_ASSUMED_CONNECTION	NONE
BR04	BETWEEN_STATEMENTS	B2	B2-S015	B2_LOWER_GREEN_MULTI_FIGURE_POOL	B2_LOWER_POOL_EDGE_STATIONS	NO_ASSUMED_CONNECTION	NONE
BR05	BETWEEN_STATEMENTS	B3	B3-S005	B3_UPPER_MARGIN_OPEN_FAN_STATION	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO_ASSUMED_CONNECTION	NONE
BR06	BETWEEN_STATEMENTS	B3	B3-S010	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO_ASSUMED_CONNECTION	NONE
BR07	INSIDE_STATEMENT	B3	B3-S016	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	EXPLICIT_RESET__NO_ASSUMED_CONNECTION	NONE
BR08	INSIDE_STATEMENT	B3	B3-S026	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_MAIN_ARCH_LINKED_PAIR	EXPLICIT_RESET__NO_ASSUMED_CONNECTION	NONE
BR09	BETWEEN_STATEMENTS	B4	B4-S011	B4_MAIN_ARCH_LINKED_PAIR	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO_ASSUMED_CONNECTION	NONE
BR10	INSIDE_STATEMENT	B4	B4-S015	B4_MAIN_LEFT_OPEN_FRINGE_STATION	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	EXPLICIT_RESET__NO_ASSUMED_CONNECTION	NONE
