event_id	page	record	statement_id	locus	owner_sequence	card_no	surface	component_recipe	atomic_reading_de	station_clause_de	global_flow_claim	surface_owner_boundary_unchanged
E101	f81v	B1	B1-S001	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	[Station B1_SHARED_TWO_ROW_POOL] Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	NONE	YES
E102	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC038	okaiin	OK+AIIN	ANSETZEN · MASS	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E103	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC068	kair	K+AIR	ZUGEBEN · WASSER	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E104	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC048	okal	OK+AL	ANSETZEN · ZIEL	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E105	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC003	sar	AR	QUELLE	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E106	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC013	ol	OL	FORTSETZEN	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E107	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC069	kain	K+AIN	ZUGEBEN · PORTION	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E108	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC070	olkain	OL+K+AIN	FORTSETZEN · ZUGEBEN · PORTION	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E109	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC055	al	AL	ZIEL	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E110	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC013	ol	OL	FORTSETZEN	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E111	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC071	rol	R+OL	KUEHLEN · FORTSETZEN	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E112	f81v	B1	B1-S002	f81v.2	B1_SHARED_TWO_ROW_POOL	PROC072	dl	L	WEITERLEITEN	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E113	f81v	B1	B1-S002	f81v.7	B1_SHARED_TWO_ROW_POOL	PROC022	olor	OL+OR	FORTSETZEN · ANSATZ	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E114	f81v	B1	B1-S002	f81v.7	B1_SHARED_TWO_ROW_POOL	PROC013	ol	OL	FORTSETZEN	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E115	f81v	B1	B1-S002	f81v.7	B1_SHARED_TWO_ROW_POOL	PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E116	f81v	B1	B1-S002	f81v.7	B1_SHARED_TWO_ROW_POOL	PROC009	daiin	AIIN	MASS	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
E117	f81v	B1	B1-S002	f81v.7	B1_SHARED_TWO_ROW_POOL	PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIEL	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und Wasser zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	NONE	YES
