statement_id	record	page	primitive_signature	program_id	program_support	bio_preferred_default	machine_result	state_path	statement_end_state
H1-S001	H1	f10r	SOURCE_DRAW>ACTIVATE_CHARGE>SOURCE_DRAW>ACTIVATE_CHARGE>TARGET_HANDOFF>SOURCE_DRAW>SOURCE_DRAW>CONTINUE_USE>METER_CHECK>ACTIVATE_CHARGE	PG062	1	NO	ACCEPT	START>AFTER_SOURCE>WORK>AFTER_SOURCE>WORK>WORK>AFTER_SOURCE>AFTER_SOURCE>WORK>AFTER_METER>WORK	WORK
H1-S002	H1	f10r	ACTIVATE_CHARGE>SOURCE_DRAW>CONTINUE_USE>HOLD_STATE	PG024	1	NO	ACCEPT	START>WORK>AFTER_SOURCE>WORK>WORK	WORK
H2-S001	H2	f10r	SOURCE_DRAW>HOLD_STATE>ACTIVATE_CHARGE>METER_CHECK>CONTINUE_USE>MOVE_PASS>CONTINUE_USE>METER_CHECK>TARGET_HANDOFF	PG063	1	NO	ACCEPT	START>AFTER_SOURCE>WORK>WORK>AFTER_METER>WORK>WORK>WORK>AFTER_METER>WORK	WORK
H2-S002	H2	f10r	ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>SOURCE_DRAW	PG014	1	NO	ACCEPT	START>WORK>WORK>WORK>WORK>WORK>WORK>AFTER_METER>AFTER_SOURCE	AFTER_SOURCE
H2-S003	H2	f10r	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>SOURCE_DRAW	PG012	1	NO	ACCEPT	START>WORK>WORK>WORK>WORK>AFTER_METER>WORK>AFTER_SOURCE	AFTER_SOURCE
H3-S001	H3	f11r	HOLD_STATE>TARGET_HANDOFF>SOURCE_DRAW>METER_CHECK>MOVE_PASS>HOLD_STATE>SOURCE_DRAW>CLOSE	PG041	1	NO	ACCEPT	START>WORK>WORK>AFTER_SOURCE>AFTER_METER>WORK>WORK>AFTER_SOURCE>CLOSED	CLOSED
H3-S002	H3	f11r	HOLD_STATE	PG032	1	NO	ACCEPT	START>WORK	WORK
H3-S003	H3	f11r	CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK	PG028	1	NO	ACCEPT	START>WORK>WORK>WORK>WORK>AFTER_METER	AFTER_METER
H3-S004	H3	f11r	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CONTINUE_USE	PG015	1	NO	ACCEPT	START>WORK>WORK>WORK>WORK	WORK
H4-S001	H4	f55v	METER_CHECK>METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	PG046	1	NO	ACCEPT	START>AFTER_METER>AFTER_METER>WORK>WORK>WORK>CLOSED	CLOSED
H4-S002	H4	f55v	METER_CHECK>ACTIVATE_CHARGE>CONTINUE_USE	PG042	1	NO	ACCEPT	START>AFTER_METER>WORK>WORK	WORK
H4-S003	H4	f55v	METER_CHECK>SOURCE_DRAW>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	PG049	1	NO	ACCEPT	START>AFTER_METER>AFTER_SOURCE>WORK>WORK>CLOSED	CLOSED
H4-S004	H4	f55v	METER_CHECK>TARGET_HANDOFF>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>ACTIVATE_CHARGE	PG051	1	NO	ACCEPT	START>AFTER_METER>WORK>WORK>WORK>WORK>WORK	WORK
H5-S001	H5	f56r	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF>METER_CHECK>ACTIVATE_CHARGE>MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE>TARGET_HANDOFF	PG018	1	NO	ACCEPT	START>WORK>WORK>WORK>AFTER_METER>WORK>WORK>WORK>WORK>WORK	WORK
H5-S002	H5	f56r	CONTINUE_USE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	PG026	1	NO	ACCEPT	START>WORK>WORK>WORK>WORK>CLOSED	CLOSED
H5-S003	H5	f56r	HOLD_STATE>ACTIVATE_CHARGE>HOLD_STATE>ACTIVATE_CHARGE	PG035	1	NO	ACCEPT	START>WORK>WORK>WORK>WORK	WORK
H5-S004	H5	f56r	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF	PG017	1	NO	ACCEPT	START>WORK>WORK>WORK	WORK
H5-S005	H5	f56r	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE	PG011	1	NO	ACCEPT	START>WORK>WORK>WORK>WORK	WORK
H5-S006	H5	f56r	ACTIVATE_CHARGE>HOLD_STATE>METER_CHECK	PG021	1	NO	ACCEPT	START>WORK>WORK>AFTER_METER	AFTER_METER
