left_primitive	right_primitive	observed_count	observed_status	machine_verdict
ACTIVATE_CHARGE	ACTIVATE_CHARGE	24	ATTESTED	ALLOW
ACTIVATE_CHARGE	SOURCE_DRAW	2	ATTESTED	ALLOW
ACTIVATE_CHARGE	METER_CHECK	5	ATTESTED	ALLOW
ACTIVATE_CHARGE	TARGET_HANDOFF	6	ATTESTED	ALLOW
ACTIVATE_CHARGE	MOVE_PASS	5	ATTESTED	ALLOW
ACTIVATE_CHARGE	HOLD_STATE	15	ATTESTED	ALLOW
ACTIVATE_CHARGE	CONTINUE_USE	14	ATTESTED	ALLOW
ACTIVATE_CHARGE	CLOSE	6	ATTESTED	ALLOW
SOURCE_DRAW	ACTIVATE_CHARGE	4	ATTESTED	ALLOW
SOURCE_DRAW	SOURCE_DRAW	1	ATTESTED	ALLOW
SOURCE_DRAW	METER_CHECK	2	ATTESTED	ALLOW
SOURCE_DRAW	TARGET_HANDOFF	0	UNSEEN	REJECT
SOURCE_DRAW	MOVE_PASS	0	UNSEEN	REJECT
SOURCE_DRAW	HOLD_STATE	4	ATTESTED	ALLOW
SOURCE_DRAW	CONTINUE_USE	3	ATTESTED	ALLOW
SOURCE_DRAW	CLOSE	1	ATTESTED	ALLOW
METER_CHECK	ACTIVATE_CHARGE	6	ATTESTED	ALLOW
METER_CHECK	SOURCE_DRAW	3	ATTESTED	ALLOW
METER_CHECK	METER_CHECK	3	ATTESTED	ALLOW
METER_CHECK	TARGET_HANDOFF	4	ATTESTED	ALLOW
METER_CHECK	MOVE_PASS	8	ATTESTED	ALLOW
METER_CHECK	HOLD_STATE	10	ATTESTED	ALLOW
METER_CHECK	CONTINUE_USE	6	ATTESTED	ALLOW
METER_CHECK	CLOSE	0	UNSEEN	REJECT
TARGET_HANDOFF	ACTIVATE_CHARGE	4	ATTESTED	ALLOW
TARGET_HANDOFF	SOURCE_DRAW	6	ATTESTED	ALLOW
TARGET_HANDOFF	METER_CHECK	3	ATTESTED	ALLOW
TARGET_HANDOFF	TARGET_HANDOFF	1	ATTESTED	ALLOW
TARGET_HANDOFF	MOVE_PASS	2	ATTESTED	ALLOW
TARGET_HANDOFF	HOLD_STATE	7	ATTESTED	ALLOW
TARGET_HANDOFF	CONTINUE_USE	4	ATTESTED	ALLOW
TARGET_HANDOFF	CLOSE	2	ATTESTED	ALLOW
MOVE_PASS	ACTIVATE_CHARGE	5	ATTESTED	ALLOW
MOVE_PASS	SOURCE_DRAW	1	ATTESTED	ALLOW
MOVE_PASS	METER_CHECK	1	ATTESTED	ALLOW
MOVE_PASS	TARGET_HANDOFF	4	ATTESTED	ALLOW
MOVE_PASS	MOVE_PASS	3	ATTESTED	ALLOW
MOVE_PASS	HOLD_STATE	7	ATTESTED	ALLOW
MOVE_PASS	CONTINUE_USE	2	ATTESTED	ALLOW
MOVE_PASS	CLOSE	25	ATTESTED	ALLOW
HOLD_STATE	ACTIVATE_CHARGE	12	ATTESTED	ALLOW
HOLD_STATE	SOURCE_DRAW	2	ATTESTED	ALLOW
HOLD_STATE	METER_CHECK	6	ATTESTED	ALLOW
HOLD_STATE	TARGET_HANDOFF	6	ATTESTED	ALLOW
HOLD_STATE	MOVE_PASS	6	ATTESTED	ALLOW
HOLD_STATE	HOLD_STATE	12	ATTESTED	ALLOW
HOLD_STATE	CONTINUE_USE	5	ATTESTED	ALLOW
HOLD_STATE	CLOSE	52	ATTESTED	ALLOW
CONTINUE_USE	ACTIVATE_CHARGE	6	ATTESTED	ALLOW
CONTINUE_USE	SOURCE_DRAW	2	ATTESTED	ALLOW
CONTINUE_USE	METER_CHECK	9	ATTESTED	ALLOW
CONTINUE_USE	TARGET_HANDOFF	2	ATTESTED	ALLOW
CONTINUE_USE	MOVE_PASS	3	ATTESTED	ALLOW
CONTINUE_USE	HOLD_STATE	16	ATTESTED	ALLOW
CONTINUE_USE	CONTINUE_USE	3	ATTESTED	ALLOW
CONTINUE_USE	CLOSE	3	ATTESTED	ALLOW
