event_id	statement_id	field_id	visible_surface	portable_value_de	terminal_status	visible_owner	graph_node_id	node_function_de	operation_class	selected_apparatus_function	apparatus_role
E291	B3-S026	F099	solkeedy	lange sammeln; Schluss	TERMINAL	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	OUTPUT_OR_CLOSE	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E292	B3-S027	F100	qoteedy	lange Folgestufe; Schluss	TERMINAL	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	OUTPUT_OR_CLOSE	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E293	B3-S028	F101	qokeey	lange einwirken	NONCLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	RESIDENCE_OR_TREATMENT	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E294	B3-S028	F101	qokedy	kurz einwirken; Schluss	TERMINAL	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	RESIDENCE_OR_TREATMENT	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E295	B3-S029	F102	sol	weiter	NONCLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	TRANSFER_OR_PATH	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E296	B3-S029	F102	cheeety	Vollteil	NONCLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	LOCAL_SPECIALIST_ACTION	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E297	B3-S029	F102	qokedy	kurz einwirken; Schluss	TERMINAL	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	RESIDENCE_OR_TREATMENT	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E298	B3-S030	F103	qoky	einsetzen	NONCLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	INPUT_OR_REFERENT	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E299	B3-S030	F103	saiin	Sollwert	NONCLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	QUANTITY_OR_SETTING	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E300	B3-S030	F104	schedair	Weiterlauf	NONCLOSE	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	TRANSFER_OR_PATH	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
E301	B3-S030	F104	otchedy	Folgetransfer; Schluss	TERMINAL	Hauptpaar am sichtbaren ungerichteten Bogen	N5	EINWIRK- UND DURCHLASSPAAR	TRANSFER_OR_PATH	GEKOPPELTES DOPPELBECKEN FÜR EINWIRKUNG UND DURCHLASS	central treatment and residence
