statement_id	record_unit_id	node_path	event_count	event_ids	literal_card_reading	apparatus_reading_de	branch_interpretation
B3-S026	B3	N5	1	E291	Quelltransfer | Sollabsetzung | überführen | Anteil zugeben | bereit | Zielbereitung | lange sammeln; Schluss	Bei N4 von der Quelle übertragen, Sollabsetzung und Zielbereitung setzen; nach Besitzerbruch am N5-Paar länger sammeln; Schluss.	central treatment and residence
B3-S027	B3	N5	1	E292	lange Folgestufe; Schluss	Die folgende Stufe länger halten; Schluss.	central treatment and residence
B3-S028	B3	N5	2	E293|E294	lange einwirken | kurz einwirken; Schluss	Länger einwirken lassen, dann den kurzen Einwirkpunkt schließen.	central treatment and residence
B3-S029	B3	N5	3	E295|E296|E297	weiter | Vollteil | kurz einwirken; Schluss	Weiterführen, den vollen Anteil nehmen und kurz einwirken lassen; Schluss.	central treatment and residence
B3-S030	B3	N5	4	E298|E299|E300|E301	einsetzen | Sollwert | Weiterlauf | Folgetransfer; Schluss	Einsetzen, auf Sollmaß bringen, im Lauf weiterführen und zur nächsten Station übertragen; Schluss.	central treatment and residence
B3-S031	B3	N5	1	E302	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	central treatment and residence
B3-S032	B3	N5	5	E303|E304|E305|E306|E307	Anteilstransfer | überführen | Kurzsoll | Folgemaß | Kurzfolge; Schluss	Anteil übertragen, überführen, Kurzsoll und Folgemaß setzen, kurz weiterführen; Schluss.	central treatment and residence
B3-S033	B3	N5	1	E308	abziehen; Schluss	Abziehen; Schluss.	central treatment and residence
B3-S034	B3	N5	6	E309|E310|E311|E312|E313|E314	Arbeitsstufe | bereit | Teil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	Arbeitsstufe bereitstellen, Teil und Folgemaß am Zwischenziel kurz absetzen; Schluss.	central treatment and residence
B4-S001	B4	N5	1	E315	lange einwirken; Schluss	Am Hauptpaar länger einwirken lassen; Schluss.	central treatment and residence
B4-S002	B4	N5	3	E316|E317|E318	Weiterposten | lange einwirken | kurz einwirken; Schluss	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.	central treatment and residence
B4-S003	B4	N5	7	E319|E320|E321|E322|E323|E324|E325	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	Überführen, danach das Nächste dorthin bringen, länger einwirken, einsetzen, weiterführen und kurz absetzen; Schluss.	central treatment and residence
B4-S004	B4	N5	1	E326	befestigen; Schluss	Den Posten befestigen; Schluss.	central treatment and residence
B4-S005	B4	N5	3	E327|E328|E329	Einlage | überführen | lange einwirken; Schluss	Die Einlage überführen und länger einwirken lassen; Schluss.	central treatment and residence
B4-S006	B4	N5	1	E330	durchlassen; Schluss	Einmal durchlassen; Schluss.	central treatment and residence
B4-S007	B4	N5	1	E331	durchlassen; Schluss	Ein zweites Mal durchlassen; Schluss.	central treatment and residence
B4-S008	B4	N5	4	E332|E333|E334|E335	Sollwert | länger bearbeiten | Langhalt | kurz einwirken; Schluss	Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss.	central treatment and residence
B4-S009	B4	N5	1	E336	kurz absetzen; Schluss	Kurz absetzen lassen; Schluss.	central treatment and residence
B4-S010	B4	N5	1	E337	Schluss	Schluss.	central treatment and residence
B4-S011	B4	N6	7	E338|E339|E340|E341|E342|E343|E344	Sollwert | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen | weiter | Kurzabzug; Schluss	Sollwert kurz wärmen, länger weiterführen, Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss.	left finishing path
B4-S012	B4	N6	1	E345	abführen; Schluss	Abführen; Schluss.	left finishing path
B4-S013	B4	N6	2	E346|E347	Weiter einsetzen | kurz absetzen; Schluss	Weiter einsetzen und kurz absetzen lassen; Schluss.	left finishing path
B4-S014	B4	N6	4	E348|E349|E350|E351	Ansatz | dies | Kurzdurchgang | Laufschluss	Diesen Ansatz durch den kurzen Gang führen und den Lauf schließen.	left finishing path
B4-S015	B4	N6→N7	6	E352|E353|E354|E355|E356|E357	Anteil zugeben | Ergebnis | Portion | Zielpassage | Kurzsammlung | abführen; Schluss	Am linken N6-Arm Anteil, Ergebnis und Zielpassage setzen; nach Besitzerbruch am rechten N7-Knoten kurz sammeln und abführen; Schluss.	LEFT_TO_RIGHT_OWNER_RESET_NOT_PHYSICAL_FLOW
B4-S016	B4	N7	4	E358|E359|E360|E361	weiterer Anteil | dorthin | Quellausguss | kurz absetzen; Schluss	Weiteren Anteil dorthin bringen, davon ausgießen und kurz absetzen; Schluss.	right finishing path
