chain_order	unit_id	page	visible_surface_input	recovered_atom_sequence	recovered_clause_shapes	recovered_slot_program	dictionary_only_readback_de	owner_augmented_readback_de	full_master_source_de	construction_recovery	short_card_recovery	concrete_owner_recovery	full_source_recovery
1	H1-S001	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	C01 > C05 > C09 > C06 > C01 > C09 > C02 > C07 > C10 > C10	[LEARNED_OR_LOCAL_BODY>REFERENT=Wurzel als aktueller Posten] [ACTION>SOURCE_OR_PREPARATION=Ansatz bereit] [SOURCE_OR_PREPARATION=aus dem Ansatz] [ACTION>QUANTITY_OR_STAGE=Teil abtrennen] [LEARNED_OR_LOCAL_BODY=Mischgefäß] [SOURCE_OR_PREPARATION=Wasserzulauf] [ORDER>QUANTITY_OR_STAGE=naechsten Teilposten weiterfuehren] [ACTION>REFERENT=aktuellen Posten ansetzen] [QUANTITY_OR_STAGE=Sollmaß] [QUANTITY_OR_STAGE>GRADE=kleiner Restteil]	Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil	Bei der ganzen breitblättrigen gezähnten Bildpflanze: Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
2	H1-S002	f10r	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	C07 > C02 > C02 > C07	[ACTION>REFERENT=Posten zur Weiterbearbeitung ansetzen] [ORDER=danach weiterfuehren] [ORDER=fortsetzen] [ACTION>REFERENT=bereit]	Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit	Bei der ganzen breitblättrigen gezähnten Bildpflanze: Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit.	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
3	H2-S002	f10r	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	C02 > C09 > C02 > C02 > C02 > C02 > C10 > C09	[ORDER>SOURCE_OR_PREPARATION=Folgeansatz] [SOURCE_OR_PREPARATION=Ansatz] [ORDER=danach fortsetzen] [ORDER=fortsetzen] [ORDER>SOURCE_OR_PREPARATION=Fortsetzungsansatz] [ORDER=fortsetzen] [QUANTITY_OR_STAGE=Sollmaß] [SOURCE_OR_PREPARATION=aus dem Ansatz]	Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz	Bei der ganzen breitblättrigen gezähnten Bildpflanze: Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz.	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
4	H3-S001	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	C01 > C01 > C07 > C06 > C07 > C01 > C01	[LEARNED_OR_LOCAL_BODY=Zutat entnehmen] [LEARNED_OR_LOCAL_BODY>TARGET=Zutat an die Arbeitsstelle geben] [ACTION>REFERENT=aktuellen Posten auswringen] [ACTION>QUANTITY_OR_STAGE=Standmaß] [ACTION>REFERENT=aktuellen Posten nachseihen] [LEARNED_OR_LOCAL_BODY=klarer Auszug] [LEARNED_OR_LOCAL_BODY>CLOSE=Eingangsposten beiseitestellen; Schluss]	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Bei der ganzen dicht blau bekrönten Bildpflanze: Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
5	H3-S002	f11r	shoyty	HO+Y+TY	C01	[LEARNED_OR_LOCAL_BODY>QUANTITY_OR_STAGE>REFERENT=Zutatenteil]	Zutatenteil	Bei der ganzen dicht blau bekrönten Bildpflanze: Zutatenteil.	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
6	H3-S003	f11r	dchol chy kchy dy daiin	PREV+OL | Y | KCH+Y | Y | AIIN	C02 > C12 > C07 > C12 > C10	[ORDER=vorigen Posten fortsetzen] [REFERENT=dieser Posten] [ACTION>REFERENT=diesen Posten bearbeiten] [REFERENT=dieser Posten] [QUANTITY_OR_STAGE=Sollmaß]	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	Bei der ganzen dicht blau bekrönten Bildpflanze: vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
7	H3-S004	f11r	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	C02 > C02 > C07 > C12	[ORDER>REFERENT=anschließender Arbeitsposten] [ORDER>ACTION=weiterlaufenden Posten aufnehmen] [ACTION>REFERENT=bereit] [REFERENT=dieser Posten]	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	Bei der ganzen dicht blau bekrönten Bildpflanze: anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
8	B1-S001	f81v	qokedy	OK+E+CLOSE	C03	[ACTION>GRADE>CLOSE=kurz ansetzen; Schluss]	kurz ansetzen; Schluss	Bei dem gemeinsamen zweireihigen Becken: kurz ansetzen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
9	B2-S005	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	C04 > C06 > C07 > C06 > C06 > C02 > C03 > C01	[ACTION>TARGET>REFERENT=dies dort ansetzen] [ACTION>QUANTITY_OR_STAGE=bis Sollmass sammeln] [ACTION>REFERENT=durchleiten] [ACTION>QUANTITY_OR_STAGE=auf Sollmaß einstellen] [ACTION>QUANTITY_OR_STAGE=auf Sollmaß einstellen] [ORDER>ACTION=bereitgestellten Gang fortsetzen] [ACTION>GRADE>REFERENT=diesen Posten länger warm halten] [LEARNED_OR_LOCAL_BODY>CLOSE=abziehen; Ende]	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	Bei den oberen Paarbecken mit Zylinder: dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
10	B2-S006	f82r	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	C02 > C04 > C03 > C07	[ORDER>GRADE>REFERENT=langer Folgeposten] [ACTION>TARGET=dort ansetzen] [ACTION>GRADE>REFERENT=kurz durchleiten] [ACTION>REFERENT=aktuellen Posten ansetzen]	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	Bei den oberen Paarbecken mit Zylinder: langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	DIRECT_FROM_REGISTERED_SURFACE_AND_GRAMMAR	REQUIRES_SHARED_WORKSHOP_DICTIONARY	REQUIRES_VISIBLE_IMAGE_OR_RECORD_CONTEXT	REQUIRES_MASTER_EXEMPLAR
