source_group_id	unit_id	page	visible_surface	atom_sequence_recovered	clause_shape_recovered	source_slots_recovered	short_dictionary_readback_de	combined_reverse_readback_de	component_status	owner_status	rich_source_status	structural_readback_complete
E001	H1-S001	f10r	dchey	DCHE+Y	C01	LEARNED_OR_LOCAL_BODY>REFERENT	Wurzel als aktueller Posten	C01 LEARNED_OR_LOCAL_BODY>REFERENT: Wurzel als aktueller Posten	LEARNED_BODY_PRESENT	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E002	H1-S001	f10r	cthoor	CTH+OR	C05	ACTION>SOURCE_OR_PREPARATION	Ansatz bereit	C05 ACTION>SOURCE_OR_PREPARATION: Ansatz bereit	PRODUCTIVE_COMPONENTS	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E003	H1-S001	f10r	char	AR	C09	SOURCE_OR_PREPARATION	aus dem Ansatz	C09 SOURCE_OR_PREPARATION: aus dem Ansatz	PRODUCTIVE_COMPONENTS	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E004	H1-S001	f10r	chty	PARTITION+TY	C06	ACTION>QUANTITY_OR_STAGE	Teil abtrennen	C06 ACTION>QUANTITY_OR_STAGE: Teil abtrennen	PRODUCTIVE_COMPONENTS	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E005	H1-S001	f10r	os	OS	C01	LEARNED_OR_LOCAL_BODY	Mischgefäß	C01 LEARNED_OR_LOCAL_BODY: Mischgefäß	LEARNED_BODY_PRESENT	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E006	H1-S001	f10r	chair	AIR	C09	SOURCE_OR_PREPARATION	Wasserzulauf	C09 SOURCE_OR_PREPARATION: Wasserzulauf	PRODUCTIVE_COMPONENTS	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E007	H1-S001	f10r	otytchol	OT+TY+OL	C02	ORDER>QUANTITY_OR_STAGE	naechsten Teilposten weiterfuehren	C02 ORDER>QUANTITY_OR_STAGE: naechsten Teilposten weiterfuehren	PRODUCTIVE_COMPONENTS	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E008	H1-S001	f10r	oky	OK+Y	C07	ACTION>REFERENT	aktuellen Posten ansetzen	C07 ACTION>REFERENT: aktuellen Posten ansetzen	PRODUCTIVE_COMPONENTS	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E009	H1-S001	f10r	daiin	AIIN	C10	QUANTITY_OR_STAGE	Sollmaß	C10 QUANTITY_OR_STAGE: Sollmaß	PRODUCTIVE_COMPONENTS	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
E010	H1-S001	f10r	etyd	E+TY	C10	QUANTITY_OR_STAGE>GRADE	kleiner Restteil	C10 QUANTITY_OR_STAGE>GRADE: kleiner Restteil	PRODUCTIVE_COMPONENTS	PAGE_IMAGE_OR_RECORD_OWNER_REQUIRED_FOR_CONCRETE_NOUN	MASTER_EXEMPLAR_REQUIRED_FOR_FULL_PROSE	YES
