blind_id	selector	physical_folio	locus	grove_ordinal	a_member	crop_source_id	crop_x	crop_y	crop_width	crop_height	crop_sha256	review_disclosure
X01	f70v1	f70	f70v1.7	6	11	YALE_1006201_F70	2069	2039	520	520	9e07a75f1b9dbed26d8f39d3caa926f2a4c86bca450a26c635ec133c6e724c97	HIDDEN_FROM_REVIEWERS
X02	f72r1	f72	f72r1.7	6	11	DERIVED_1006203_F72R1_PANEL	1580	1140	520	520	9313a04e1398d87e0cae502debaa1ac0c864f1c34ff153698d957b66b492d37e	HIDDEN_FROM_REVIEWERS
X03	f70v1	f70	f70v1.3	2	7	YALE_1006201_F70	1390	400	520	520	509617dee55745b8214be8c1cb4e3dbb8b81cd535c7deb38756e0ef45a3cdcc0	HIDDEN_FROM_REVIEWERS
X04	f72r1	f72	f72r1.3	2	7	DERIVED_1006203_F72R1_PANEL	214	574	520	520	a4f817ac3f0434b61ab0f128280ad1d655024361d58380fbcac4287b90790c17	HIDDEN_FROM_REVIEWERS
X06	f70v1	f70	f70v1.11	10	15	YALE_1006201_F70	430	1360	520	520	f2ce8e148f3b6647c8f2a1517754b99e35af3f073fdedf55c64a3607a7407f56	HIDDEN_FROM_REVIEWERS
X07	f72r1	f72	f72r1.11	10	15	DERIVED_1006203_F72R1_PANEL	7	1347	520	520	c64ff2fa27b58a9de064dce76702c62215752d36e7b3881b7b412193eea41fde	HIDDEN_FROM_REVIEWERS
X08	f70v1	f70	f70v1.5	4	9	YALE_1006201_F70	2342	1235	520	520	2a97f74f527f080bf57777cee427c7db5d462fe097ea75560b7a19970619efec	HIDDEN_FROM_REVIEWERS
X09	f72r1	f72	f72r1.5	4	9	DERIVED_1006203_F72R1_PANEL	1180	447	520	520	2a4077f1cb0c729c84b3fa67fc3387cd70f7f1d85c64e9e3713245c13ee457b6	HIDDEN_FROM_REVIEWERS
X11	f70v1	f70	f70v1.9	8	13	YALE_1006201_F70	910	2191	520	520	3413fbd5bc039e91143cbbab1bd48aab066eadfcbecc82531b4b835e93af5d03	HIDDEN_FROM_REVIEWERS
X12	f72r1	f72	f72r1.9	8	13	DERIVED_1006203_F72R1_PANEL	1086	1879	520	520	474cd1ab1edec9dcf638b3375af6aae6d97316db0320d52e8068c3f6617c2c72	HIDDEN_FROM_REVIEWERS
X14	f70v1	f70	f70v1.2	1	6	YALE_1006201_F70	711	681	520	520	0553c14c65539fb8f7b2519706df6809d5232bfc4287209b9868f11ff47b31da	HIDDEN_FROM_REVIEWERS
X15	f72r1	f72	f72r1.6	5	10	DERIVED_1006203_F72R1_PANEL	1473	740	520	520	de956a6fa33253501014e59d62c8ec6079378125f961c005688c9df8928a9a59	HIDDEN_FROM_REVIEWERS
X17	f70v1	f70	f70v1.6	5	10	YALE_1006201_F70	2277	1727	520	520	b42973998ea278c84d4073d6c063d20e83e253e93568d3ad4fdef534d7acea8c	HIDDEN_FROM_REVIEWERS
X19	f72r1	f72	f72r1.2	1	6	DERIVED_1006203_F72R1_PANEL	7	933	520	520	9b59bec3de9b1819f5858e8cd820d7f04c48930d1ce0c12f9f1d1711cae7fdb7	HIDDEN_FROM_REVIEWERS
X21	f70v1	f70	f70v1.4	3	8	YALE_1006201_F70	2069	681	520	520	759c18efca7fc68685df54ca3b17498d0b0bd9ed23a252ff31dfe5e6c50875ac	HIDDEN_FROM_REVIEWERS
X22	f72r1	f72	f72r1.8	7	12	DERIVED_1006203_F72R1_PANEL	1473	1540	520	520	3aec02551906e4025d3f670efc8bd8029fad0f8eed727cff6044e8d72131b49b	HIDDEN_FROM_REVIEWERS
X24	f70v1	f70	f70v1.8	7	12	YALE_1006201_F70	1515	2312	520	520	54b6acea4c4857c31e2d5a3217200f43cd1ce976b99001df9e2e65550ecf3c2f	HIDDEN_FROM_REVIEWERS
X25	f72r1	f72	f72r1.4	3	8	DERIVED_1006203_F72R1_PANEL	780	340	520	520	482ded4b8ff6f54bf2853f226cd8224510976180169be68ad5f66a49e16ed2b7	HIDDEN_FROM_REVIEWERS
