blind_id	state	confidence	reason	reviewer_role
X01	TORSO_UNCOVERED	HIGH	Bare breast contour above waist rim with no garment edge.	COSTUME_OBSERVER
X02	TORSO_UNCOVERED	HIGH	Bare breast and uninterrupted torso outline.	COSTUME_OBSERVER
X03	TORSO_UNCOVERED	HIGH	Two exposed breast contours above lower drapery.	COSTUME_OBSERVER
X04	TORSO_UNCOVERED	MEDIUM	Faint bare-breast mark on an otherwise unbounded torso.	COSTUME_OBSERVER
X06	TORSO_UNCOVERED	HIGH	Bare breast contours above the decorated lower rim.	COSTUME_OBSERVER
X07	TORSO_UNCOVERED	HIGH	Breast marks without neckline, sleeve, or bodice edge.	COSTUME_OBSERVER
X08	TORSO_UNCOVERED	HIGH	Reviewer read the chest marks as exposed above lower drapery.	COSTUME_OBSERVER
X09	TORSO_UNCOVERED	HIGH	Bare breasts visible above lower drapery.	COSTUME_OBSERVER
X11	TORSO_UNCOVERED	HIGH	Bare breast contour above the scalloped lower rim.	COSTUME_OBSERVER
X12	TORSO_UNCOVERED	HIGH	Exposed breasts with no enclosing garment boundary.	COSTUME_OBSERVER
X14	TORSO_UNCOVERED	HIGH	Bare breast on an unclosed torso above hip drapery.	COSTUME_OBSERVER
X15	TORSO_UNCOVERED	HIGH	Bare breast contours with no upper garment boundary.	COSTUME_OBSERVER
X17	TORSO_COVERED	HIGH	Closed neck edge, sleeves, and pleated bodice.	COSTUME_OBSERVER
X19	TORSO_UNCOVERED	MEDIUM	Faint bare breast marks with no closed garment edge.	COSTUME_OBSERVER
X21	TORSO_UNCOVERED	HIGH	Breasts visible above the patterned lower rim.	COSTUME_OBSERVER
X22	TORSO_UNCOVERED	HIGH	Exposed breast contours with only lower drapery.	COSTUME_OBSERVER
X24	TORSO_UNCOVERED	HIGH	Reviewer read the chest marks as exposed above striped waist drapery.	COSTUME_OBSERVER
X25	TORSO_UNCOVERED	HIGH	Bare breasts and uninterrupted torso-to-hip outline.	COSTUME_OBSERVER
