blind_id	state	confidence	reason	reviewer_role
X01	TORSO_UNCOVERED	MEDIUM	Breast visible above patterned lower cloth with no closed neckline.	WORKSHOP_COPYIST
X02	TORSO_UNCOVERED	HIGH	Bare chest and breast outlined without a garment boundary.	WORKSHOP_COPYIST
X03	TORSO_UNCOVERED	HIGH	Both breasts exposed above a lower waist band.	WORKSHOP_COPYIST
X04	UNCERTAIN	LOW	Fold and faint crossing lines obscure neck and chest.	WORKSHOP_COPYIST
X06	TORSO_UNCOVERED	HIGH	Breast and bare shoulder visible above the lower enclosure.	WORKSHOP_COPYIST
X07	TORSO_UNCOVERED	HIGH	Breast and navel on an uninterrupted bare trunk.	WORKSHOP_COPYIST
X08	TORSO_COVERED	HIGH	High-necked sleeved garment clearly encloses the torso.	WORKSHOP_COPYIST
X09	TORSO_UNCOVERED	HIGH	Breast and abdomen exposed with no neckline or bodice edge.	WORKSHOP_COPYIST
X11	TORSO_UNCOVERED	HIGH	Exposed breast above lower cloth with no neckline.	WORKSHOP_COPYIST
X12	TORSO_UNCOVERED	MEDIUM	Breast marks on a bare outlined trunk without a clothing edge.	WORKSHOP_COPYIST
X14	TORSO_UNCOVERED	HIGH	Breast and shoulder exposed above a lower waist boundary.	WORKSHOP_COPYIST
X15	TORSO_UNCOVERED	HIGH	Both breasts visible and no neckline drawn.	WORKSHOP_COPYIST
X17	TORSO_COVERED	HIGH	Striped closed bodice and sleeves extend from neck to waist.	WORKSHOP_COPYIST
X19	TORSO_UNCOVERED	HIGH	Breast and navel visible on a bare torso.	WORKSHOP_COPYIST
X21	TORSO_UNCOVERED	HIGH	Both breasts visible above the lower structure without a bodice.	WORKSHOP_COPYIST
X22	TORSO_UNCOVERED	HIGH	Breast and bare trunk visible with no garment outline.	WORKSHOP_COPYIST
X24	TORSO_COVERED	HIGH	Striped neck-to-waist bodice has clear upper and waist edges.	WORKSHOP_COPYIST
X25	TORSO_UNCOVERED	HIGH	Breasts exposed above the lower boundary with no neckline.	WORKSHOP_COPYIST
