a_member	local_coordinate	f71_native_a_member	locus	grove_ordinal	state	provenance	visual_detail
6	0	15	f71v.11	1	TORSO_COVERED	GDT796_ZCV001_EXISTING_CALL	Grove 1 dressed
7	1	14	f71v.10	10	UNCERTAIN	GDT796_ZCV001_EXISTING_CALL	Grove 10 partly dressed
8	2	13	f71v.9	9	TORSO_UNCOVERED	GDT796_ZCV001_EXISTING_CALL	Grove 9 naked
9	3	12	f71v.8	8	TORSO_UNCOVERED	GDT796_ZCV001_EXISTING_CALL	Grove 8 naked
10	4	11	f71v.7	7	TORSO_COVERED	GDT796_ZCV001_EXISTING_CALL	Grove 7 dressed
11	5	10	f71v.6	6	TORSO_COVERED	GDT796_ZCV001_EXISTING_CALL	Grove 6 dressed
12	6	9	f71v.5	5	TORSO_COVERED	GDT796_ZCV001_EXISTING_CALL	Grove 5 dressed
13	7	8	f71v.4	4	TORSO_COVERED	GDT796_ZCV001_EXISTING_CALL	Grove 4 dressed
14	8	7	f71v.3	3	TORSO_COVERED	GDT796_ZCV001_EXISTING_CALL	Grove 3 dressed; other two formal positions absent
15	9	6	f71v.2	2	TORSO_COVERED	GDT796_ZCV001_EXISTING_CALL	Grove 2 dressed
