exact_card_id	registered_surfaces	component_recipe	third_grammar_reading_de	events	card_tier	core22_components	strip9_components	core22_touch	fully_core22	copy_rule
PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	1	PRODUCTIVE_RECIPE	CH+E+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC002	cthoor	CTH+O+OR	BEREITEN · VORGANG · ANSATZ	1	PRODUCTIVE_RECIPE	CTH	O+OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC003	char|dar|sar	AR	QUELLE	5	PRODUCTIVE_RECIPE	AR	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC004	chety|chty	T+Y	ANWENDEN · DIES	2	PRODUCTIVE_RECIPE	Y	T	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC005	os	OS	FACH	1	MEMORIZED_WHOLE_CARD	NONE	NONE	NO	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	1	PRODUCTIVE_RECIPE	CH	AIR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	1	PRODUCTIVE_RECIPE	OT+Y+CH+OL	T	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	10	PRODUCTIVE_RECIPE	OK+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · DIES	3	PRODUCTIVE_RECIPE	OK+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	20	PRODUCTIVE_RECIPE	AIIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	1	PRODUCTIVE_RECIPE	E+Y	T	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	1	PRODUCTIVE_RECIPE	OT+CH+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC013	cheol|chol|ol|qol|sol|tol	OL	WEITER	19	PRODUCTIVE_RECIPE	OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC115	ls	OL	WEITER	1	PRODUCTIVE_RECIPE	OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC014	checthy|cthy|shcthy	CTH+Y	BEREITEN · DIES	7	PRODUCTIVE_RECIPE	CTH+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	1	PRODUCTIVE_RECIPE	Y+CH+E	OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC016	chor|or|shor|sor	OR	ANSATZ	7	PRODUCTIVE_RECIPE	NONE	OR	NO	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	1	PRODUCTIVE_RECIPE	CTH+AIIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC018	qoctholy	O+CTH+OL+Y	VORGANG · BEREITEN · WEITER · DIES	1	PRODUCTIVE_RECIPE	CTH+OL+Y	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC019	chey|chy|dy|shy|sy|y	Y	DIES	18	PRODUCTIVE_RECIPE	Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	2	PRODUCTIVE_RECIPE	OT+CH	OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC021	otol	OT+OL	DANACH · WEITER	1	PRODUCTIVE_RECIPE	OT+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC022	cholor|olor	OL+OR	WEITER · ANSATZ	2	PRODUCTIVE_RECIPE	OL	OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC023	oykchor	O+Y+K+OR	VORGANG · DIES · ZUGEBEN · ANSATZ	1	PRODUCTIVE_RECIPE	Y+K	O+OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC024	kaiiin	K+IIN	ZUGEBEN · ARBEITSSTUFE	1	PRODUCTIVE_RECIPE	K	IIN	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC025	chodaiin	CH+O+AIIN	ENTNEHMEN · VORGANG · SOLLMASS	1	PRODUCTIVE_RECIPE	CH+AIIN	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
