component_no	component	short_value_de	grammar_tier	exact_cards	events	teaching_rule
C01	OK	ANSETZEN	PARADIGM_CORE22	24	80	compose freely in registered slot
C02	CHD	UMSETZEN	PARADIGM_CORE22	22	48	compose freely in registered slot
C03	SH	HALTEN	PARADIGM_CORE22	20	25	compose freely in registered slot
C04	SHED	STEHENLASSEN	PARADIGM_CORE22	3	15	compose freely in registered slot
C05	CHK	WAERMEN	PARADIGM_CORE22	4	7	compose freely in registered slot
C06	CTH	BEREITEN	PARADIGM_CORE22	8	15	compose freely in registered slot
C07	SOLK	SAMMELSTELLE	RECURRENT_RULE_STRIP9	5	7	read from recurrent wall strip
C08	P	EINFUELLEN	PARADIGM_CORE22	3	3	compose freely in registered slot
C09	LSH	SPUELEN	PARADIGM_CORE22	2	3	compose freely in registered slot
C10	CFH	AUSWRINGEN	LOCAL_SINGLETON	1	1	copy owner-local singleton
C11	CH	ENTNEHMEN	PARADIGM_CORE22	15	16	compose freely in registered slot
C12	T	ANWENDEN	RECURRENT_RULE_STRIP9	9	10	read from recurrent wall strip
C13	K	ZUGEBEN	PARADIGM_CORE22	18	21	compose freely in registered slot
C14	S	TEIL	LOCAL_SINGLETON	1	1	copy owner-local singleton
C15	L	LEITEN	PARADIGM_CORE22	18	27	compose freely in registered slot
C16	OL	WEITER	PARADIGM_CORE22	25	48	compose freely in registered slot
C17	OT	DANACH	PARADIGM_CORE22	16	26	compose freely in registered slot
C18	AL	ZIELSTELLE	PARADIGM_CORE22	22	39	compose freely in registered slot
C19	AR	QUELLE	PARADIGM_CORE22	10	14	compose freely in registered slot
C20	AIR	WASSER	RECURRENT_RULE_STRIP9	5	5	read from recurrent wall strip
C21	OR	ANSATZ	RECURRENT_RULE_STRIP9	10	18	read from recurrent wall strip
C22	HO	ZUTAT	RECURRENT_RULE_STRIP9	5	8	read from recurrent wall strip
C23	CKH	DURCHLASS	RECURRENT_RULE_STRIP9	9	14	read from recurrent wall strip
C24	O	VORGANG	RECURRENT_RULE_STRIP9	18	19	read from recurrent wall strip
C25	Y	DIES	PARADIGM_CORE22	61	125	compose freely in registered slot
C26	AIN	PORTION	PARADIGM_CORE22	8	18	compose freely in registered slot
C27	AIIN	SOLLMASS	PARADIGM_CORE22	10	39	compose freely in registered slot
C28	IIN	ARBEITSSTUFE	RECURRENT_RULE_STRIP9	3	4	read from recurrent wall strip
C29	E	KURZ	PARADIGM_CORE22	35	50	compose freely in registered slot
C30	EE	LANG	PARADIGM_CORE22	17	40	compose freely in registered slot
C31	EEE	VOLL	PARADIGM_CORE22	2	2	compose freely in registered slot
C32	R	KUEHLEN	RECURRENT_RULE_STRIP9	6	6	read from recurrent wall strip
C33	AN	NACHGABE	BOUND_VARIANT	1	1	use only in attested bound frame
C34	DA	ZWEIT	LOCAL_SINGLETON	1	1	copy owner-local singleton
C35	LD	BEFESTIGEN	LOCAL_SINGLETON	1	1	copy owner-local singleton
C36	DY	SCHLUSS	PARADIGM_CORE22	37	89	compose freely in registered slot
C37	OS	FACH	MEMORIZED_WHOLE_COMMAND	1	1	memorize complete command card
C38	RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	1	2	memorize complete command card
C39	TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	1	1	memorize complete command card
