priority	rule	instruction
1	CORE22_RECIPE	read the 22 productive components in registered order
2	EXACT_CARD_PACKING	copy the learned exact surface for that recipe
3	ACTION_CH_SH_CTH	choose take, hold, or prepare in the action slot
4	CONTROL_OK_OT_OL	choose start, next, or continue at the left edge
5	TRANSFER_K_L_CHD	add, guide, and transfer may stack in that order
6	GRADE_E_EE_EEE	choose short, long, or full only in a registered grade slot
7	QUANTITY_AIIN_AIN	distinguish prescribed measure from portion
8	ADDRESS_AL_AR	distinguish owner-local target from source
9	ENDPOINT_Y_DY	keep item active or close with the licensed endpoint card
10	CHK_GRADE_BOARD	warming accepts the grade and endpoint board
11	SHED_PROCESS	leave standing; do not infer sediment
12	P_RECIPIENT	fill inward toward the owner-local receiver
13	LSH_RINSE	rinse as verb or in the compound rinse-cycle
