page	object_a	object_b	connection_status	visible_evidence	meaning_not_licensed
f10r	central_axis	broad_leaf_sets	CONNECTED	Each leaf base meets the same vertical axis.	No preparation step or ingredient class follows.
f10r	basal_axis	red_lateral_swellings	CONNECTED	Thin brown branches visibly enter both red forms.	They need not be water bags, fruits, or named roots.
f10r	plant	written_blocks	NEAR_ONLY	Writing stops beside the flower and occupies blank pockets but no leader line joins it.	No nearby group is a plant name.
f11r	rounded_crown	blue_bloom_set	CONNECTED	Blue pronged blooms emerge throughout the continuous crown.	No violet identity follows.
f11r	crown	crossed_root_complex	CONNECTED	Several pale axes descend into collar-like joins and the orange root members.	The repeated axes need not be separate plants or recipe portions.
f55v	apical_spray	central_axis	CONNECTED	The branching spray grows continuously from the red-brown axis.	No seed, dose, or calendar meaning follows.
f55v	rounded_right_root_lobe	root_complex	CONNECTED	The animal-like lobe shares the same brown outline and branch.	The apparent eye does not establish an animal ingredient.
f56r	large_spiral_head	main_axis	CONNECTED	A pale branch enters the spiral head at its base.	It is not visibly a vessel or flow spiral.
f56r	three_radial_heads	one_plant	CONNECTED	All heads attach to one branching pale axis.	Their formal difference does not prove three seasons or operations.
f81v	figure_group	green_enclosure	INTERSECTS	All lower bodies disappear into the same continuous green region.	Bathing is plausible, but green pigment alone is not water.
f81v	left_appendage	green_enclosure	CONNECTED	The narrow left form visibly enters the enclosure's left neck.	No inlet direction or fluid source is marked.
f81v	right_pendant	green_enclosure	CONNECTED	A short line exits the lower-right boundary toward a pendant outline.	No drain direction or valve function is marked.
f82r	upper_left_arch	central_perforated_cylinder	CONNECTED	The arch meets the cylinder's upper neck.	No inflow/outflow direction is visible.
f82r	upper_right_arch	central_perforated_cylinder	CONNECTED	The second arch meets the same neck from the opposite side.	The symmetry does not prove mixing or division.
f82r	upper_figures	paired_arches	CONNECTED_AT_STATION	Each figure emerges from or stands in a cup/ring at an arch end.	The figures need not be patients rather than personified stations.
f82r	cross_shaped_piece	horizontal_line	CONNECTED	The line passes through or terminates at the four-cupped cross.	Pump, filter, valve, and compass remain alternatives.
f82r	wavy_plume	cross_shaped_piece	CONNECTED_OR_OVERLAPPED	Several parallel wavy strokes begin immediately beside the right arm.	Steam, water, hair, rays, and texture cannot be distinguished.
f82r	reclined_figure	funnel_footed_vessel	INTERSECTS	The covered body lies within the upper bowl, which has a narrow foot.	Treatment, sleep, death, birth, or allegory is not decided.
f82r	lower_figure_group	irregular_green_enclosure	INTERSECTS	Numerous torsos emerge across the green boundary.	The scene is not a purely impersonal waterworks diagram.
f83r	left_lower_vessel	blue_curved_channel	CONNECTED	Blue colour and outline continue downward from the vessel into the channel.	Direction and material are unmarked.
f83r	left_lower_vessel	overhead_arch	CONNECTED	The broad arch begins at or behind the vessel rim.	No return-flow loop is established.
f83r	overhead_arch	right_cup_figure	CONNECTED	The arch visibly descends to the second figure's cup/station.	Transfer direction is unmarked.
f83r	right_cup_figure	S_shaped_tube	CONNECTED	The uncoloured tube leaves directly below the cup.	The tube may denote path, support, vessel, or abstract relation.
f83r	S_shaped_tube	blue_lobed_node	CONNECTED	The tube enters the top of the blue node.	The node is not securely a reservoir, organ, flower, or filter.
f83r	blue_lobed_node	dangling_terminals	CONNECTED	Several thin appendages extend from the node and end beside dots.	Dots do not establish spray or drainage direction.
f83r	left_assembly	right_assembly	NEAR_ONLY	They share the lower page but no contour joins them.	They need not be successive stages of one circuit.
f67r2	left_radial_diagram	right_sector_diagram	DISCONNECTED	Blank gutter separates complete circular boundaries.	No direct selector-to-result lookup is visible.
f67r2	right_sector_spokes	central_rosette	CONNECTED	Radial boundaries converge around the rosette.	Twelve signs or months are possible, not identified.
f68r1	open_star_fields	right_circular_field	DISCONNECTED	Panel boundaries/gutters divide the compositions and no route crosses them.	No single ordered itinerary is visible.
f68r1	local_labels	individual_stars	NEAR_ONLY	Short writing is placed beside stars without leader lines in most cases.	No label identity or star name follows.
f69v	left_spoke_rosette	middle_lobed_rosette	DISCONNECTED	Each has its own complete circular bands and centre.	No sequential first-to-second operation is visible.
f69v	middle_lobed_rosette	right_face_rosette	DISCONNECTED	Blank panel space separates the circular devices.	No common 28-step catalogue follows.
f69v	right_rosette	far_right_prose	NEAR_ONLY	The prose fills the rectangular residual area but has no leader line.	It may be rubric, instructions, or unrelated prose; none is read.
