page	section	neutral_visible_inventory	colour_inventory	actual_geometry	text_image_production	visible_owner_classes	principal_visual_uncertainty
f10r	HERBAL	One tall whole plant; one brown central axis; several opposed broad toothed leaves; one large radial flower head; one outlined unopened or pod-like terminal form; two red lateral underground swellings joined to a branching basal axis.	Green and olive leaf fills; dark blue ray florets; pale ochre centre; red underground swellings; brown axis.	Leaves and flower attach to the same axis; both red swellings attach through the basal branch; the upper outlined form joins the flower-bearing region. No vessel, stream, human, or pictured application touches the plant.	The upper writing occupies a broad zone above and left of the plant and shortens beside its flower/terminal form; a second block uses the left interior. Empty contour-shaped pockets suffice to explain the layout.	WHOLE_PLANT; FLOWER_HEAD; LEAF_SET; ROOT_OR_UNDERGROUND_PART	Whether the two red swellings depict roots, fruits, storage organs, or a mnemonic exaggeration; no visible water despite any water-based recipe hypothesis.
f11r	HERBAL	One whole plant with a dense rounded crown built from repeated scalloped leaf masses; many small dark-blue three-pronged blooms; several pale upright axes; multiple pale-orange tapering root members crossing below.	Green crown patches; dark-blue blooms; pale orange stems and roots; mostly unpainted intervening leaf areas.	The blooms emerge throughout one continuous crown; at least three main axes descend from it into collar-like transitions and then into a crossed basal root complex. No discrete container or preparation scene is shown.	Two compact writing blocks sit wholly above the crown; the lower image does not need textual segmentation to explain its placement.	WHOLE_PLANT; CROWN; FLOWER_SET; ROOT_COMPLEX	The crown may compress several shoots into one plant; the apparent count of stem/root members is visually ambiguous at overlaps. The image does not support a narrow violet identification.
f55v	HERBAL	One highly schematic whole plant; a very large paired or fused green leaf mass; one straight red-brown central axis; an apical branching spray with many small blue/green tips; an irregular brown underground body with long lateral branches and one rounded right lobe.	Large turquoise-green leaf fill; red-brown stem and root; blue and green terminal marks.	The apical spray, central axis, leaf mass, and underground body are continuously joined. The rounded right root lobe has an eye-like interior mark but remains attached as root geometry; no pictured implement or fluid connects to it.	Writing is divided into four available pockets, two above the leaf mass and two below it, on either side of the uninterrupted central axis. This is strong image-first accommodation, not four demonstrated semantic units.	WHOLE_PLANT; LEAF_MASS; INFLORESCENCE; ROOT_COMPLEX	The animal-like right root silhouette may be intentional mnemonic grotesque, accidental resemblance, or damaged/rough botanical rendering; it cannot securely name the plant.
f56r	HERBAL	One pale branching plant axis; two low dark oval heads ringed by long narrow green rays; one very large upper spiral/radial head with dark-blue pointed elements around and within it; two smaller dark-blue blossoms; a sparse outlined basal root.	Pale ochre axis; dark-blue heads and pointed elements; green narrow rays; little fill in the root.	All pictured heads attach to the same branching axis. The large upper head is a closed spiral contour rather than an open vessel. No visible liquid, human, or tool contacts it.	The writing forms a tall block left of the large head and branches, ending where the contour occupies the page. The right side remains largely image/blank space, consistent with text fitted after drawing.	WHOLE_PLANT; RADIAL_HEAD_SET; STEM; ROOT	The heads combine forms unlike a single naturalistic specimen; seed head, flower, leaf whorl, and mnemonic emblem remain open alternatives. The former sundew-like reading is image-strained.
f81v	BIOLOGICAL	A large rounded rectangular green enclosure or basin at the bottom containing roughly sixteen nude female figures in two rows; an outlined outer support/envelope; a long narrow appendage at left; a short line and pendant form at lower right; two large writing blocks above.	Dense green interior; small blue accents on or between some figures; pale outlines; red facial details.	The figures' lower bodies are occluded by or embedded in the same continuous green field. Several touch or overlap neighbours. The left appendage joins the enclosure neck; the right line leaves the enclosure boundary. The outer lower outline surrounds but does not visibly channel into the green interior.	Text remains above the enclosure except for a short label at lower left; the large pictorial block controls the surviving text area. No text label can be assigned to a particular figure from proximity alone.	POOL_OR_ENCLOSURE; FIGURE_GROUP; APPENDAGE; OUTER_SUPPORT	The green field is strongly compatible with a bathing medium but pigment alone cannot prove water. The two rows may be spatial tiers, sequential scenes, or compact crowding rather than two process stages.
f82r	BIOLOGICAL	Several nude figures in separate cup-, ring-, or basket-like supports; a suspended perforated central cylinder; paired high arches; a cross-shaped local element with four cup-like terminals; a horizontal line with wavy and floral/star-like elements; one reclined clothed or covered figure in a vessel; a large irregular green lower enclosure with many figures and vertical patterned marks.	Green large enclosure and covering; blue cup/fill accents and hair; red banding on the central cylinder; pale conduits.	The paired arches meet the central cylinder and extend toward the two upper figure stations. The cross-shaped piece is locally attached to a horizontal line but its wavy plume and rightward continuation do not establish flow direction. The reclined figure sits in a distinct funnel-footed vessel. Many lower figures intersect the irregular green boundary; vertical marks terminate at or above that region.	Prose fills the broad zones between already-drawn stations, arches, and the lower enclosure. Line lengths follow image obstacles; this is better explained as reflow than as one label per pictured object.	FIGURE_STATION; VESSEL; CONDUIT_OR_ARCH; PERFORATED_CONTAINER; POOL_OR_ENCLOSURE; TERMINAL_OR_EMBLEM	The page mixes corporeal scenes and apparatus-like geometry. It contradicts a purely impersonal pipe plan, but does not distinguish therapy, bathing, cosmological allegory, or workshop process with personified stations.
f83r	BIOLOGICAL	A vertical left-margin sequence of nude figures in small scalloped supports; one upper figure holding or receiving a dotted/rayed form; a lower-left figure in a red/blue vessel; a broad arch leading toward another figure in a cup; a blue curved lower channel with brush-like outlet; a separate figure in a cup connected to a long uncoloured S-shaped tube ending in a blue lobed node with multiple dangling terminals and dotted marks; prose in intervening spaces.	Blue channels and nodes; red band on one vessel; otherwise pale outlines and uncoloured tubing.	The left vessel, blue lower channel, and large overhead arch form one continuous assembly, although direction is not marked. The right cup visibly joins the S-tube, which visibly joins the lobed terminal node. The two assemblies are near but not visibly connected. Dots occur at several ends and may mark emission, texture, or decoration.	Long prose blocks occupy spaces left by margin scenes and lower assemblies; the bottom-right block follows the S-tube contour. Physical lines are plainly constrained by image geometry.	FIGURE_STATION; VESSEL; CONDUIT; OUTLET; TERMINAL_NODE; SCOPE_OR_ASSEMBLY	Real connectivity is unusually strong, but neither fluid identity nor direction is visible. The nude figures may be users, patients, personified states, or mnemonic station owners.
f67r2	ASTRO	A foldout view containing two large independent circular diagrams: left, a central face with alternating broad blue/red rays, small star fields, radial partitions, and concentric writing; right, a central rosette, radial sector lines, repeated crescent/disc-like emblems, concentric writing, and an outer red rubric ring; short prose lies above and below.	Left blue and red rays with pale-gold stars; right red, ochre, and pale discs; red outer script.	Each diagram is internally radial. No drawn line connects the left and right circles. The right circle's sector spokes converge toward its centre; the left ray field and outer star sectors are concentric but not a visibly complete rectangular matrix.	Writing follows circular bands and remaining top/bottom spaces. Radial layout, not prose syntax, determines orientation and line length.	CENTRAL_FACE; CENTRAL_ROSETTE; DIAGRAM_SECTOR; STAR_FIELD; CELESTIAL_EMBLEM	The visible page does not itself expose a single 7-by-12 grid. Counts may reside in nested inventories, but the image is two radial instruments rather than one ordinary table.
f68r1	ASTRO	A wide foldout with three major panels: two open star fields containing many individually drawn stars and four face medallions in total, plus a right circular star field around a fifth central face, divided by radial and curved boundaries; short prose heads the first two fields.	Mostly pale-gold stars and faces; blue/green medallion borders; sparse red detail.	Stars are spatially distributed rather than linked by a continuous route. Labels sit beside individual stars or groups. The right circular panel has sector boundaries and clustered stars, but no visible starting arrow or connection to either open field.	The writing is placed around pre-existing stars, medallions, and circular bounds. Numerous short local labels are spatial addresses; adjacency does not prove a reading sequence.	STAR_STATION; FACE_MEDALLION; STAR_FIELD; DIAGRAM_SECTOR	A centre-plus-address catalogue is compatible with the right panel but incomplete for the full foldout; the five face medallions and three fields require a multi-panel account. Exact counts are difficult where stars cluster.
f69v	ASTRO	A wide foldout with three separate rosette/circle diagrams: left, many blue-green club-ended spokes around a small centre; middle, a small central star with an irregular ring of repeated blue cloud/flame-like lobes; right, a face within a large blue-and-unpainted petalled star; each has concentric writing, and the far-right panel has a prose block.	Blue/green spoke ends and middle lobes; blue right petals; pale-gold line work; sparse red facial detail.	Each circle has its own centre, radial organization, and surrounding text. No line joins the three circles. The middle lobe ring and right petals are discrete construction families, not continuations of the left spokes.	Text follows each circumference; the far-right prose occupies a rectangular remnant beside the third rosette. Page folding and circle placement fully explain the segmentation.	DIAGRAM_CENTRE; RADIAL_SLOT; ROSETTE; CONCENTRIC_TEXT_BAND	The former single ordered 28-rule sequence is not a sufficient visual description of the whole foldout. There may be 28 local positions in a transcriptional partition, but the image presents three separate devices with no visible common start, direction, or crosswalk.
