page	object_a	object_b	visible_relation	direction_visible	interpretive_limit
f10r	central stem	forked root	CONTINUOUS_CONTACT	NO	root function and plant identity unknown
f10r	left and right root branches	red terminal swellings	CONTINUOUS_CONTACT	NO	storage root, fruit-like convention and ornament remain rivals
f10r	plant	water or vessel	NO_VISIBLE_OBJECT	NO	water cannot be image evidence
f11r	multiple trunks	common canopy	CONTINUOUS_CONTACT	NO	may be composite stylization rather than botanical branching
f11r	basal serrated structures	crossed roots	CONTINUOUS_CONTACT	NO	leaf versus root convention ambiguous
f55v	brown stalk	lattice seedhead	CONTINUOUS_CONTACT	NO	umbel or seed cluster broad class only
f55v	stalk	broad leaf mass and root	CONTINUOUS_CONTACT	NO	no processing scene
f56r	main stem	large spiral	CONTINUOUS_CONTACT	NO	curling shoot, tendril and diagrammatic spiral remain rivals
f56r	spiral	blue pointed units	REPEATED_LOCAL_CONTACT	NO	leaf, gland, petal and ornament unresolved
f81v	all figures	one green rectangular field	COMMON_ENCLOSURE	NO	common pool, chart background and state panel unresolved
f81v	green field	outer pale lower outline	NESTED_OR_OVERLAID_OUTLINE	NO	second vessel, support or unfinished contour unresolved
f82r	upper arches	central ornate vessel	VISIBLE_CONTACT	NO	no proof that all upper figures share one circuit
f82r	individual figures	individual blue or green cups	VISIBLE_CONTAINMENT	NO	bath, station, symbolic pedestal and organ-like vessel remain rivals
f82r	upper/middle vignettes	lower green figure field	NO_CONTINUOUS_LINE	NO	page montage need not be one process
f83r	left lower vessel	right lower vessel	MULTIBAND_ARCH_CONTACT	NO	transfer direction is not shown
f83r	right lower vessel	blue outlet rosette	S_CONDUIT_CONTACT	NO	flow, return, emanation and symbolic linkage remain rivals
f83r	several outlets	dotted marks	VISIBLE_EMISSION_LIKE_MARKS	NO	drops, spray, heat, seeds and graphic emphasis unresolved
f67r2	left radial wheel	right sector wheel	NO_VISIBLE_CONNECTOR	NO	paired use possible but not drawn
f68r1	individual stars	nearby labels	LOCAL_ADJACENCY	NO	labels likely local but exact target can remain ambiguous
f68r1	several face medallions	whole foldout	MULTIPLE_CENTERS	NO	one-owner Moon-house model is too simple
f69v	three rosettes	each other	NO_VISIBLE_CONNECTOR	NO	comparison or sequence must come from layout/exemplar, not a drawn path
f69v	rightmost rosette	far-right prose block	PAGE_ADJACENCY	NO	prose may explain whole plate or only final wheel
