edge_id	page	object_a	object_b	connection_class	visible_evidence	direction_licensed	technical_reading	nontechnical_null
R3E001	f10r	main_stem	leaf_sets	CONTINUOUS_CONTOUR	Blattstiele treffen den durchgehenden Mittelstängel	NO	Botanische Teile eines Materialbesitzers	Gewöhnliche Pflanzenillustration
R3E002	f10r	main_stem	flower_and_bud	CONTINUOUS_CONTOUR	Beide oberen Organe sitzen an sichtbaren Sprosslinien	NO	Zwei Ernte-/Zustandsteile	Blüte und Knospe derselben Pflanze
R3E003	f10r	root_axis	red_terminal_bodies	CONTINUOUS_CLOSED_END	Brauner Wurzelast geht ohne Öffnung in beide rote Körper über	NO	Speicher-/Materialteile	Überzeichnete Speicherwurzeln
R3E004	f11r	crown	four_support_stems	CONTINUOUS_CONTOUR	Mehrere gelbbraune Stiele treten sichtbar aus der Kronenunterseite	NO	Gebündelte vier Trägerteile	Schematisch vervielfachte Pflanzenstiele
R3E005	f11r	four_support_stems	lower_serrated_bodies	CONTACT_AT_COLLAR	Jeder Stiel endet in einer gezeichneten Kragen-/Ansatzform	NO	Modulare Steck-/Bündelstruktur	Botanischer Stängel-Wurzel-Ansatz
R3E006	f11r	crossing_lower_bodies	each_other	CROSSING_NOT_COUPLING	Konturen kreuzen sich, ohne Kupplung, Ring oder gemeinsamen Hohlraum	NO	Keine technische Verbindung	Überlagerte Wurzeln/Blätter
R3E007	f55v	root	central_stem	CONTINUOUS_CONTOUR	Stängel setzt sich von der Wurzel durch die Blattfläche fort	NO	Ein durchgehender Materialträger	Gewöhnliche Pflanzenachse
R3E008	f55v	central_stem	terminal_fan	BRANCHED_CONTINUITY	Stängel verzweigt sich sichtbar in viele Endäste	NO	Mehrfachausgabe/Teilungsstruktur	Dolden-/Blütenstand
R3E009	f55v	text_blocks	central_stem	PROXIMITY_ONLY	Text steht beidseits, berührt den Stängel aber nicht	NO	Keine adressierende Kante	Reflow um ein vorheriges Bild
R3E010	f56r	main_stem	coiled_branch	CONTINUOUS_CONTOUR	Rechter Seitenzweig steigt auf und rollt sich ohne Unterbrechung ein	NO	Adressierter Spiralzweig	Botanische Ranke
R3E011	f56r	coiled_branch	dark_leaf_ring	CONTACT_AT_STALKS	Blattstiele treffen die äußere Bogenkontur	NO	Wiederholte Slots auf einem Träger	Blätter an einer Ranke
R3E012	f56r	coiled_branch	spiral_centre	CLOSED_CURVE_NO_OUTLET	Linie läuft in eine Spirale ein, ohne offene Mündung	NO	Keine Leitungsmündung	Ornamentale/vegetative Einrollung
R3E013	f81v	left_green_run	upper_pool_edge	VISIBLE_CONTACT	Schmaler grün markierter Lauf trifft die linke obere Einbuchtung	NO	Möglicher Zulauf oder Übergabepfad	Landschafts-/Rahmenfortsatz
R3E014	f81v	upper_figure_row	green_pool	OCCUPANCY_CONTACT	Unterkörper schneiden die grüne Fläche und den inneren Staffelrand	NO	Figuren an einer gemeinsamen Station	Figuren in allegorischem Feld
R3E015	f81v	lower_figure_row	green_pool	OCCUPANCY_CONTACT	Unterkörper liegen im unteren Teil derselben grünen Umgrenzung	NO	Zweite Stationsreihe	Zweite Figurenreihe ohne Prozessordnung
R3E016	f81v	pale_outer_contour	right_lower_extension	CONTINUOUS_OPEN_END	Unterkontur läuft rechts in einen fortgesetzten offenen Doppelstrich	NO	Möglicher Abgang	Rahmen- oder Bandfortsatz
R3E017	f82r	upper_central_cylinder	paired_upper_arcs	VISIBLE_CONTACT	Beide Bögen laufen an der oberen Hals-/Kragenzone des Zylinders zusammen	NO	Verteiler-/Hängebauteil	Dekorative Aufhängung oder kosmographisches Band
